道具ID,是否叠加,道具名称,道具类型,描述类型,背包分类,道具品质,途径,道具图标,小图标,道具星级,种族,道具描述,特殊字段,掉落组,使用等级,合成数量,合成指定英雄ID
44036,1,影袭刺客,4,1,3,5,,44036,,6,4,集齐100个碎片可召唤这名英雄,,"""44036""",,100,44036
44045,1,僧侣,4,1,3,4,,44045,,5,4,集齐50个碎片可召唤这名英雄,,"""44045""",,50,44045
44046,1,僧侣,4,1,3,5,,44046,,6,4,集齐100个碎片可召唤这名英雄,,"""44046""",,100,44046
45013,1,咕咕鸟,4,1,3,2,,45013,,3,4,集齐20个碎片可召唤这名英雄,,"""45013""",,20,45013
45023,1,皇家狮鹫,4,1,3,2,,45023,,3,4,集齐20个碎片可召唤这名英雄,,"""45023""",,20,45023
45034,1,维拉妮卡,4,1,3,3,,45034,,4,4,集齐30个碎片可召唤这名英雄,,"""45034""",,30,45034
45035,1,维拉妮卡,4,1,3,4,,45035,,5,4,集齐50个碎片可召唤这名英雄,,"""45035""",,50,45035
45045,1,森林猎手,4,1,3,4,,45045,,5,4,集齐50个碎片可召唤这名英雄,,"""45045""",,50,45045
45046,1,森林猎手,4,1,3,5,,45046,,6,4,集齐100个碎片可召唤这名英雄,,"""45046""",,100,45046
45055,1,风语者,4,1,3,4,,45055,,5,4,集齐50个碎片可召唤这名英雄,,"""45055""",,50,45055
45056,1,风语者,4,1,3,5,,45056,,6,4,集齐100个碎片可召唤这名英雄,,"""45056""",,100,45056
51015,1,食人魔领袖,4,1,3,4,,51015,,5,5,集齐50个碎片可召唤这名英雄,,"""51015""",,50,51015
51016,1,食人魔领袖,4,1,3,5,,51016,,6,5,集齐100个碎片可召唤这名英雄,,"""51016""",,100,51016
52013,1,暗影渡鸦,4,1,3,2,,52013,,3,5,集齐20个碎片可召唤这名英雄,,"""52013""",,20,52013
52024,1,美杜莎女王,4,1,3,3,,52024,,4,5,集齐30个碎片可召唤这名英雄,,"""52024""",,30,52024
52025,1,美杜莎女王,4,1,3,4,,52025,,5,5,集齐50个碎片可召唤这名英雄,,"""52025""",,50,52025
52034,1,暗影巫医,4,1,3,3,,52034,,4,5,集齐30个碎片可召唤这名英雄,,"""52034""",,30,52034
52035,1,暗影巫医,4,1,3,4,,52035,,5,5,集齐50个碎片可召唤这名英雄,,"""52035""",,50,52035
52045,1,帕米尔隆,4,1,3,4,,52045,,5,5,集齐50个碎片可召唤这名英雄,,"""52045""",,50,52045
52046,1,帕米尔隆,4,1,3,5,,52046,,6,5,集齐100个碎片可召唤这名英雄,,"""52046""",,100,52046
53014,1,黑暗主教,4,1,3,3,,53014,,4,5,集齐30个碎片可召唤这名英雄,,"""53014""",,30,53014
53015,1,黑暗主教,4,1,3,4,,53015,,5,5,集齐50个碎片可召唤这名英雄,,"""53015""",,50,53015
53016,1,黑暗主教,4,1,3,5,,53016,,6,5,集齐100个碎片可召唤这名英雄,,"""53016""",,100,53016
61014,1,守卫阿帕尔,4,1,3,3,,61014,,4,6,集齐30个碎片可召唤这名英雄,,"""61014""",,30,61014
61015,1,守卫阿帕尔,4,1,3,4,,61015,,5,6,集齐50个碎片可召唤这名英雄,,"""61015""",,50,61015
61025,1,光之大领主,4,1,3,4,,61025,,5,6,集齐50个碎片可召唤这名英雄,,"""61025""",,50,61025
61026,1,光之大领主,4,1,3,5,,61026,,6,6,集齐100个碎片可召唤这名英雄,,"""61026""",,100,61026
62014,1,神圣之灵,4,1,3,3,,62014,,4,6,集齐30个碎片可召唤这名英雄,,"""62014""",,30,62014
62015,1,神圣之灵,4,1,3,4,,62015,,5,6,集齐50个碎片可召唤这名英雄,,"""62015""",,50,62015
62016,1,神圣之灵,4,1,3,5,,62016,,6,6,集齐100个碎片可召唤这名英雄,,"""62016""",,100,62016
63014,1,血色圣使,4,1,3,3,,63014,,4,6,集齐30个碎片可召唤这名英雄,,"""63014""",,30,63014
63015,1,血色圣使,4,1,3,4,,63015,,5,6,集齐50个碎片可召唤这名英雄,,"""63015""",,50,63015
63025,1,圣光先知,4,1,3,4,,63025,,5,6,集齐50个碎片可召唤这名英雄,,"""63025""",,50,63025
63026,1,圣光先知,4,1,3,5,,63026,,6,6,集齐100个碎片可召唤这名英雄,,"""63026""",,100,63026
64013,1,光之元素,4,1,3,2,,64013,,3,6,集齐20个碎片可召唤这名英雄,,"""64013""",,20,64013
5001,1,台历,5,1,2,3,,item_5001,token_5001,,,用于记载日期等当天相关信息的日常出版物。,,,,,
5002,1,玫瑰花,5,1,2,3,,item_5002,token_5002,,,玫瑰有约，爱情永驻，一束玫瑰，一生钟情！,,,,,
5003,1,康乃馨,5,1,2,3,,item_5003,token_5003,,,妇女节赠予妇女们的美丽鲜花。,,,,,
5004,1,树苗,5,1,2,3,,item_5004,token_5004,,,要想富，少生孩子多种树。,,,,,
5005,1,玩偶,5,1,2,3,,item_5005,token_5005,,,通过各种方式互相欺骗和捉弄一下。,,,,,
5006,1,风筝,5,1,2,3,,item_5006,token_5006,,,放飞风筝，意喻求福、长寿和喜庆。,,,,,
5007,1,铁锹,5,1,2,3,,item_5007,token_5007,,,热爱劳动，从我做起，劳动最光荣。,,,,,
5008,1,棒棒糖,5,1,2,3,,item_5008,token_5008,,,从小到大都很喜欢吃的食用糖果。,,,,,
5012,1,奖章,5,1,2,3,,item_5012,token_5012,,,卓越的贡献而获得的充满荣耀的功章。,,,,,
5013,1,粉笔,5,1,2,3,,item_5013,token_5013,,,辛勤的园丁用它来给学生传输知识。,,,,,
5014,1,纪念币,5,1,2,3,,item_5014,token_5014,,,祖国生日非常有纪念意义的收藏品。,,,,,
5015,1,烟火,5,1,2,3,,item_5015,token_5015,,,节日燃放烟火，庆祝祖国生日。,,,,,
5016,1,南瓜灯,5,1,2,3,,item_5016,token_5016,,,它不单是一个南瓜，还是庆祝万圣节的标志物,,,,,
5017,1,糖果,5,1,2,3,,item_5017,token_5017,,,不给糖果就捣蛋。,,,,,
5018,1,魔法扫帚,5,1,2,3,,item_5018,token_5018,,,巫师们最常使用的交通工具，也被用于魔法世界的运动比赛。,,,,,
5019,1,T恤,5,1,2,3,,item_5019,token_5019,,,作为一名单身贵族，一人吃饱，全家不饿。,,,,,
5020,1,证书,5,1,2,3,,item_5020,token_5020,,,我是光棍，我骄傲。,,,,,
5021,1,优惠券,5,1,2,3,,item_5021,token_5021,,,领到就是赚到，热销商品超值入手,,,,,
5022,1,圣诞树,5,1,2,3,,item_5022,token_5022,,,圣诞树是圣诞节庆祝中最有名的传统，在常青树上进行装扮。,,,,,
5023,1,火鸡,5,1,2,3,,item_5023,token_5023,,,相传养火鸡可消除火灾，是节日的美味佳肴。,,,,,
5024,1,圣诞袜,5,1,2,3,,item_5024,token_5024,,,用来装圣诞礼物，晚上挂于床边，次日早上收礼。,,,,,
5025,1,饺子,5,1,2,3,,item_5025,token_5025,,,形如元宝，意喻招财进宝，寄托人们对新一年的祈望。,,,,,
5026,1,鞭炮,5,1,2,3,,item_5026,token_5026,,,春节燃放爆竹，以噼里啪啦的爆竹声辞旧迎新，烘托气氛。,,,,,
5027,1,春联,5,1,2,3,,item_5027,token_5027,,,每逢春节，贴春联，抒发对新年的美好愿望。,,,,,
5028,1,汤圆,5,1,2,3,,item_5028,token_5028,,,元宵节这天吃汤圆，意喻团团圆圆、平平安安。,,,,,
5029,1,舞狮子,5,1,2,3,,item_5029,token_5029,,,节日舞狮，祈望生活吉祥如意，事事平安。,,,,,
5030,1,花灯,5,1,2,3,,item_5030,token_5030,,,花灯高挂，寓意着一片光明，代代相袭。,,,,,
5031,1,粽子,5,1,2,3,,item_5031,token_5031,,,民间有端午节吃粽子的习惯，是为了纪念楚国大臣屈原。,,,,,
5032,1,龙舟,5,1,2,3,,item_5032,token_5032,,,端午节赛龙舟历史悠久，是我国民间传统的水上娱乐项目。,,,,,
5033,1,巧果,5,1,2,3,,item_5033,token_5033,,,爱是巧克力，是融化的心，是对恋人浓厚的情谊。,,,,,
5034,1,月饼,5,1,2,3,,item_5034,token_5034,,,月圆之夜吃月饼，寓意家人团圆，寄托思念。,,,,,
5035,1,桂花酒,5,1,2,3,,item_5035,token_5035,,,中秋之夜，喝上一杯桂花蜜酒，欢庆合家甜蜜。,,,,,
5036,1,重阳糕,5,1,2,3,,item_5036,token_5036,,,又称桂花糕，重阳节这天吃糕代替“登高”的意思。,,,,,
5037,1,菊花,5,1,2,3,,item_5037,token_5037,,,重阳日，历来就有赏菊花的风俗，在中国古俗中，菊花象征着长寿。,,,,,
5038,1,腊八粥,5,1,2,3,,item_5038,token_5038,,,腊八节这一天，民间流传着吃“腊八粥”，以庆祝丰收，流传至今。,,,,,
