英雄ID,英雄名称,放置名称,评论ID,英雄种族,品质星级,职业,品质,模型,头像,十星模型,十星头像,升星材料,成长编号,被动开启等级,普攻,怒气,怒气图标,怒气名称,怒气描述,被动1,被动1名称,被动1描述,被动1图标,被动2,被动2名称,被动2描述,被动2图标,被动3,被动3名称,被动3描述,被动3图标
22045,守望法师,布利,2204,2,5,2,4,22045,22045,,,,22045,"[3,5]",2,22045012,skillico_024,能量轰炸,怒气技能：对敌方随机3名目标造成120%攻击伤害并有20%概率使目标眩晕2回合,"""22045111"",""22045121""",魔法师的意志,被动效果：拥有魔法师的意志，攻击增加18%，生命增加18%,skillico_236,"""22045214""",奥术爆破,被动效果：英雄死亡后运用奥术，18%的机率使敌方后排目标眩晕，持续2回合,skillico_239,,,,
22046,守望法师,布利,2204,2,6,2,5,22046,22046,2204a,2204a,22045,22046,"[2,4,6]",2,22046012,skillico_024,能量轰炸2,怒气技能：对敌方随机4名目标造成120%攻击伤害并有30%概率使目标眩晕2回合,"""22046111"",""22046121""",魔法师的意志2,被动效果：拥有魔法师的意志，攻击增加18%，生命增加32%,skillico_236,"""22046214""",奥术爆破2,被动效果：英雄死亡后运用奥术，30%的机率使敌方后排目标眩晕，持续2回合,skillico_239,"""22046314""",昏迷2,被动效果：掌握了时灵时不灵的魔法力量，普攻有25%概率使目标眩晕，持续2回合,skillico_234
22055,冰蓝巨龙,OD-01,2205,2,5,2,4,22055,22055,,,,22055,"[2,3,5]",2,22055012,skillico_025,蓝龙吐息,怒气技能：对敌方全体造成90%攻击伤害并有70%概率使辅助类目标禁魔3回合,"""22055114""",巨龙秘法,被动效果：施展巨龙族的的秘法，普攻时降低目标4%的攻击，持续3回合,skillico_240,"""22055211"",""22055221"",""22055231""",巨龙之力,被动效果：身为巨龙之一，自身的技能伤害增加60%，生命增加24%，命中增加10%,skillico_241,"""22055314"",""22055324""",奥术秘法,被动效果：龙族天生拥有魔法亲和，普攻有33%概率降低目标12%暴击，并提升自己22%攻击，持续2回合，可叠加,skillico_236
22056,冰蓝巨龙,OD-01,2205,2,6,2,5,22056,22056,2205a,2205a,22055,22056,"[2,4,6]",2,22056012,skillico_025,蓝龙吐息2,怒气技能：对敌方全体造成110%攻击伤害并有80%概率使辅助类目标禁魔3回合,"""22056114""",巨龙秘法2,被动效果：施展巨龙族的的秘法，普攻时降低目标8%的攻击，持续3回合,skillico_240,"""22056211"",""22056221"",""22056231""",巨龙之力2,被动效果：身为巨龙之一，自身的技能伤害增加75%，生命增加36%，命中增加20%,skillico_241,"""22056314"",""22056324""",奥术秘法2,被动效果：龙族天生拥有魔法亲和，普攻有77%概率降低目标12%暴击，并提升自己22%攻击，持续3回合,skillico_236
23013,木精灵,雷吉,2301,2,3,3,2,23013,23013,,,,23013,[2],6,23013012,skillico_026,生命之光,怒气技能：对随机2名敌人造成120%攻击伤害，并恢复我方血量最少英雄85%攻击生命,"""23013114""",自然恩赐,被动效果：受到大自然的眷顾，每次普攻恢复25%攻击的生命,skillico_223,,,,,,,,
23023,灵魂祭祀,泰拉的仆人,2302,2,3,3,2,23023,23023,,,,23023,[2],5,23023012,skillico_027,献祭火球,怒气技能：对敌方后排造成90%攻击伤害，并恢复我方后排40%攻击生命,"""23023114""",灵魂祭祀,被动效果：对灵魂之力的精通使自身每次普攻后恢复30%攻击的生命,skillico_012,,,,,,,,
23035,奥赛隆,奥玛斯,2303,2,5,3,4,23035,23035,,,,23035,"[2,3,5]",5,23035012,skillico_028,潮汐海浪,怒气技能：对敌方随机1名后排目标造成111%攻击伤害并持续恢复全体友军60%攻击效果的生命3回合,"""23035114"",""23035124""",治疗,被动效果：水生种族，普攻有100%概率对目标造成33%攻击的额外伤害并持续恢复随机1名友军24%攻击的等量生命，持续3回合,skillico_223,"""23035211"",""23035221""",潮汐之力,被动效果：借用潮汐的力量，自身生命增加22%，攻击增加22%,skillico_236,"""23035314""",水系治愈,被动效果：当自身生命低于50%时，回复己方全体150%攻击的等量生命（只触发一次）,skillico_244
23036,奥赛隆,奥玛斯,2303,2,6,3,5,23036,23036,2303a,2303a,23035,23036,"[2,4,6]",5,23036012,skillico_028,潮汐海浪2,怒气技能：对敌方随机2名后排目标造成85%攻击伤害并持续恢复全体友军80%攻击效果的生命3回合,"""23036114"",""23036124""",治疗2,被动效果：水生种族，普攻有100%概率对目标造成44%攻击的额外伤害并持续恢复随机1名友军36%攻击的等量生命，持续3回合,skillico_223,"""23036211"",""23036221""",潮汐之力2,被动效果：借用潮汐的力量，自身生命增加31.5%，攻击增加19.5%,skillico_236,"""23036314""",水系治愈2,被动效果：当自身生命低于50%时，回复己方全体200%攻击的等量生命（只触发一次）,skillico_244
24013,虚灵贤者,卡佛,2401,2,3,4,2,24013,24013,,,,24013,[2],5,24013012,skillico_006,虚灵冲击,怒气技能：对敌方后排随机2名角色造成160%攻击伤害，并使敌人护甲降低30%持续2回合,"""24013111"",""24013121""",虚无之力,被动效果：血量提升10%，闪避提升10%,skillico_202,,,,,,,,
24024,虚空刺客,罗伊,2402,2,4,4,3,24024,24024,,,,24024,[3],5,24024012,skillico_029,破防烈焰,怒气技能：对敌方后排造成88%攻击伤害并降低其16%防御2回合,"""24024111"",""24024121""",神秘力量,被动效果：释放体内神秘的力量，使得自身格挡增加20%，攻击增加28%,skillico_245,,,,,,,,
24025,虚空刺客,罗伊,2402,2,5,4,4,24025,24025,,,,24025,"[3,5]",5,24025012,skillico_029,破防烈焰,怒气技能：对敌方后排造成111%攻击伤害并降低其19%防御2回合,"""24025111"",""24025121""",神秘力量,被动效果：释放体内神秘的力量，使得自身格挡增加20%，攻击增加32%,skillico_245,"""24025214""",撕裂,被动效果：一击杀不死，也能让你流血流死！普攻有50%概率使目标流血，每回合造成44%的攻击伤害，持续2回合,skillico_231,,,,
24026,虚空刺客,罗伊,2402,2,6,4,5,24026,24026,,,24025,24026,"[2,4,6]",5,24026012,skillico_029,破防烈焰2,怒气技能：对敌方后排造成111%攻击伤害并降低其24.5%防御2回合,"""24026111"",""24026121""",神秘力量2,被动效果：释放体内神秘的力量，使得自身格挡增加20%，攻击增加36%,skillico_245,"""24026214""",撕裂2,被动效果：一击杀不死，也能让你流血流死！普攻有50%概率使目标流血，每回合造成66%的攻击伤害，持续2回合,skillico_231,"""24026314""",虚无之力2,被动效果：化身虚无，格挡成功时，提升自己攻击12.5%，持续3回合,skillico_246
24035,虚灵杀手蟹,幻影,2403,2,5,4,4,24035,24035,,,,24035,"[3,5]",2,24035012,skillico_023,冷焰冲击,怒气技能：对敌方随机2名后排目标造成101%攻击伤害，每回合额外造成66%攻击伤害，持续2回合,"""24035114""",撕裂,被动效果：硕大的蟹钳，普攻有54%概率使目标流血，每回合造成55%攻击伤害，持续2回合,skillico_231,"""24035211"",""24035221""",巨蟹之力,被动效果：巨蟹一族的力量，自身格挡增加25%，攻击增加22%,skillico_245,,,,
24036,虚灵杀手蟹,幻影,2403,2,6,4,5,24036,24036,2403a,2403a,24035,24036,"[2,4,6]",2,24036012,skillico_023,冷焰冲击2,怒气技能：对敌方随机2名后排目标造成151%攻击伤害，每回合额外造成88%攻击伤害，持续2回合,"""24036114""",撕裂2,被动效果：硕大的蟹钳，普攻有72%概率使目标流血，每回合造成66%的攻击伤害，持续2回合,skillico_231,"""24036211"",""24036221""",巨蟹之力2,被动效果：巨蟹一族的力量，自身格挡增加30%，攻击增加33%,skillico_245,"""24036314""",力量窃取2,被动效果：专门欺负弱小，普通攻击变成攻击敌方生命最少的英雄，并窃取目标11.1%攻击3回合,skillico_247
25011,鹰身女妖,老矿工,2501,2,1,5,0,25011,25011,,,,25011,[],1,25011012,skillico_030,俯身直冲,怒气技能：对单个敌人造成160%伤害，并有30%概率冰冻敌人2回合,,,,,,,,,,,,
25023,火焰元素,火拳,2502,2,3,5,2,25023,25023,,,,25023,[2],2,25023012,skillico_023,火焰投掷,怒气技能：对敌方随机3个目标造成75%伤害，并使得敌人流血2回合，每回合造成35%攻击伤害,"""25023111"",""25023121""",元素之力,被动效果：血量提升10%，闪避提升10%,skillico_237,,,,,,,,
25033,水滴元素,MK-05,2503,2,3,5,2,25033,25033,,,,25033,[2],5,25033012,skillico_017,寒冰侵袭,怒气技能：对敌方随机3个目标造成95%攻击伤害，并降低敌人护甲15%，持续1回合。如果对方是法师，则有40%概率冰冻对方1回合,"""25033114""",快速愈合,被动效果：受到伤害有50%概率恢复英雄30%攻击的生命（受控触发）,skillico_204,,,,,,,,
25044,探险家,烈酒,2504,2,4,5,3,25044,25044,,,,25044,"[2,4]",2,25044012,skillico_031,绝命射击,怒气技能：对随机2名后排敌人造成90%攻击伤害，每回合造成50%流血伤害，并使自己命中提升10%持续2回合。,"""25044111"",""25044121""",压制,被动效果：格挡提升10%，破防提升10%,skillico_250,"""25044211""",勇者之心,被动效果：暴击提升20%,skillico_251,,,,
25045,探险家,烈酒,2504,2,5,5,4,25045,25045,,,,25045,"[3,5]",2,25045012,skillico_031,绝命射击,怒气技能：对随机2名后排敌人造成100%攻击伤害，每回合造成60%流血伤害，并使自己命中提升20%持续2回合。,"""25045111"",""25045121""",压制,被动效果：格挡提升15%，破防提升15%,skillico_250,"""25045211""",勇者之心,被动效果：暴击提升30%,skillico_251,,,,
25054,虚灵狼,LM-02,2505,2,4,5,3,25054,25054,,,,25054,"[2,4]",5,25054012,skillico_032,幻影绞杀,怒气技能：普攻对随机3个敌人造成120%攻击伤害，并每回合造成35%流血伤害持续2回合,"""25054111"",""25054121""",狼族天赋,被动效果：攻击提升10%，格挡提升10%,skillico_252,"""25054214""",虚灵体,被动效果：每当我方英雄死亡，增加10%格挡概率,skillico_222,,,,
25055,虚灵狼,LM-02,2505,2,5,5,4,25055,25055,,,,25055,"[3,5]",5,25055012,skillico_032,幻影绞杀,怒气技能：普攻对随机3个敌人造成140%攻击伤害，并每回合造成50%流血伤害持续2回合,"""25055111"",""25055121""",狼族天赋,被动效果：攻击提升15%，格挡提升15%,skillico_252,"""25055214""",虚灵体,被动效果：每当我方英雄死亡，增加10%格挡概率,skillico_222,,,,
25065,风领主,冰闪,2506,2,5,5,4,25065,25065,,,,25065,"[2,3,5]",2,25065012,skillico_033,风灵突袭,怒气技能：对敌方后排造成95%攻击伤害并有25%概率使目标冰冻2回合,"""25065111"",""25065121""",风灵力量,被动效果：风灵的力量让自身破防增加32%，攻击增加22%,skillico_227,"""25065214"",""25065224""",御风,被动效果：统御狂风，受到攻击时降低攻击者3.3%攻击并增加自己3.3%攻击，持续3回合,skillico_253,"""25065314""",风灵秘技,被动效果：掌握风雪的力量，对冰冻的目标，增加38%的额外伤害,skillico_254
25066,风领主,冰闪,2506,2,6,5,5,25066,25066,2506a,2506a,25065,25066,"[2,4,6]",2,25066012,skillico_033,风灵突袭2,怒气技能：对敌方全体造成120%攻击伤害并有25%概率使目标冰冻2回合,"""25066111"",""25066121""",风灵力量2,被动效果：风灵的力量让自身破防增加32%，攻击增加33%,skillico_227,"""25066214"",""25066224""",御风2,被动效果：统御狂风，受到攻击时降低攻击者7.7%攻击并增加自己7.7%攻击，持续3回合,skillico_253,"""25066314""",风灵秘技2,被动效果：掌握风雪的力量，对冰冻的目标，增加62%的额外伤害,skillico_254
25075,奥秘管理员,美树,2507,2,5,5,4,25075,25075,,,,25075,"[2,3,5]",7,25075012,skillico_034,奥术冲击,怒气技能：对敌方前排造成150%攻击伤害并增加自身22.5%攻击2回合,"""25075111"",""25075121"",""25075131""",机械能量,被动效果：使用科技力量打造的机械身躯，使得格挡增加25%，速度增加40，生命增加12%,skillico_255,"""25075214""",自我修复,被动效果：每次格挡时自我修复，回复自身120%攻击等量生命（受控不触发）,skillico_211,"""25075314""",随机攻击,被动效果：我都不知道我能打着谁，普通攻击变为攻击敌方随机1名目标，同时减少目标9.9%命中2回合,skillico_224
25076,奥秘管理员,美树,2507,2,6,5,5,25076,25076,2507a,2507a,25075,25076,"[2,4,6]",7,25076012,skillico_034,奥术冲击2,怒气技能：对敌方前排造成225%攻击伤害并增加自身45%攻击2回合,"""25076111"",""25076121"",""25076131""",机械能量2,被动效果：使用科技力量打造的机械身躯，使得格挡增加30%，速度增加50，生命增加16%,skillico_255,"""25076214""",自我修复2,被动效果：每次格挡时自我修复，回复自身156%攻击等量生命（受控不触发）,skillico_211,"""25076314""",随机攻击2,被动效果：我都不知道我能打着谁，普通攻击变为攻击前排敌人，伤害为88%攻击效果，同时减少目标16%命中2回合,skillico_224
31012,暗影行者,强森,3101,3,2,1,1,31012,31012,,,,31012,[2],1,31012012,skillico_035,深渊之拳,怒气技能：对单个敌人造成140%伤害，并使敌人防御降低35%，持续2回合,"""31012111""",生命仪式,被动效果：祭祀邪能之力，生命永久提升25%,skillico_223,,,,,,,,
31023,邪能石魔,深渊守卫,3102,3,3,1,2,31023,31023,,,,31023,[2],1,31023012,skillico_035,地狱重击,怒气技能：对敌方血量最少的目标造成140%攻击伤害，并使自己攻击增加10%，持续3回合,"""31023111""",石化之心,被动效果：护甲提升35%,skillico_258,,,,,,,,
31033,双头地狱犬,烈焰红唇,3103,3,3,1,2,31033,31033,,,,31033,[2],1,31033012,skillico_036,熔犬头槌,怒气技能：对敌方单个目标造成160%攻击伤害，并使自己格挡提升15%，持续2回合,"""31033111""",火焰之心,被动效果：攻击永久提升20%,skillico_296,,,,,,,,
31044,魔王格莱斯顿,坦纳,3104,3,4,1,3,31044,31044,,,,31044,"[2,4]",2,31044012,skillico_037,邪能火球,怒气技能：对随机单个敌人造成160%攻击伤害，并增加自身10%免伤2回合,"""31044111""",恶魔身躯,被动效果：防御增加35%,skillico_256,"""31044214""",不屈之心,被动效果：魔王从不屈服，受到伤害有50%几率恢复70%攻击的生命（受控触发）,skillico_211,,,,
31045,魔王格莱斯顿,坦纳,3104,3,5,1,4,31045,31045,,,,31045,"[3,5]",2,31045012,skillico_037,邪能火球,怒气技能：对随机单个敌人造成180%攻击伤害，并增加自身15%免伤2回合,"""31045111""",恶魔身躯,被动效果：防御增加45%,skillico_256,"""31045214""",不屈之心,被动效果：魔王从不屈服，受到伤害有50%几率恢复120%攻击的生命（受控触发）,skillico_211,,,,
31054,深渊机甲,雷蒙盖顿,3105,3,4,1,3,31054,31054,,,,31054,"[2,4]",5,31054012,skillico_029,魔能爆裂,怒气技能：对敌方后排造成90%攻击伤害，并有40%概率沉默目标1回合,"""31054114""",涡轮增加,被动效果：每次普攻提升自己10%暴击率,skillico_258,"""31054211"",""31054221""",巨型单位,被动效果：暴击提升10%，攻击提升15%,skillico_293,,,,
31055,深渊机甲,雷蒙盖顿,3105,3,5,1,4,31055,31055,,,,31055,"[3,5]",5,31055012,skillico_029,魔能爆裂,怒气技能：对敌方后排造成100%攻击伤害，并有30%概率沉默目标2回合,"""31055114""",涡轮增加,被动效果：每次普攻提升自己10%暴击率,skillico_258,"""31054211"",""31054221""",巨型单位,被动效果：暴击提升10%，攻击提升15%,skillico_293,,,,
31064,颤栗魔王,伊姆拉图斯,3106,3,4,1,3,31064,31064,,,,31064,"[2,4]",2,31064012,skillico_038,邪能冲击,怒气技能：对敌方后排造成100%攻击伤害，如果敌人是法师则造成额外60%伤害,"""31064114""",坚韧,被动效果：如果魔王普攻的目标格挡，则对目标造成60%流血伤害，持续2回合,skillico_204,"""31064211"",""31064221""",魔体,被动效果：格挡增加10%，攻击增加10%,skillico_207,,,,
31065,颤栗魔王,伊姆拉图斯,3106,3,5,1,4,31065,31065,,,,31065,"[3,5]",2,31065012,skillico_038,邪能冲击,怒气技能：对敌方后排造成120%攻击伤害，如果敌人是法师则造成额外90%伤害,"""31065114""",坚韧,被动效果：如果魔王普攻的目标格挡，则对目标造成80%流血伤害，持续2回合,skillico_204,"""31065211"",""31065221""",魔体,被动效果：格挡增加10%，攻击增加10%,skillico_207,,,,
31075,理查兹领主,巴洛克领主,3107,3,5,1,4,31075,31075,,,,31075,"[2,3,5]",5,31075012,skillico_005,火焰雨,怒气技能：对敌方单个目标造成253%攻击伤害并使生命最少的友军回复181%攻击等量生命,"""31075114""",心灵恐惧,被动效果：让敌人感到恐惧，受到攻击降低攻击者10%暴击，持续3回合,skillico_260,"""31075211"",""31075221""",恶魔身躯,被动效果：强大的恶魔身躯，使得自身防御增加31%，生命增加22%,skillico_256,"""31075314""",恶魔之甲,被动效果：穿着恶魔铠甲，使得自身生命低于30%时，提升自己防御63%，持续3回合（只触发一次）,skillico_202
31076,理查兹领主,巴洛克领主,3107,3,6,1,5,31076,31076,3107a,3107a,31075,31076,"[2,4,6]",5,31076012,skillico_005,火焰雨2,怒气技能：对敌方单个目标造成281%攻击伤害并使生命最少的友军回复253%攻击等量生命,"""31076114""",心灵恐惧2,被动效果：让敌人感到恐惧，受到攻击降低攻击者16%暴击，持续3回合,skillico_260,"""31076211"",""31076221""",恶魔身躯2,被动效果：强大的恶魔身躯，使得自身防御增加31%，生命增加29%,skillico_256,"""31076314""",恶魔之甲2,被动效果：穿着恶魔铠甲，使得自身生命低于30%时，提升自己防御102%，持续3回合（只触发一次）,skillico_202
31085,毁灭巨龙,古斯塔,3108,3,5,1,4,31085,31085,,,,31085,"[3,5]",2,31085012,skillico_039,死亡吐息,怒气技能：对敌方后排造成76%攻击伤害并有25%概率使目标眩晕2回合,"""31085111"",""31085121""",恶魔身躯,被动效果：恶魔的身躯非常强大，自身的防御增加33%，生命增加19%,skillico_256,"""31085214""",以牙还牙,被动效果：你咬疼我了，蚂蚁！受到暴击有100%概率发动一次反击，造成152%的攻击伤害,skillico_201,,,,
31086,毁灭巨龙,古斯塔,3108,3,6,1,5,31086,31086,3108a,3108a,31085,31086,"[2,4,6]",2,31086012,skillico_039,死亡吐息2,怒气技能：对敌方后排造成91%攻击伤害并有29%概率使目标眩晕2回合,"""31086111"",""31086121""",恶魔身躯2,被动效果：恶魔的身躯非常强大，自身的防御增加34%，生命增加28%,skillico_256,"""31086214""",以牙还牙2,被动效果：你咬疼我了，蚂蚁！受到暴击有100%概率发动一次反击，造成243%的攻击伤害,skillico_201,"""31086314""",魔力护体2,被动效果：自身生命低于75%时，施放魔力守护自己，提升自己减伤34%，持续3回合（只触发一次）,skillico_261
31095,黑锋骑士,丹特里安,3109,3,5,1,4,31095,31095,,,,31095,"[2,3,5]",11,31095012,skillico_061,炎枪爆裂,怒气技能：对随机2名敌人造成170%攻击伤害，每回合额外造成30%燃烧伤害，持续4回合,"""31095111"",""31095124""",骑士荣誉,被动效果：伤害减免增加6%。黑锋骑士攻击时，如果目标是游侠，则造成额外60%伤害。,skillico_307,"""31095211"",""31095214""",枪术精通,被动效果：攻击永久增加15%，每次出手伤害增加20%，持续6回合,skillico_308,"""31095311"",""31095314"",""31095321""",不屈,被动效果：防御增加30%，生命增加30%，受到任何攻击恢复生命上限1%生命（受控不触发）,skillico_309
31096,黑锋骑士,丹特里安,3109,3,6,1,5,31096,31096,3109a,3109a,31095,31096,"[2,4,6]",11,31096012,skillico_061,炎枪爆裂2,怒气技能：对随机3名敌人造成185%攻击伤害，每回合额外造成50%燃烧伤害，持续4回合,"""31096111"",""31096124""",骑士荣誉2,被动效果：伤害减免增加9%。黑锋骑士攻击时，如果目标是游侠，则造成额外80%伤害。,skillico_307,"""31096211"",""31096214""",枪术精通2,被动效果：攻击永久增加20%，每次出手伤害增加30%，持续6回合,skillico_308,"""31096311"",""31096314"",""31096321""",不屈2,被动效果：防御增加35%，生命增加40%，受到任何攻击恢复生命上限2%生命（受控不触发）,skillico_309
32011,火焰小鬼,火焰之子,3201,3,1,2,0,32011,32011,,,,32011,[],2,32011012,skillico_023,小火球,怒气技能：对后排敌人造成90%伤害,,,,,,,,,,,,
32023,地狱守卫者,狂暴兽,3202,3,3,2,2,32023,32023,,,,32023,[2],2,32023012,skillico_023,火焰爆炸,怒气技能：对前排敌人造成120%攻击伤害，并使得目标护甲降低25%，持续2回合,"""32023114""",血能,被动效果：每次普攻恢复自身30%攻击的生命,skillico_211,,,,,,,,
32034,逐日法师,毁灭者,3203,3,4,2,3,32034,32034,,,,32034,[3],6,32034012,skillico_010,邪能射线,怒气技能：对敌方全体造成70%攻击伤害,"""32034114""",越战越勇,被动效果：身体里流淌着逐日者家族的血液，每次普攻增加自己11%攻击,skillico_226,,,,,,,,
32035,逐日法师,毁灭者,3203,3,5,2,4,32035,32035,,,,32035,"[3,5]",6,32035012,skillico_010,邪能射线,怒气技能：对敌方全体造成76%攻击伤害,"""32035114""",越战越勇,被动效果：身体里流淌着逐日者家族的血液，每次普攻增加自己11%攻击,skillico_226,"""32035214""",过热,被动效果：掌控火焰的力量，对燃烧的目标，增加24%的额外伤害,skillico_262,,,,
32036,逐日法师,毁灭者,3203,3,6,2,5,32036,32036,,,32035,32036,"[2,4,6]",6,32036012,skillico_010,邪能射线2,怒气技能：对敌方全体造成85%攻击伤害,"""32036111""",越战越勇2,被动效果：身体里流淌着逐日者家族的血液，攻击增加21%,skillico_226,"""32036214""",过热2,被动效果：掌控火焰的力量，对燃烧的目标，增加36%的额外伤害,skillico_262,"""32036314""",沸腾之血2,被动效果：英雄死亡释放逐日之力，使得全体敌方每回合受到68%伤害，持续3回合,skillico_211
32044,毁灭之主,阿勒里亚,3204,3,4,2,3,32044,32044,,,,32044,[3],2,32044012,skillico_040,死亡一击,怒气技能：对敌方随机2名目标造成185%攻击伤害并对刺客类目标造成61%额外伤害,"""32044114"",""32044124""",偷窃攻击,被动效果：外域生物，能够控制灵魂的力量，普攻时偷取目标15%攻击,skillico_247,,,,,,,,
32045,毁灭之主,阿勒里亚,3204,3,5,2,4,32045,32045,,,,32045,"[3,5]",2,32045012,skillico_040,死亡一击,怒气技能：对敌方随机3名目标造成166%攻击伤害并对刺客类目标造成61%额外伤害,"""32045114"",""32045124""",偷窃攻击,被动效果：外域生物，能够控制灵魂的力量，普攻时偷取目标19%攻击,skillico_247,"""32045214""",刺客之敌,被动效果：作为刺客的克星，对刺客增加21%的额外伤害,skillico_263,,,,
32046,毁灭之主,阿勒里亚,3204,3,6,2,5,32046,32046,,,32045,32046,"[2,4,6]",2,32046012,skillico_040,死亡一击2,怒气技能：对敌方随机4名目标造成141%攻击伤害并对刺客类目标造成61%额外伤害,"""32046114"",""32046124""",偷窃攻击2,被动效果：外域生物，能够控制灵魂的力量，普攻时偷取目标19%攻击,skillico_247,"""32046214""",刺客之敌2,被动效果：作为刺客的克星，对刺客增加31%的额外伤害,skillico_263,"""32046314""",恶魔之血2,被动效果：自身生命低于50%，激发恶魔的血液，提升自己暴击12%，持续3回合（只触发一次）,skillico_211
32055,火焰魔王,玛格丽特,3205,3,5,2,4,32055,32055,,,,32055,"[3,5]",7,32055012,skillico_041,火焰大爆炸,怒气技能：对敌方随机4名目标造成51%攻击伤害，每回合额外造成54%攻击伤害，持续3回合,"""32055114""",火毒,被动效果：不只是单纯的火焰，普攻有72%概率使目标中毒，每回合造成64%攻击伤害，持续2回合,skillico_264,"""32055214""",火毒爆裂,被动效果：英雄死亡后将自身献祭，使敌方全体中毒，每回合造成56%攻击伤害，持续3回合,skillico_265,,,,
32056,火焰魔王,玛格丽特,3205,3,6,2,5,32056,32056,3205a,3205a,32055,32056,"[2,4,6]",7,32056012,skillico_041,火焰大爆炸2,怒气技能：对敌方全体造成43%攻击伤害，每回合额外造成61%攻击伤害，持续3回合,"""32056114""",火毒2,被动效果：不只是单纯的火焰，普攻有81%概率使目标中毒，每回合造成71%攻击伤害，持续2回合,skillico_264,"""32056214""",火毒爆裂2,被动效果：英雄死亡后将自身献祭，使敌方全体中毒，每回合造成64%攻击伤害，持续3回合,skillico_265,"""32056314""",绿火之肤2,被动效果：皮肤含有毒素，受到攻击时61%概率使目标中毒，每回合造成53%攻击伤害，持续3回合,skillico_266
33014,魅影女妖,罗格,3301,3,4,3,3,33014,33014,,,,33014,"[2,4]",5,33014012,skillico_005,痛苦流星,怒气技能：对敌方前排造成120%攻击伤害，并恢复我方前排英雄75%攻击生命,"""33014114"",""33014124""",伤害增加,被动效果：拥有美丽的外表，每次普攻增加5%攻击，5%暴击，持续6回合,skillico_215,"""33014214""",魅惑,被动效果：魅影女妖魅惑敌人，普攻有50%概率降低对方攻击20%，持续2回合,skillico_056,,,,
33015,魅影女妖,罗格,3301,3,5,3,4,33015,33015,,,,33015,"[3,5]",5,33015012,skillico_005,痛苦流星,怒气技能：对敌方随机3个目标130%攻击伤害，并恢复我方前排英雄85%攻击生命,"""33015114"",""33014124""",伤害增加,被动效果：拥有美丽的外表，每次普攻增加10%攻击，10%暴击，持续6回合,skillico_215,"""33015214""",魅惑,被动效果：魅影女妖魅惑敌人，普攻有50%概率降低对方攻击20%，持续2回合,skillico_056,,,,
33024,邪灵术士,诺玛,3302,3,4,3,3,33024,33024,,,,33024,"[2,4]",6,33024012,skillico_042,生命虹吸,怒气技能：对敌方生命最少的目标造成145%攻击伤害并回复生命最少的友军攻击181%生命,"""33024114""",赋予生机,被动效果：身为术士，拥有各种奇特的攻击手段，普攻有51%概率赋予友军生机，使生命最少的友军恢复49%攻击等量生命,skillico_223,"""33024214""",恢复,被动效果：在自己身上做的实验太多了，身体已经变异了，受到攻击时100%概率使自己恢复36%攻击等量生命（受控触发）,skillico_223,,,,
33025,邪灵术士,诺玛,3302,3,5,3,4,33025,33025,,,,33025,"[3,5]",6,33025012,skillico_042,生命虹吸,怒气技能：对敌方生命最少的目标造成154%攻击伤害并回复生命最少的友军攻击281%生命,"""33025114""",赋予生机,被动效果：身为术士，拥有各种奇特的攻击手段，普攻有51%概率赋予友军生机，使生命最少的友军恢复91%攻击等量生命,skillico_223,"""33025214""",恢复,被动效果：在自己身上做的实验太多了，身体已经变异了，受到攻击时100%概率使自己恢复44%攻击等量生命（受控触发）,skillico_223,,,,
33026,邪灵术士,诺玛,3302,3,6,3,5,33026,33026,,,33025,33026,"[2,4,6]",6,33026012,skillico_042,生命虹吸2,怒气技能：对敌方生命最少的目标造成172%攻击伤害并回复生命最少的友军402%攻击等量生命,"""33026114""",赋予生机2,被动效果：身为术士，拥有各种奇特的攻击手段，普攻有51%概率赋予友军生机，使生命最少的友军恢复112%攻击等量生命,skillico_223,"""33026214""",恢复2,被动效果：在自己身上做的实验太多了，身体已经变异了，受到攻击时100%概率使自己恢复52%攻击等量生命（受控触发）,skillico_223,"""33026311"",""33026321""",邪能之力2,被动效果：掌握了邪能的奥秘，攻击增加21%，生命增加16%,skillico_268
34014,莎拉夫人,阿卡莎,3401,3,4,4,3,34014,34014,,,,34014,"[2,4]",5,34014012,skillico_006,暗影腐蚀,怒气技能：对随机1名敌人造成220%攻击伤害，并使敌人护甲降低30%，持续2回合,"""34014111""",恶魔力量,被动效果：身体里有恶魔的力量，技能伤害增加25%,skillico_268,"""34014214""",弱点袭击,被动效果：每次普攻增加自身破防10%，持续5回合,skillico_276,,,,
34015,莎拉夫人,阿卡莎,3401,3,5,4,4,34015,34015,,,,34015,"[3,5]",5,34015012,skillico_006,暗影腐蚀,怒气技能：对随机2名敌人造成150%攻击伤害，并使敌人护甲降低35%，持续2回合,"""34015111""",恶魔力量,被动效果：身体里有恶魔的力量，技能伤害增加30%,skillico_268,"""34015214""",弱点袭击,被动效果：每次普攻增加自身破防10%，持续5回合,skillico_276,,,,
34025,恶魔刺客,克里姆,3402,3,5,4,4,34025,34025,,,,34025,"[3,5]",7,34025012,skillico_3402_1,噬魂斩击,怒气技能：对敌方生命最少的目标造成202%攻击伤害并吸取其21%攻击2回合,"""34025111"",""34025121"",""34025131""",魔王之力,被动效果：身体里隐藏着强大的魔王之力，攻击增加21%，暴击增加20%，生命增加11%,skillico_3402_2,"""34025214""",力量窃取,被动效果：恶魔刺客最喜欢敌人的鲜血，敌方英雄死亡时，吸收其力量增加自己16%攻击,skillico_3402_3,,,,
