¹Ø¿¨±àºÅ,ÄÑ¶È,ÇøÓò,½âËøµÈ¼¶,¹Ø¿¨ÀàÐÍ,¹Ø¿¨BOSS,Î»ÖÃ,Ãû³Æ,¹Ò»ú²úÖµ,¹Ò»úµôÂä,Í¨¹Ø½±Àø,,,,,,,
173,3,2,78,1,173,"""x"":288,""y"":229",ºÚ°µÁúÑ¨(173),"""useexp"":89,""jinbi"":50,""exp"":68,""jifen"":1","""201173"",""202171"",""203093"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":46636},{""a"":""attr"",""t"":""jinbi"",""n"":23200},{""a"":""attr"",""t"":""exp"",""n"":27472}",,,,,,,
174,3,2,80,1,174,"""x"":405,""y"":231",ºÚ°µÁúÑ¨(174),"""useexp"":89,""jinbi"":50,""exp"":68,""jifen"":1","""201174"",""202171"",""203094"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":46814},{""a"":""attr"",""t"":""jinbi"",""n"":23300},{""a"":""attr"",""t"":""exp"",""n"":27472}",,,,,,,
175,3,2,80,2,175,"""x"":429,""y"":334",ºÚ°µÁúÑ¨(175),"""useexp"":89,""jinbi"":50,""exp"":68,""jifen"":1","""201175"",""202171"",""203095"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":46992},{""a"":""attr"",""t"":""jinbi"",""n"":23400},{""a"":""attr"",""t"":""exp"",""n"":27472}",,,,,,,
176,3,2,80,1,176,"""x"":523,""y"":439",ºÚ°µÁúÑ¨(176),"""useexp"":92,""jinbi"":50,""exp"":69,""jifen"":1","""201176"",""202171"",""203091"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":48760},{""a"":""attr"",""t"":""jinbi"",""n"":23500},{""a"":""attr"",""t"":""exp"",""n"":27472}",,,,,,,
177,3,2,80,1,177,"""x"":672,""y"":445",ºÚ°µÁúÑ¨(177),"""useexp"":92,""jinbi"":50,""exp"":69,""jifen"":1","""201177"",""202171"",""203092"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":48944},{""a"":""attr"",""t"":""jinbi"",""n"":23600},{""a"":""attr"",""t"":""exp"",""n"":28428}",,,,,,,
178,3,2,82,1,178,"""x"":786,""y"":412",ºÚ°µÁúÑ¨(178),"""useexp"":92,""jinbi"":50,""exp"":69,""jifen"":1","""201178"",""202171"",""203093"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":49128},{""a"":""attr"",""t"":""jinbi"",""n"":23700},{""a"":""attr"",""t"":""exp"",""n"":28428}",,,,,,,
179,3,2,82,1,179,"""x"":756,""y"":342",ºÚ°µÁúÑ¨(179),"""useexp"":92,""jinbi"":50,""exp"":69,""jifen"":1","""201179"",""202171"",""203094"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":49312},{""a"":""attr"",""t"":""jinbi"",""n"":23800},{""a"":""attr"",""t"":""exp"",""n"":28428}",,,,,,,
180,3,2,82,3,180,"""x"":855,""y"":256",ºÚ°µÁúÑ¨(180),"""useexp"":92,""jinbi"":50,""exp"":69,""jifen"":1","""201180"",""202171"",""203095"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":49496},{""a"":""attr"",""t"":""jinbi"",""n"":23900},{""a"":""attr"",""t"":""exp"",""n"":28428}",,,,,,,
181,3,3,82,1,181,"""x"":101,""y"":254",ÊØ»¤Ö®Ëþ(181),"""useexp"":93,""jinbi"":51,""exp"":70,""jifen"":1","""201181"",""202171"",""203091"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":50220},{""a"":""attr"",""t"":""jinbi"",""n"":24480},{""a"":""attr"",""t"":""exp"",""n"":29400}",,,,,,,
182,3,3,84,1,182,"""x"":150,""y"":329",ÊØ»¤Ö®Ëþ(182),"""useexp"":93,""jinbi"":51,""exp"":70,""jifen"":1","""201182"",""202171"",""203092"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":50406},{""a"":""attr"",""t"":""jinbi"",""n"":24582},{""a"":""attr"",""t"":""exp"",""n"":29400}",,,,,,,
183,3,3,84,1,183,"""x"":287,""y"":362",ÊØ»¤Ö®Ëþ(183),"""useexp"":93,""jinbi"":51,""exp"":70,""jifen"":1","""201183"",""202171"",""203093"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":50592},{""a"":""attr"",""t"":""jinbi"",""n"":24684},{""a"":""attr"",""t"":""exp"",""n"":29400}",,,,,,,
184,3,3,84,1,184,"""x"":366,""y"":289",ÊØ»¤Ö®Ëþ(184),"""useexp"":93,""jinbi"":51,""exp"":70,""jifen"":1","""201184"",""202171"",""203094"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":50778},{""a"":""attr"",""t"":""jinbi"",""n"":24786},{""a"":""attr"",""t"":""exp"",""n"":29400}",,,,,,,
185,3,3,84,2,185,"""x"":500,""y"":311",ÊØ»¤Ö®Ëþ(185),"""useexp"":93,""jinbi"":51,""exp"":70,""jifen"":1","""201185"",""202171"",""203095"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":50964},{""a"":""attr"",""t"":""jinbi"",""n"":24888},{""a"":""attr"",""t"":""exp"",""n"":29960}",,,,,,,
186,3,3,86,1,186,"""x"":621,""y"":379",ÊØ»¤Ö®Ëþ(186),"""useexp"":96,""jinbi"":51,""exp"":71,""jifen"":1","""201186"",""202171"",""203091"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":52800},{""a"":""attr"",""t"":""jinbi"",""n"":24990},{""a"":""attr"",""t"":""exp"",""n"":29960}",,,,,,,
187,3,3,86,1,187,"""x"":719,""y"":362",ÊØ»¤Ö®Ëþ(187),"""useexp"":96,""jinbi"":51,""exp"":71,""jifen"":1","""201187"",""202171"",""203092"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":52992},{""a"":""attr"",""t"":""jinbi"",""n"":25092},{""a"":""attr"",""t"":""exp"",""n"":29960}",,,,,,,
188,3,3,86,1,188,"""x"":641,""y"":260",ÊØ»¤Ö®Ëþ(188),"""useexp"":96,""jinbi"":51,""exp"":71,""jifen"":1","""201188"",""202171"",""203093"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":53184},{""a"":""attr"",""t"":""jinbi"",""n"":25194},{""a"":""attr"",""t"":""exp"",""n"":29960}",,,,,,,
189,3,3,86,1,189,"""x"":727,""y"":234",ÊØ»¤Ö®Ëþ(189),"""useexp"":96,""jinbi"":51,""exp"":71,""jifen"":1","""201189"",""202171"",""203094"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":53376},{""a"":""attr"",""t"":""jinbi"",""n"":25296},{""a"":""attr"",""t"":""exp"",""n"":30956}",,,,,,,
190,3,3,88,3,190,"""x"":847,""y"":224",ÊØ»¤Ö®Ëþ(190),"""useexp"":96,""jinbi"":51,""exp"":71,""jifen"":1","""201190"",""202171"",""203095"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":53568},{""a"":""attr"",""t"":""jinbi"",""n"":25398},{""a"":""attr"",""t"":""exp"",""n"":30956}",,,,,,,
191,3,4,88,1,191,"""x"":210,""y"":431",¾£¼¬º£°¶(191),"""useexp"":97,""jinbi"":52,""exp"":72,""jifen"":1","""201191"",""202171"",""203091"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":54320},{""a"":""attr"",""t"":""jinbi"",""n"":26000},{""a"":""attr"",""t"":""exp"",""n"":30956}",,,,,,,
192,3,4,88,1,192,"""x"":128,""y"":362",¾£¼¬º£°¶(192),"""useexp"":97,""jinbi"":52,""exp"":72,""jifen"":1","""201192"",""202171"",""203092"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":54514},{""a"":""attr"",""t"":""jinbi"",""n"":26104},{""a"":""attr"",""t"":""exp"",""n"":30956}",,,,,,,
193,3,4,88,1,193,"""x"":242,""y"":296",¾£¼¬º£°¶(193),"""useexp"":97,""jinbi"":52,""exp"":72,""jifen"":1","""201193"",""202171"",""203093"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":54708},{""a"":""attr"",""t"":""jinbi"",""n"":26208},{""a"":""attr"",""t"":""exp"",""n"":31968}",,,,,,,
194,3,4,90,1,194,"""x"":340,""y"":354",¾£¼¬º£°¶(194),"""useexp"":97,""jinbi"":52,""exp"":72,""jifen"":1","""201194"",""202171"",""203094"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":54902},{""a"":""attr"",""t"":""jinbi"",""n"":26312},{""a"":""attr"",""t"":""exp"",""n"":31968}",,,,,,,
195,3,4,90,2,195,"""x"":424,""y"":226",¾£¼¬º£°¶(195),"""useexp"":97,""jinbi"":52,""exp"":72,""jifen"":1","""201195"",""202171"",""203095"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":55096},{""a"":""attr"",""t"":""jinbi"",""n"":26416},{""a"":""attr"",""t"":""exp"",""n"":31968}",,,,,,,
196,3,4,90,1,196,"""x"":625,""y"":304",¾£¼¬º£°¶(196),"""useexp"":99,""jinbi"":52,""exp"":73,""jifen"":1","""201196"",""202171"",""203091"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":56430},{""a"":""attr"",""t"":""jinbi"",""n"":26520},{""a"":""attr"",""t"":""exp"",""n"":31968}",,,,,,,
197,3,4,90,1,197,"""x"":601,""y"":439",¾£¼¬º£°¶(197),"""useexp"":99,""jinbi"":52,""exp"":73,""jifen"":1","""201197"",""202171"",""203092"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":56628},{""a"":""attr"",""t"":""jinbi"",""n"":26624},{""a"":""attr"",""t"":""exp"",""n"":32996}",,,,,,,
198,3,4,92,1,198,"""x"":726,""y"":437",¾£¼¬º£°¶(198),"""useexp"":99,""jinbi"":52,""exp"":73,""jifen"":1","""201198"",""202171"",""203093"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":56826},{""a"":""attr"",""t"":""jinbi"",""n"":26728},{""a"":""attr"",""t"":""exp"",""n"":32996}",,,,,,,
199,3,4,92,1,199,"""x"":803,""y"":383",¾£¼¬º£°¶(199),"""useexp"":99,""jinbi"":52,""exp"":73,""jifen"":1","""201199"",""202171"",""203094"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":57024},{""a"":""attr"",""t"":""jinbi"",""n"":26832},{""a"":""attr"",""t"":""exp"",""n"":32996}",,,,,,,
200,3,4,92,3,200,"""x"":749,""y"":218",¾£¼¬º£°¶(200),"""useexp"":99,""jinbi"":52,""exp"":73,""jifen"":1","""201200"",""202171"",""203095"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":57222},{""a"":""attr"",""t"":""jinbi"",""n"":26936},{""a"":""attr"",""t"":""exp"",""n"":32996}",,,,,,,
201,3,5,92,1,201,"""x"":103,""y"":364",ÁúÒí³²Ñ¨(201),"""useexp"":102,""jinbi"":53,""exp"":75,""jifen"":1","""201201"",""202201"",""203091"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":59160},{""a"":""attr"",""t"":""jinbi"",""n"":27560},{""a"":""attr"",""t"":""exp"",""n"":34500}",,,,,,,
202,3,5,94,1,202,"""x"":327,""y"":393",ÁúÒí³²Ñ¨(202),"""useexp"":102,""jinbi"":53,""exp"":75,""jifen"":1","""201202"",""202201"",""203092"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":59364},{""a"":""attr"",""t"":""jinbi"",""n"":27666},{""a"":""attr"",""t"":""exp"",""n"":34500}",,,,,,,
203,3,5,94,1,203,"""x"":296,""y"":262",ÁúÒí³²Ñ¨(203),"""useexp"":102,""jinbi"":53,""exp"":75,""jifen"":1","""201203"",""202201"",""203093"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":59568},{""a"":""attr"",""t"":""jinbi"",""n"":27772},{""a"":""attr"",""t"":""exp"",""n"":34500}",,,,,,,
204,3,5,94,1,204,"""x"":420,""y"":248",ÁúÒí³²Ñ¨(204),"""useexp"":102,""jinbi"":53,""exp"":75,""jifen"":1","""201204"",""202201"",""203094"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":59772},{""a"":""attr"",""t"":""jinbi"",""n"":27878},{""a"":""attr"",""t"":""exp"",""n"":34500}",,,,,,,
205,3,5,94,2,205,"""x"":498,""y"":297",ÁúÒí³²Ñ¨(205),"""useexp"":102,""jinbi"":53,""exp"":75,""jifen"":1","""201205"",""202201"",""203095"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":59976},{""a"":""attr"",""t"":""jinbi"",""n"":27984},{""a"":""attr"",""t"":""exp"",""n"":35100}",,,,,,,
206,3,5,96,1,206,"""x"":588,""y"":393",ÁúÒí³²Ñ¨(206),"""useexp"":105,""jinbi"":54,""exp"":77,""jifen"":1","""201206"",""202201"",""203091"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":61950},{""a"":""attr"",""t"":""jinbi"",""n"":28620},{""a"":""attr"",""t"":""exp"",""n"":35100}",,,,,,,
207,3,5,96,1,207,"""x"":715,""y"":447",ÁúÒí³²Ñ¨(207),"""useexp"":105,""jinbi"":54,""exp"":77,""jifen"":1","""201207"",""202201"",""203092"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":62160},{""a"":""attr"",""t"":""jinbi"",""n"":28728},{""a"":""attr"",""t"":""exp"",""n"":35100}",,,,,,,
208,3,5,96,1,208,"""x"":785,""y"":385",ÁúÒí³²Ñ¨(208),"""useexp"":105,""jinbi"":54,""exp"":77,""jifen"":1","""201208"",""202201"",""203093"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":62370},{""a"":""attr"",""t"":""jinbi"",""n"":28836},{""a"":""attr"",""t"":""exp"",""n"":35100}",,,,,,,
209,3,5,96,1,209,"""x"":749,""y"":256",ÁúÒí³²Ñ¨(209),"""useexp"":105,""jinbi"":54,""exp"":77,""jifen"":1","""201209"",""202201"",""203094"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":62580},{""a"":""attr"",""t"":""jinbi"",""n"":28944},{""a"":""attr"",""t"":""exp"",""n"":36652}",,,,,,,
210,3,5,98,3,210,"""x"":866,""y"":319",ÁúÒí³²Ñ¨(210),"""useexp"":105,""jinbi"":54,""exp"":77,""jifen"":1","""201210"",""202201"",""203095"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":62790},{""a"":""attr"",""t"":""jinbi"",""n"":29052},{""a"":""attr"",""t"":""exp"",""n"":36652}",,,,,,,
211,3,6,98,1,211,"""x"":99,""y"":213",ÒÅÍü¹ÅµØ(211),"""useexp"":107,""jinbi"":55,""exp"":79,""jifen"":1","""201211"",""202201"",""203091"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":64200},{""a"":""attr"",""t"":""jinbi"",""n"":29700},{""a"":""attr"",""t"":""exp"",""n"":36652}",,,,,,,
212,3,6,98,1,212,"""x"":111,""y"":323",ÒÅÍü¹ÅµØ(212),"""useexp"":107,""jinbi"":55,""exp"":79,""jifen"":1","""201212"",""202201"",""203092"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":64414},{""a"":""attr"",""t"":""jinbi"",""n"":29810},{""a"":""attr"",""t"":""exp"",""n"":36652}",,,,,,,
213,3,6,98,1,213,"""x"":242,""y"":384",ÒÅÍü¹ÅµØ(213),"""useexp"":107,""jinbi"":55,""exp"":79,""jifen"":1","""201213"",""202201"",""203093"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":64628},{""a"":""attr"",""t"":""jinbi"",""n"":29920},{""a"":""attr"",""t"":""exp"",""n"":38236}",,,,,,,
214,3,6,100,1,214,"""x"":305,""y"":283",ÒÅÍü¹ÅµØ(214),"""useexp"":107,""jinbi"":55,""exp"":79,""jifen"":1","""201214"",""202201"",""203094"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":64842},{""a"":""attr"",""t"":""jinbi"",""n"":30030},{""a"":""attr"",""t"":""exp"",""n"":38236}",,,,,,,
215,3,6,100,2,215,"""x"":379,""y"":212",ÒÅÍü¹ÅµØ(215),"""useexp"":107,""jinbi"":55,""exp"":79,""jifen"":1","""201215"",""202201"",""203095"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":65056},{""a"":""attr"",""t"":""jinbi"",""n"":30140},{""a"":""attr"",""t"":""exp"",""n"":38236}",,,,,,,
216,3,6,100,1,216,"""x"":533,""y"":223",ÒÅÍü¹ÅµØ(216),"""useexp"":110,""jinbi"":56,""exp"":81,""jifen"":1","""201216"",""202201"",""203091"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":67100},{""a"":""attr"",""t"":""jinbi"",""n"":30800},{""a"":""attr"",""t"":""exp"",""n"":38236}",,,,,,,
217,3,6,100,1,217,"""x"":611,""y"":268",ÒÅÍü¹ÅµØ(217),"""useexp"":110,""jinbi"":56,""exp"":81,""jifen"":1","""201217"",""202201"",""203092"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":67320},{""a"":""attr"",""t"":""jinbi"",""n"":30912},{""a"":""attr"",""t"":""exp"",""n"":39852}",,,,,,,
218,3,6,102,1,218,"""x"":579,""y"":362",ÒÅÍü¹ÅµØ(218),"""useexp"":110,""jinbi"":56,""exp"":81,""jifen"":1","""201218"",""202201"",""203093"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":67540},{""a"":""attr"",""t"":""jinbi"",""n"":31024},{""a"":""attr"",""t"":""exp"",""n"":39852}",,,,,,,
219,3,6,102,1,219,"""x"":713,""y"":473",ÒÅÍü¹ÅµØ(219),"""useexp"":110,""jinbi"":56,""exp"":81,""jifen"":1","""201219"",""202201"",""203094"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":67760},{""a"":""attr"",""t"":""jinbi"",""n"":31136},{""a"":""attr"",""t"":""exp"",""n"":39852}",,,,,,,
220,3,6,102,3,220,"""x"":865,""y"":436",ÒÅÍü¹ÅµØ(220),"""useexp"":110,""jinbi"":56,""exp"":81,""jifen"":1","""201220"",""202201"",""203095"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":67980},{""a"":""attr"",""t"":""jinbi"",""n"":31248},{""a"":""attr"",""t"":""exp"",""n"":39852}",,,,,,,
221,3,7,102,1,221,"""x"":78,""y"":347",×Ï¾§É­ÁÖ(221),"""useexp"":113,""jinbi"":57,""exp"":83,""jifen"":1","""201221"",""202201"",""203091"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":70060},{""a"":""attr"",""t"":""jinbi"",""n"":31920},{""a"":""attr"",""t"":""exp"",""n"":41500}",,,,,,,
222,3,7,104,1,222,"""x"":199,""y"":394",×Ï¾§É­ÁÖ(222),"""useexp"":113,""jinbi"":57,""exp"":83,""jifen"":1","""201222"",""202201"",""203092"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":70286},{""a"":""attr"",""t"":""jinbi"",""n"":32034},{""a"":""attr"",""t"":""exp"",""n"":41500}",,,,,,,
223,3,7,104,1,223,"""x"":184,""y"":244",×Ï¾§É­ÁÖ(223),"""useexp"":113,""jinbi"":57,""exp"":83,""jifen"":1","""201223"",""202201"",""203093"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":70512},{""a"":""attr"",""t"":""jinbi"",""n"":32148},{""a"":""attr"",""t"":""exp"",""n"":41500}",,,,,,,
224,3,7,104,1,224,"""x"":268,""y"":213",×Ï¾§É­ÁÖ(224),"""useexp"":113,""jinbi"":57,""exp"":83,""jifen"":1","""201224"",""202201"",""203094"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":70738},{""a"":""attr"",""t"":""jinbi"",""n"":32262},{""a"":""attr"",""t"":""exp"",""n"":41500}",,,,,,,
225,3,7,104,2,225,"""x"":397,""y"":238",×Ï¾§É­ÁÖ(225),"""useexp"":113,""jinbi"":57,""exp"":83,""jifen"":1","""201225"",""202201"",""203095"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":70964},{""a"":""attr"",""t"":""jinbi"",""n"":32376},{""a"":""attr"",""t"":""exp"",""n"":42164}",,,,,,,
226,3,7,106,1,226,"""x"":575,""y"":240",×Ï¾§É­ÁÖ(226),"""useexp"":116,""jinbi"":58,""exp"":85,""jifen"":1","""201226"",""202201"",""203091"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":73080},{""a"":""attr"",""t"":""jinbi"",""n"":33060},{""a"":""attr"",""t"":""exp"",""n"":42164}",,,,,,,
227,3,7,106,1,227,"""x"":651,""y"":286",×Ï¾§É­ÁÖ(227),"""useexp"":116,""jinbi"":58,""exp"":85,""jifen"":1","""201227"",""202201"",""203092"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":73312},{""a"":""attr"",""t"":""jinbi"",""n"":33176},{""a"":""attr"",""t"":""exp"",""n"":42164}",,,,,,,
228,3,7,106,1,228,"""x"":593,""y"":385",×Ï¾§É­ÁÖ(228),"""useexp"":116,""jinbi"":58,""exp"":85,""jifen"":1","""201228"",""202201"",""203093"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":73544},{""a"":""attr"",""t"":""jinbi"",""n"":33292},{""a"":""attr"",""t"":""exp"",""n"":42164}",,,,,,,
229,3,7,106,1,229,"""x"":779,""y"":415",×Ï¾§É­ÁÖ(229),"""useexp"":116,""jinbi"":58,""exp"":85,""jifen"":1","""201229"",""202201"",""203094"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":73776},{""a"":""attr"",""t"":""jinbi"",""n"":33408},{""a"":""attr"",""t"":""exp"",""n"":43860}",,,,,,,
230,3,7,108,3,230,"""x"":813,""y"":252",×Ï¾§É­ÁÖ(230),"""useexp"":116,""jinbi"":58,""exp"":85,""jifen"":1","""201230"",""202201"",""203095"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":74008},{""a"":""attr"",""t"":""jinbi"",""n"":33524},{""a"":""attr"",""t"":""exp"",""n"":43860}",,,,,,,
231,3,8,108,1,231,"""x"":235,""y"":482",ÍöÁé±ÚÀÝ(231),"""useexp"":118,""jinbi"":59,""exp"":87,""jifen"":1","""201231"",""202201"",""203091"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":75520},{""a"":""attr"",""t"":""jinbi"",""n"":34220},{""a"":""attr"",""t"":""exp"",""n"":43860}",,,,,,,
232,3,8,108,1,232,"""x"":229,""y"":396",ÍöÁé±ÚÀÝ(232),"""useexp"":118,""jinbi"":59,""exp"":87,""jifen"":1","""201232"",""202201"",""203092"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":75756},{""a"":""attr"",""t"":""jinbi"",""n"":34338},{""a"":""attr"",""t"":""exp"",""n"":43860}",,,,,,,
233,3,8,108,1,233,"""x"":342,""y"":404",ÍöÁé±ÚÀÝ(233),"""useexp"":118,""jinbi"":59,""exp"":87,""jifen"":1","""201233"",""202201"",""203093"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":75992},{""a"":""attr"",""t"":""jinbi"",""n"":34456},{""a"":""attr"",""t"":""exp"",""n"":45588}",,,,,,,
234,3,8,110,1,234,"""x"":390,""y"":274",ÍöÁé±ÚÀÝ(234),"""useexp"":118,""jinbi"":59,""exp"":87,""jifen"":1","""201234"",""202201"",""203094"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":76228},{""a"":""attr"",""t"":""jinbi"",""n"":34574},{""a"":""attr"",""t"":""exp"",""n"":45588}",,,,,,,
235,3,8,110,2,235,"""x"":541,""y"":248",ÍöÁé±ÚÀÝ(235),"""useexp"":118,""jinbi"":59,""exp"":87,""jifen"":1","""201235"",""202201"",""203095"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":76464},{""a"":""attr"",""t"":""jinbi"",""n"":34692},{""a"":""attr"",""t"":""exp"",""n"":45588}",,,,,,,
236,3,8,110,1,236,"""x"":693,""y"":267",ÍöÁé±ÚÀÝ(236),"""useexp"":121,""jinbi"":60,""exp"":89,""jifen"":1","""201236"",""202201"",""203091"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":78650},{""a"":""attr"",""t"":""jinbi"",""n"":35400},{""a"":""attr"",""t"":""exp"",""n"":45588}",,,,,,,
237,3,8,110,1,237,"""x"":788,""y"":298",ÍöÁé±ÚÀÝ(237),"""useexp"":121,""jinbi"":60,""exp"":89,""jifen"":1","""201237"",""202201"",""203092"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":78892},{""a"":""attr"",""t"":""jinbi"",""n"":35520},{""a"":""attr"",""t"":""exp"",""n"":47348}",,,,,,,
238,3,8,112,1,238,"""x"":765,""y"":368",ÍöÁé±ÚÀÝ(238),"""useexp"":121,""jinbi"":60,""exp"":89,""jifen"":1","""201238"",""202201"",""203093"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":79134},{""a"":""attr"",""t"":""jinbi"",""n"":35640},{""a"":""attr"",""t"":""exp"",""n"":47348}",,,,,,,
239,3,8,112,1,239,"""x"":708,""y"":478",ÍöÁé±ÚÀÝ(239),"""useexp"":121,""jinbi"":60,""exp"":89,""jifen"":1","""201239"",""202201"",""203094"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":79376},{""a"":""attr"",""t"":""jinbi"",""n"":35760},{""a"":""attr"",""t"":""exp"",""n"":47348}",,,,,,,
240,3,8,112,3,240,"""x"":864,""y"":441",ÍöÁé±ÚÀÝ(240),"""useexp"":121,""jinbi"":60,""exp"":89,""jifen"":1","""201240"",""202201"",""203095"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":79618},{""a"":""attr"",""t"":""jinbi"",""n"":35880},{""a"":""attr"",""t"":""exp"",""n"":47348}",,,,,,,
241,4,1,112,1,241,"""x"":115,""y"":260",É­º£É½Âö(241),"""useexp"":124,""jinbi"":61,""exp"":91,""jifen"":1","""201241"",""202201"",""203091"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":81840},{""a"":""attr"",""t"":""jinbi"",""n"":36600},{""a"":""attr"",""t"":""exp"",""n"":49140}",,,,,,,
242,4,1,114,1,242,"""x"":255,""y"":334",É­º£É½Âö(242),"""useexp"":124,""jinbi"":61,""exp"":91,""jifen"":1","""201242"",""202201"",""203092"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":82088},{""a"":""attr"",""t"":""jinbi"",""n"":36722},{""a"":""attr"",""t"":""exp"",""n"":49140}",,,,,,,
243,4,1,114,1,243,"""x"":387,""y"":336",É­º£É½Âö(243),"""useexp"":124,""jinbi"":61,""exp"":91,""jifen"":1","""201243"",""202201"",""203093"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":82336},{""a"":""attr"",""t"":""jinbi"",""n"":36844},{""a"":""attr"",""t"":""exp"",""n"":49140}",,,,,,,
244,4,1,114,1,244,"""x"":421,""y"":251",É­º£É½Âö(244),"""useexp"":124,""jinbi"":61,""exp"":91,""jifen"":1","""201244"",""202201"",""203094"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":82584},{""a"":""attr"",""t"":""jinbi"",""n"":36966},{""a"":""attr"",""t"":""exp"",""n"":49140}",,,,,,,
245,4,1,114,2,245,"""x"":522,""y"":261",É­º£É½Âö(245),"""useexp"":124,""jinbi"":61,""exp"":91,""jifen"":1","""201245"",""202201"",""203095"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":82832},{""a"":""attr"",""t"":""jinbi"",""n"":37088},{""a"":""attr"",""t"":""exp"",""n"":49868}",,,,,,,
246,4,1,116,1,246,"""x"":530,""y"":367",É­º£É½Âö(246),"""useexp"":126,""jinbi"":61,""exp"":92,""jifen"":1","""201246"",""202201"",""203091"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":84420},{""a"":""attr"",""t"":""jinbi"",""n"":37210},{""a"":""attr"",""t"":""exp"",""n"":49868}",,,,,,,
247,4,1,116,1,247,"""x"":665,""y"":391",É­º£É½Âö(247),"""useexp"":126,""jinbi"":61,""exp"":92,""jifen"":1","""201247"",""202201"",""203092"",""100106""","{""a"":""attr"",""t"":""useexp"",""n"":84672},{""a"":""attr"",""t"":""jinbi"",""n"":37332},{""a"":""attr"",""t"":""exp"",""n"":49868}",,,,,,,
