道具ID,是否叠加,道具名称,道具类型,描述类型,背包分类,道具品质,品质等级,途径,道具图标,小图标,道具星级,种族,道具描述,特殊字段,掉落组,使用等级,合成数量,合成指定英雄ID,稀有,使用跳转,活动类型
1114,1,神话饰品自选箱,9,1,2,5,0,,item_1114,,,,使用后可以在以下饰品中选择一个并获得:金猪吊坠、光明圣手镯、乌列的秘法书、拉斐尔的手套、加百列的遗物,"{""a"":""shipin"",""t"":""6461"",""n"":1},{""a"":""shipin"",""t"":""6291"",""n"":1},{""a"":""shipin"",""t"":""6301"",""n"":1},{""a"":""shipin"",""t"":""6281"",""n"":1},{""a"":""shipin"",""t"":""6271"",""n"":1}",,,,,1,,
1115,1,光耀国王头像框,6,1,2,5,0,,item_1115,,,,使用后永久获得《光耀国王》头像框,"""headborder"",""33"",0",,,,,0,,
1116,1,无尽暗夜头像框,6,1,2,5,0,,item_1116,,,,使用后永久获得《无尽暗夜》头像框,"""headborder"",""34"",0",,,,,0,,
1117,1,圣洁护教头像框,6,1,2,5,0,,item_1117,,,,使用后永久获得《圣洁护教》头像框,"""headborder"",""35"",0",,,,,0,,
1118,1,二周年头像框,6,1,2,5,0,,item_1118,,,,使用后永久获得《二周年》头像框,"""headborder"",""36"",0",,,,,0,,
1119,1,五仁月饼,1,1,2,1,0,,item_1119,,,,五仁月饼，使用后有几率获得以下奖励之一：金币*100000、英雄经验*50000、钻石*10、勇气徽章*25,,"""1119""",,,,1,,
1120,1,火腿月饼,1,1,2,2,0,,item_1120,,,,火腿月饼，使用后有几率获得以下奖励之一：金币*120000、英雄经验*60000、钻石*15、勇气徽章*40,,"""1120""",,,,1,,
1121,1,莲蓉月饼,1,1,2,3,0,,item_1121,,,,莲蓉月饼，使用后有几率获得以下奖励之一：金币*150000、英雄经验*75000、勇气徽章*50、先祖印记*1,,"""1121""",,,,1,,
1122,1,蛋黄月饼,1,1,2,4,0,,item_1122,,,,蛋黄月饼，使用后有几率获得以下奖励之一：金币*180000、英雄经验*90000、公会贡献*100、先祖印记*1、召唤卷*1,,"""1122""",,,,1,,
1123,1,奶黄流心月饼,1,1,2,5,0,,item_1123,,,,奶黄流心月饼，使用后可以获得满月*1，并有几率获得以下奖励之一：无限勋章*1、勇气徽章*100、先祖印记*1、英雄经验*100000、附魔卷轴*100,,"""1123_1"",""1123_2""",,,,1,,
1124,1,莲蓉双黄月饼,1,1,2,5,0,,item_1124,,,,莲蓉双黄月饼，使用后可以获得满月*1，并有几率获得以下奖励之一：光暗究极自选箱*1、塞西亚*50、召唤卷*1、金币*200000、攻击之魂*50、生命之魂*200,,"""1123_1"",""1124""",,,,1,,
1125,1,光暗究级自选箱,9,1,2,5,0,,item_1125,,,,使用后选择并获得以下光暗英雄中的一个：时空守卫、乌鸦之神、安德鲁斯、颤栗之翼、堕天大圣、暗夜主宰、审判之刃、圣洁护教,"{""a"":""item"",""t"":""51025"",""n"":50},{""a"":""item"",""t"":""52055"",""n"":50},{""a"":""item"",""t"":""63035"",""n"":50},{""a"":""item"",""t"":""64025"",""n"":50},{""a"":""item"",""t"":""55015"",""n"":50},{""a"":""item"",""t"":""55025"",""n"":50},{""a"":""item"",""t"":""65015"",""n"":50},{""a"":""item"",""t"":""62025"",""n"":50}",,,,,1,,
1126,1,终身贵族聊天框,6,1,2,4,0,,chat_05,,,,使用后可激活《终身贵族》专属聊天框,"""chatborder"",""5"",0",,,,,0,,
1127,1,剧毒杀手头像框,6,1,2,5,0,,item_1127,,,,使用后永久获得《剧毒杀手》头像框,"""headborder"",""37"",0",,,,,0,,
1128,1,暗夜魔女头像框,6,1,2,5,0,,item_1128,,,,使用后永久获得《暗夜魔女》头像框,"""headborder"",""38"",0",,,,,0,,
1129,1,死兆之翼头像框,6,1,2,5,0,,item_1129,,,,使用后永久获得《死兆之翼》头像框,"""headborder"",""39"",0",,,,,0,,
1130,1,决斗王者,6,1,2,5,0,,item_1130,,,,使用后可获得《决斗王者》称号30天的使用权,"""chenghao"",""31"",2592000",,,,,0,,
1131,1,决斗大师,6,1,2,4,0,,item_1131,,,,使用后可获得《决斗大师》称号30天的使用权,"""chenghao"",""32"",2592000",,,,,0,,
1132,1,决斗高手,6,1,2,4,0,,item_1132,,,,使用后可获得《决斗高手》称号30天的使用权,"""chenghao"",""33"",2592000",,,,,0,,
1133,1,决斗先锋头像框,6,1,2,5,0,,item_1133,,,,使用后可获得《决斗先锋》头像框使用权30天,"""headborder"",""40"",2592000",,,,,0,,
1134,1,韭菜饺子,1,1,2,1,0,,item_1134,,,,韭菜饺子，使用后有几率获得以下奖励之一：金币*100000、英雄经验*50000、钻石*10、勇气徽章*25,,"""1119""",,,,1,,
1135,1,香菇饺子,1,1,2,2,0,,item_1135,,,,香菇饺子，使用后有几率获得以下奖励之一：金币*120000、英雄经验*60000、钻石*15、勇气徽章*40,,"""1120""",,,,1,,
1136,1,莲藕饺子,1,1,2,3,0,,item_1136,,,,莲藕饺子，使用后有几率获得以下奖励之一：金币*150000、英雄经验*75000、勇气徽章*50、先祖印记*1,,"""1121""",,,,1,,
1137,1,海鲜饺子,1,1,2,4,0,,item_1137,,,,海鲜饺子，使用后有几率获得以下奖励之一：金币*180000、英雄经验*90000、公会贡献*100、先祖印记*1、召唤卷*1,,"""1122""",,,,1,,
1138,1,牛肉饺子,1,1,2,5,0,,item_1138,,,,牛肉饺子，使用后可以获得元旦*1，并有几率获得以下奖励之一：熔火之心*1、勇气徽章*100、先祖印记*1、英雄经验*100000、附魔卷轴*100,,"""1138_1"",""1138_2""",,,,1,,
1139,1,猪肉饺子,1,1,2,5,0,,item_1139,,,,猪肉饺子，使用后可以获得元旦*1，并有几率获得以下奖励之一：光暗究极自选箱*1、萨基尔*50、召唤卷*1、金币*200000、攻击之魂*50、生命之魂*200,,"""1138_1"",""1139""",,,,1,,
1140,1,魔猴降临头像框,6,1,2,5,0,,item_1140,,,,使用后永久获得《魔猴降临》头像框,"""headborder"",""41"",0",,,,,0,,
1141,1,<雄才大略>30日,6,1,2,4,0,,item_1141,,,,只有具有杰出的才智和宏大的谋略的人才能获得，得到它你就是当代伏龙凤雏，参加攻略活动有机会获得,"""chenghao"",""34"",2592000",,,,,0,,
1142,1,普通元宵,1,1,2,2,0,,item_1142,,,,普通元宵，使用后获得金币*50000,,"""1142""",,,,1,,
1143,1,精致元宵,1,1,2,3,0,,item_1143,,,,精致元宵，使用后获得英雄经验*250000,,"""1143""",,,,1,,
1144,1,豪华元宵,1,1,2,5,0,,item_1144,,,,豪华元宵，使用后可以获得元宵快乐*1，并有几率获得以下奖励之一：牛气冲天*1、暗影魂牧*50、攻击之魂*200、生命之魂*600、王权勋章*50、先祖印记*2、英雄经验*800000,,"""1144_1"",""1144""",,,,1,,
1145,1,应援团长,6,1,2,4,0,,item_1145,,,,使用后可获得《应援团长》称号,"""chenghao"",""35"",0",,,,,0,,
1146,1,应援活跃团员,6,1,2,4,0,,item_1146,,,,使用后可获得《应援活跃团员》头像框,"""headborder"",""42"",0",,,,,0,,
1147,1,绿林侠盗头像框,6,1,2,5,0,,item_1147,,,,使用后永久获得《绿林侠盗》头像框,"""headborder"",""43"",0",,,,,0,,
1148,1,黑暗武士头像框,6,1,2,5,0,,item_1148,,,,使用后永久获得《黑暗武士》头像框,"""headborder"",""44"",0",,,,,0,,
1149,1,无畏之牛头像框,6,1,2,5,0,,item_1149,,,,使用后永久获得《无畏之牛》头像框,"""headborder"",""45"",0",,,,,0,,
1150,1,暗影魂牧头像框,6,1,2,5,0,,item_1150,,,,使用后永久获得《暗影魂牧》头像框,"""headborder"",""46"",0",,,,,0,,
1151,1,豪华饰品自选箱,9,1,2,5,0,,item_1151,,,,使用后可在牛气冲天*1、熔火之心*1、狮心盾*1、无限勋章*1、英勇战魂*1、瑞鼠运财*1中选择并获得1个,"{""a"":""shipin"",""t"":""6571"",""n"":1},{""a"":""shipin"",""t"":""6491"",""n"":1},{""a"":""shipin"",""t"":""6521"",""n"":1},{""a"":""shipin"",""t"":""6561"",""n"":1},{""a"":""shipin"",""t"":""6501"",""n"":1},{""a"":""shipin"",""t"":""6551"",""n"":1}",,,,,0,,
1152,1,怀旧头像框自选箱,9,1,2,5,0,,item_1152,,,,使用后可在《堕天大圣》头像框、《时空守卫》头像框、《圣洁护教》头像框、《电音女王》头像框中选择并获得1个,"{""a"":""item"",""t"":""1033"",""n"":1},{""a"":""item"",""t"":""1036"",""n"":1},{""a"":""item"",""t"":""1117"",""n"":1},{""a"":""item"",""t"":""1085"",""n"":1}",,,,,0,,
1153,1,金苹果,1,1,2,5,0,,item_1153,,,,金苹果，使用后可以获得苹果的种子*1，并有几率获得以下奖励之一：牛气冲天*1、暗影魂牧*50、圣器之魂*1、附魔卷轴*100、英雄经验*150000,,"""1145"",""1145_1""",,,,1,,
1154,1,红苹果,1,1,2,4,0,,item_1154,,,,红苹果，使用后有几率获得以下奖励之一：孔雀石*100、金币*100000,,"""1146""",,,,1,,
1155,1,植树造林头像框,6,1,2,5,0,,item_1155,,,,使用后永久获得《植树造林》头像框,"""headborder"",""47"",0",,,,,0,,
1156,1,至高圣女头像框,6,1,2,5,0,,item_1156,,,,使用后永久获得《至高圣女》头像框,"""headborder"",""48"",0",,,,,0,,
1157,1,愚人节纪念币,5,1,2,4,0,,item_1157,token_1157,,,愚人节纪念币，可以用于扭蛋机抽奖,,,,,,1,,0
1158,1,双生光暗自选箱,9,1,2,5,0,,item_1158,,,,使用后选择并获得以下光暗英雄中的一个：暗影魂牧、圣洁护教、颤栗之翼、时空守卫、安德鲁斯、乌鸦之神,"{""a"":""item"",""t"":""53025"",""n"":50},{""a"":""item"",""t"":""62025"",""n"":50},{""a"":""item"",""t"":""51025"",""n"":50},{""a"":""item"",""t"":""64025"",""n"":50},{""a"":""item"",""t"":""63035"",""n"":50},{""a"":""item"",""t"":""52055"",""n"":50}",,,,,0,,
1159,1,经典光暗自选箱,9,1,2,5,0,,item_1104,,,,使用后选择并获得以下光暗英雄中的一个：光之大领主、圣光先知、帕米尔隆、食人魔领袖、审判之刃、时空守卫、暗夜主宰、堕天大圣、乌鸦之神,"{""a"":""item"",""t"":""61025"",""n"":50},{""a"":""item"",""t"":""63025"",""n"":50},{""a"":""item"",""t"":""52045"",""n"":50},{""a"":""item"",""t"":""51015"",""n"":50},{""a"":""item"",""t"":""65015"",""n"":50},{""a"":""item"",""t"":""64025"",""n"":50},{""a"":""item"",""t"":""55015"",""n"":50},{""a"":""item"",""t"":""55025"",""n"":50},{""a"":""item"",""t"":""52055"",""n"":50}",,,,,0,,
1160,1,摇滚歌手头像框,6,1,2,5,0,,item_1160,,,,使用后永久获得《摇滚歌手》头像框,"""headborder"",""49"",0",,,,,0,,
1161,1,精英4系碎片自选箱,9,1,2,5,0,,item_1000,,,,使用后可在精英亡灵碎片、精英奥术碎片、精英邪能碎片、精英自然碎片中选择并获得1个,"{""a"":""item"",""t"":""4025"",""n"":1},{""a"":""item"",""t"":""4026"",""n"":1},{""a"":""item"",""t"":""4027"",""n"":1},{""a"":""item"",""t"":""4028"",""n"":1}",,,,,0,,
1162,1,仿生狂鸦头像框,6,1,2,5,0,,item_1162,,,,使用后永久获得《仿生狂鸦》头像框,"""headborder"",""50"",0",,,,,0,,
1163,1,传奇饰品自选箱,9,1,2,5,0,,item_1163,,,,使用后可在牛气冲天*1、熔火之心*1、狮心盾*1、无限勋章*1、英勇战魂*1、瑞鼠运财*1、神圣精华*1中选择并获得1个,"{""a"":""shipin"",""t"":""6571"",""n"":1},{""a"":""shipin"",""t"":""6491"",""n"":1},{""a"":""shipin"",""t"":""6521"",""n"":1},{""a"":""shipin"",""t"":""6561"",""n"":1},{""a"":""shipin"",""t"":""6501"",""n"":1},{""a"":""shipin"",""t"":""6551"",""n"":1},{""a"":""shipin"",""t"":""6581"",""n"":1}",,,,,0,,
1164,1,<塔防大神>7日,6,1,2,4,0,,item_1164,,,,使用后可获得《塔防大神》》称号7天的使用权,"""chenghao"",""36"",604800",,,,,0,,
1165,1,金西瓜,1,1,2,5,0,,item_1165,token_1165,,,金西瓜，使用后可以获得夏日饮品*1，并有几率获得以下奖励之一：神圣精华*1、荆棘女王*50、红色饰品碎片*5、附魔卷轴*200、勇气徽章*200、英雄经验*100000,,"""1151"",""1152""",,,,0,,0
1166,1,银西瓜,1,1,2,5,0,,item_1166,token_1166,,,银西瓜，使用后有几率获得以下奖励之一：孔雀石*100、金币*100000,,"""1153""",,,,0,,0
1167,1,断罪战魂头像框,6,1,2,5,0,,item_1167,,,,使用后永久获得《断罪战魂》头像框,"""headborder"",""51"",0",,,,,0,,
1168,1,称号<鹊桥相会>,6,1,2,5,0,,item_1168,,,,使用后永久获得《鹊桥相会》称号,"""chenghao"",""37"",0",,,,,0,,
1169,1,称号<鹊桥相会>30日,6,1,2,5,0,,item_1168,,,,使用后获得《鹊桥相会》称号使用权30天,"""chenghao"",""37"",2592000",,,,,0,,
1170,1,怒海狂鲨头像框,6,1,2,5,0,,item_1170,,,,使用后永久获得《怒海狂鲨》头像框,"""headborder"",""52"",0",,,,,0,,
1171,1,圣堂隐侍头像框,6,1,2,5,0,,item_1171,,,,使用后永久获得《圣堂隐侍》头像框,"""headborder"",""53"",0",,,,,0,,
1172,1,赛博战警头像框,6,1,2,5,0,,item_1172,,,,使用后永久获得《赛博战警》头像框,"""headborder"",""54"",0",,,,,0,,
1173,1,3周年庆典头像框,6,1,2,5,0,,item_1173,,,,使用后永久获得《3周年庆典》头像框,"""headborder"",""55"",0",,,,,0,,
1174,1,与您同行,6,1,2,5,0,,item_1174,,,,使用后永久获得《与您同行》称号,"""chenghao"",""38"",0",,,,,0,,
1175,1,竞技核心自选箱,9,1,2,5,0,,item_1175,,,,使用后可在复仇战鬼、嗜血剑圣、凯尔瑞恩、侏儒大师、伊芙丽亚、荆棘女王、潮汐行者、星月精灵中选择并获得1个,"{""a"":""item"",""t"":""11105"",""n"":50},{""a"":""item"",""t"":""31115"",""n"":50},{""a"":""item"",""t"":""21065"",""n"":50},{""a"":""item"",""t"":""25085"",""n"":50},{""a"":""item"",""t"":""35055"",""n"":50},{""a"":""item"",""t"":""32075"",""n"":50},{""a"":""item"",""t"":""41075"",""n"":50},{""a"":""item"",""t"":""43085"",""n"":50}",,,,,0,,
1176,1,甜品大师头像框,6,1,2,5,0,,item_1176,,,,使用后永久获得《甜品大师》头像框,"""headborder"",""56"",0",,,,,0,,
1177,1,豆沙月饼,1,1,2,1,0,,item_1177,,,,豆沙月饼，使用后有几率获得以下奖励之一：金币*100000、英雄经验*50000、钻石*10、勇气徽章*25,,"""1177""",,,,1,,
1178,1,桂花月饼,1,1,2,2,0,,item_1178,,,,桂花月饼，使用后有几率获得以下奖励之一：金币*120000、英雄经验*60000、钻石*15、勇气徽章*40,,"""1178""",,,,1,,
1179,1,梅干月饼,1,1,2,3,0,,item_1179,,,,梅干月饼，使用后有几率获得以下奖励之一：金币*150000、英雄经验*75000、孔雀石*50、先祖印记*1,,"""1179""",,,,1,,
1180,1,山楂月饼,1,1,2,4,0,,item_1180,,,,山楂月饼，使用后有几率获得以下奖励之一：金币*200000、英雄经验*100000、公会贡献*60、精铁*150、龙钢*25,,"""1180""",,,,1,,
1181,1,酥皮杏仁月饼,1,1,2,5,0,,item_1181,,,,酥皮杏仁月饼，使用后可以获得满月*1，并有几率获得以下奖励之一：三周年纪念奖章*1、勇气徽章*100、先祖印记*1、英雄经验*100000、附魔卷轴*100,,"""1123_1"",""1181""",,,,1,,
1182,1,冰皮枣泥月饼,1,1,2,5,0,,item_1182,,,,冰皮枣泥月饼，使用后可以获得满月*1，并有几率获得以下奖励之一：双生光暗自选箱*1、荆棘女王*50、召唤卷*1、金币*200000、攻击之魂*50、生命之魂*200,,"""1123_1"",""1182""",,,,1,,
1183,1,辉煌光暗自选箱,9,1,2,5,0,,item_1183,,,,使用后选择并获得以下光暗英雄中的一个：光之审判者、梦魇之子,"{""a"":""item"",""t"":""55035"",""n"":50},{""a"":""item"",""t"":""61035"",""n"":50}",,,,,0,,
1184,1,试炼宝箱,1,1,2,5,0,,item_1184,,,,使用后可随机获得以下展示道具其中之一,,"""1183""",,,,0,,
1185,1,烈焰蔷薇头像框,6,1,2,5,0,,item_1185,,,,使用后永久获得《烈焰蔷薇》头像框,"""headborder"",""57"",0",,,,,0,,
1186,1,幸运好礼随机宝箱,1,1,2,5,0,,item_1186,,,,幸运好礼随机宝箱，使用后有几率获得以下奖励之一：三周年饰品*1、暗龙使者碎片*50、钻石*1000、先祖印记*10、召唤卷*10、勇气徽章*100、钻石*100、先祖印记*2,,"""1186""",,,,0,,
1187,1,英雄荣耀头像框,6,1,2,5,0,,item_1187,,,,使用后永久获得《英雄荣耀》头像框,"""headborder"",""58"",0",,,,,0,,
1188,1,圣诞袜子,17,1,2,5,0,,item_1188,,,,圣诞袜，使用后有几率获得以下奖励之一：三周年饰品*1、辉煌光暗箱子*1、幻之神宠物蛋*1、钻石*666、先祖印记*10、召唤卷*5、攻击之魂*100、孔雀石*100、钻石*100、英雄经验*500000。开启3000个圣诞袜必出一个三周年饰品。,"{""target"": {""use"": 3000},""targetprize"": [{""a"":""shipin"",""t"":""6591"",""n"":1}]}","""1188""",,,,0,,
1189,1,圣诞头像框,6,1,2,5,0,,item_1189,,,,使用后永久获得《圣诞》头像框,"""headborder"",""59"",0",,,,,0,,
1190,1,称号<光明传说>,6,1,2,5,0,,item_1190,,,,使用后永久获得《光明传说》称号,"""chenghao"",""39"",0",,,,,0,,
1191,1,正义荣耀头像框,6,1,2,5,0,,item_1191,,,,使用后永久获得《正义荣耀》头像框,"""headborder"",""61"",0",,,,,0,,
1192,1,机械战警头像框,6,1,2,5,0,,item_1192,,,,使用后永久获得《机械战警》头像框,"""headborder"",""60"",0",,,,,0,,
1193,1,新春限定头像框,6,1,2,5,0,,item_1193,,,,使用后永久获得《新春限定》头像框,"""headborder"",""62"",0",,,,,0,,
1194,1,未来传奇头像框,6,1,2,5,0,,item_1194,,,,使用后永久获得《未来传奇》头像框,"""headborder"",""63"",0",,,,,0,,
1195,1,游园伊人头像框,6,1,2,5,0,,item_1195,,,,使用后永久获得《游园伊人》头像框,"""headborder"",""64"",0",,,,,0,,
1196,1,八宝汤圆,9,1,2,5,0,,item_1196,,,,使用后可在金猪吊坠、光明圣手镯、乌列的秘法书、拉斐尔的手套、加百列的遗物中选择并获得1个,"{""a"":""shipin"",""t"":""6461"",""n"":1},{""a"":""shipin"",""t"":""6291"",""n"":1},{""a"":""shipin"",""t"":""6301"",""n"":1},{""a"":""shipin"",""t"":""6281"",""n"":1},{""a"":""shipin"",""t"":""6271"",""n"":1}",,,,,0,,
1197,1,芝麻汤圆,9,1,2,4,0,,item_1197,,,,使用后可在颤栗之翼碎片*50、时空守卫碎片*50、圣洁护教碎片*50、安德鲁斯碎片*50、乌鸦之神碎片*50中选择并获得1个,"{""a"":""item"",""t"":""51025"",""n"":50},{""a"":""item"",""t"":""64025"",""n"":50},{""a"":""item"",""t"":""62025"",""n"":50},{""a"":""item"",""t"":""63035"",""n"":50},{""a"":""item"",""t"":""52055"",""n"":50}",,,,,0,,
1198,1,蜜枣汤圆,9,1,2,3,0,,item_1198,,,,使用后可在攻击之魂*50、生命之魂*200、圣器之魂*1、龙钢*100、精铁*600中选择并获得1个,"{""a"":""item"",""t"":""2021"",""n"":50},{""a"":""item"",""t"":""2022"",""n"":200},{""a"":""item"",""t"":""2071"",""n"":1},{""a"":""item"",""t"":""2018"",""n"":100},{""a"":""item"",""t"":""2017"",""n"":600}",,,,,0,,
1199,1,豆沙汤圆,9,1,2,2,0,,item_1199,,,,使用后可在勇气徽章*250、附魔卷轴*100、公会贡献*300、孔雀石*300、英雄经验*750000、金币*1500000中选择并获得1个,"{""a"":""item"",""t"":""2004"",""n"":250},{""a"":""item"",""t"":""2026"",""n"":100},{""a"":""item"",""t"":""2003"",""n"":300},{""a"":""item"",""t"":""2005"",""n"":300},{""a"":""attr"",""t"":""useexp"",""n"":750000},{""a"":""attr"",""t"":""jinbi"",""n"":1500000}",,,,,0,,
1200,1,噬渊币,10,1,2,3,0,,item_1200,token_syb,,,噬渊战场货币,,,,,,0,,
1201,1,毁灭巨锤,10,1,2,4,0,,item_1201,,,,拥有毁灭性力量，能够击碎噬渊战场上的所有石碑！,,,,,,0,,
1202,1,奥术之锤,10,1,2,3,0,,item_1202,,,,拥有奥术之力，能够击碎噬渊战场上的奥术石碑！,,,,,,0,,
1203,1,烈焰之锤,10,1,2,3,0,,item_1203,,,,拥有烈焰之力，能够击碎噬渊战场上的烈焰石碑！,,,,,,0,,
1204,1,亡灵之锤,10,1,2,3,0,,item_1204,,,,拥有亡灵之力，能够击碎噬渊战场上的亡灵石碑！,,,,,,0,,
1205,1,符文密钥·赤,10,1,2,4,0,,item_1205,token_hys,,,蕴含神秘符文力量的钥匙，能够开启噬渊战场上的噬魂宝箱·赤,,,,,,0,,
1206,1,符文密钥·紫,10,1,2,3,0,,item_1206,token_zys,,,蕴含神秘符文力量的钥匙，能够开启噬渊战场上的噬魂宝箱·紫,,,,,,0,,
1207,1,符文密钥·青,10,1,2,2,0,,item_1207,token_lys,,,蕴含神秘符文力量的钥匙，能够开启噬渊战场上的噬魂宝箱·青,,,,,,0,,
1208,1,情报碎片一,10,1,2,4,0,,item_1208,,,,上面记录着噬渊战场上的重要情报，集齐5种碎片可上交情报官换取物资！,,,,,,0,,
1209,1,情报碎片二,10,1,2,4,0,,item_1209,,,,上面记录着噬渊战场上的重要情报，集齐5种碎片可上交情报官换取物资！,,,,,,0,,
1210,1,情报碎片三,10,1,2,4,0,,item_1210,,,,上面记录着噬渊战场上的重要情报，集齐5种碎片可上交情报官换取物资！,,,,,,0,,
1211,1,情报碎片四,10,1,2,4,0,,item_1211,,,,上面记录着噬渊战场上的重要情报，集齐5种碎片可上交情报官换取物资！,,,,,,0,,
1212,1,情报碎片五,10,1,2,4,0,,item_1212,,,,上面记录着噬渊战场上的重要情报，集齐5种碎片可上交情报官换取物资！,,,,,,0,,
1213,1,大血瓶,10,1,2,2,0,,item_1213,,,,噬渊战场必备，可回复小队所有英雄60%血量,,,,,,0,,
1214,1,亡魂秘药,10,1,2,3,0,,item_1214,,,,可在噬渊战场使用，复活一个小队所有战败英雄，并血量回复到30%,,,,,,0,,
1215,1,强力毒药,10,1,2,4,0,,item_1215,,,,噬渊战场上重要作战药剂，可立即毒杀3格范围内的漂浮幽魂和暗影巫医,,,,,,0,,
1216,1,鹰眼药剂,10,1,2,4,0,,item_1216,,,,噬渊战场上重要战略药剂，喝下后视力惊人，迷雾不再能挡住视线,,,,,,0,,
2000,1,荣誉点,2,1,2,3,0,11,item_2000,token_ryd,,,参与竞技场挑战获取，可以用于购买竞技商店商品,,,,,,0,,
2001,1,灵魂石,2,1,2,3,0,27,item_2001,token_lhs,,,分解英雄可以获取，用于购买英雄商店商品,,,,,,0,,
2002,1,远征军声望,2,1,2,3,0,7,item_2002,token_yzjsw,,,参与十字军远征获取，可以用于购买远征商店商品,,,,,,0,,
2003,1,公会贡献,2,1,2,3,0,10,item_2003,token_ghgx,,,参与公会活动获取，可以用于购买公会商店商品,,,,,,0,,
2004,1,勇气徽章,10,1,2,4,0,"1,15,4,9",item_2004,token_hz,,,勇气的证明，用于英雄的进阶和升星,,,,,,0,30,
2005,1,孔雀石,10,1,2,4,0,"1,3,17,26",item_2005,token_bs,,,精美的孔雀石，是强化宝石的重要材料,,,,,,0,30,
2006,1,竞技挑战券,10,1,2,3,0,"12,4,6,14,26",item_2006,token_tzj,,,参与竞技挑战的通行证,,,,,,0,11,
2007,1,转盘币,10,1,2,3,0,"13,4,6,14,26",item_2007,token_ptyb,,,一枚精美的转盘币，可以用于在魔法转盘抽取奖励,,,,,,0,3,
2008,1,超级转盘币,10,1,2,4,0,"20,6,26",item_2008,token_gjyb,,,一枚华贵的转盘币，可以用于在高级魔法转盘抽取奖励,,,,,,1,3,
2009,1,召唤印记,10,1,2,3,0,"4,6",item_2009,token_zhyj,,,烙印着神秘法阵的印记，可以用于在召唤祭祀中抽取奖励,,,,,,0,5,
2010,1,先祖印记,10,1,2,4,0,"4,6,20,26",item_2010,token_xzyj,,,烙印着古老先祖图腾的印记，可以用于在先祖祭祀中抽取奖励,,,,,,1,5,
2011,1,召唤卷,10,1,2,4,0,"4,6,20,19,26",item_2011,token_gs,,,极其强大的召唤卷，可以在召唤之书内使用，定向召唤指定种族的高级英雄,,,,,,1,8,
2012,1,置换精华,10,1,2,3,0,"4,6,8,19,26",item_2012,token_jh,,,可以用于在召唤之书置换英雄，将4、5星英雄置换为同星级同种族的其他英雄,,,,,,0,8,
2013,1,友情印记,10,1,2,3,0,21,item_2013,token_yqyj,,,烙印着英雄友谊的印记，可以用于在幸运祭祀中抽取奖励,,,,,,0,5,
2014,1,悬赏刷新券,10,1,2,4,0,29,item_2014,token_xssx,,,兄弟会发布的悬赏通行证，使用后可以代替钻石刷新悬赏任务,,,,,,0,1,
2015,1,转盘积分,2,1,2,4,0,3,item_2015,token_xyjf,,,听说在魔法转盘抽奖的人都能获得幸运，能在转盘商店购买商品,,,,,,0,,
2016,1,马戏团奖券,2,1,2,4,0,,item_2016,token_mxtjq,,,一群和平爱好者组办的集会，听说可以用奖券兑换大量丰厚奖品,,,,,,0,,
2017,1,精铁,10,1,2,3,0,"17,25",item_2017,token_jt,,,升级神器属性的重要材料，传说100斤重铁方可炼化1斤精铁,,,,,,0,34,
2018,1,龙钢,10,1,2,4,0,"17,25",item_2018,token_ly,,,升级神器技能的重要材料，只有常年受龙息喷吐的陨石才有可能化为龙钢,,,,,,0,34,
2019,1,军功,2,1,2,3,0,35,item_2019,token_jg,,,与外域强者争霸方可获得的荣誉奖励，可以兑换大量稀有道具,,,,,,0,,
2020,1,召唤卷残页,2,1,2,3,0,8,item_2020,token_sjsjj,,,召唤卷消耗后，余留下来的残片，可用于召唤之书商店兑换任意稀有英雄,,,,,,0,,
2021,1,攻击之魂,10,1,2,4,0,"1,36,49",item_2021,token_gjzh,,,这块魂石中容纳着令人颤栗的气息，将它的力量融入到英雄的灵魂中可以提升英雄的攻击,,,,,,0,30,
2022,1,生命之魂,10,1,2,4,0,"1,36,49",item_2022,token_smzh,,,这块魂石中容纳着强大的生命气息，将它的力量融入到英雄的灵魂中可以提升英雄的生命,,,,,,0,30,
2023,1,永恒置换精华,2,1,2,4,0,14,item_2023,token_yhjh,,,相比置换精华，这个精华中容纳着更强大的永恒之力，可以在魔镜中重生英雄。,,,,,,0,,
2024,1,雕文精华,10,1,2,4,0,38,item_2024,token_dwjh,,,精炼雕文后，雕文分解出来的精华部分，可以用于强化升级雕文。,,,,,,0,2,
2025,1,团队集合石,2,1,2,4,0,,item_2025,token_tdjhs,,,开启神殿底层团队副本的凭证，开启的团本可以跨服招募勇者入团。,,,,,,0,,
2026,1,附魔卷轴,10,1,2,4,0,39,item_2026,token_fmjh,,,用于对装备进行附魔的魔法材料，这中间蕴含着不可思议的力量。,,,,,,0,2,
2027,1,毁灭之刃碎片,7,1,2,3,0,"40,41",item_2027,token_hmzr,,,考古队新发掘的毁灭之刃的失落碎片，可以让毁灭之刃觉醒,,,,,,0,,
2028,1,落日神弓碎片,7,1,2,3,0,"40,41",item_2028,token_lrsg,,,考古队新发掘的落日神弓的失落碎片，可以让落日神弓觉醒,,,,,,0,,
2029,1,神恩法杖碎片,7,1,2,3,0,"40,41",item_2029,token_sefz,,,考古队新发掘的神恩法杖的失落碎片，可以让神恩法杖觉醒,,,,,,0,,
2030,1,真王巨剑碎片,7,1,2,4,0,"40,41",item_2030,token_zwjj,,,考古队新发掘的真王巨剑的失落碎片，可以让真王巨剑觉醒,,,,,,0,,
