英雄ID,英雄名称,放置名称,评论ID,英雄种族,品质星级,圣器,卷轴类型,职业,品质,定位,模型,头像,十星模型,十星头像,升星材料,成长编号,被动开启等级,普攻,怒气,怒气名称,怒气描述,被动1,被动1名称,被动1描述,被动2,被动2名称,被动2描述,被动3,被动3名称,被动3描述,怒气图标,被动1图标,被动2图标,被动3图标,配音,是否有独立的施法动画,攻击频率,塔防攻击
22034,寒冰法师,塞拉,2203,2,4,,0,2,3,,22034,22034,,,,22034,"[2,4]",5,22034012,冰冻箭雨,怒气技能：对敌方全体造成50%攻击伤害并有10%概率使目标冰冻2回合,"""22034111"",""22034121""",魔法师的意志,被动效果：拥有魔法师的意志，攻击增加24%，生命增加18%,"""22034214""",冰霜之力,被动效果：运用寒冰之力，普攻有12%概率使目标冰冻，持续1回合,,,,skillico_017,skillico_236,skillico_214,,"""22034"",""22035"",""22036""",0,500,70
22035,寒冰法师,塞拉,2203,2,5,,2,2,4,qtsc,22035,22035,,,,22035,"[3,5]",5,22035012,冰冻箭雨,怒气技能：对敌方全体造成57%攻击伤害并有16%概率使目标冰冻2回合,"""22035111"",""22035121""",魔法师的意志,被动效果：拥有魔法师的意志，攻击增加32%，生命增加28%,"""22035214""",冰霜之力,被动效果：运用寒冰之力，普攻有24%概率使目标冰冻，持续1回合,,,,skillico_017,skillico_236,skillico_214,,"""22034"",""22035"",""22036""",0,500,90
22036,寒冰法师,塞拉,2203,2,6,22036,0,2,5,,22036,22036,,,22035,22036,"[2,4,6]",5,22036012,冰冻箭雨2,怒气技能：对敌方全体造成69%攻击伤害并有24%概率使目标冰冻2回合,"""22036111"",""22036121""",魔法师的意志2,被动效果：拥有魔法师的意志，攻击增加32%，生命增加28%,"""22036214""",冰霜之力2,被动效果：运用寒冰之力，普攻有24%概率使目标冰冻，持续1回合,"""22036314""",冰冻诅咒2,被动效果：英雄死亡时诅咒敌方全体，有11.1%概率使所有敌人冰冻，持续2回合,skillico_017,skillico_236,skillico_214,skillico_238,"""22034"",""22035"",""22036""",0,500,105
22045,守望法师,布利,2204,2,5,,3,2,4,qtkz,22045,22045,,,,22045,"[3,5]",2,22045012,能量轰炸,怒气技能：对敌方随机3名目标造成120%攻击伤害并有20%概率使目标眩晕2回合,"""22045111"",""22045121""",魔法师的意志,被动效果：拥有魔法师的意志，攻击增加18%，生命增加18%,"""22045214""",奥术爆破,被动效果：英雄死亡后运用奥术，18%的机率使敌方后排目标眩晕，持续2回合,,,,skillico_024,skillico_236,skillico_239,,"""22045"",""22046"",""2204a""",0,500,100
22046,守望法师,布利,2204,2,6,22046,0,2,5,,22046,22046,2204a,2204a,22045,22046,"[2,4,6]",2,22046012,能量轰炸2,怒气技能：对敌方随机4名目标造成120%攻击伤害并有30%概率使目标眩晕2回合,"""22046111"",""22046121""",魔法师的意志2,被动效果：拥有魔法师的意志，攻击增加18%，生命增加32%,"""22046214""",奥术爆破2,被动效果：英雄死亡后运用奥术，30%的机率使敌方后排目标眩晕，持续2回合,"""22046314""",昏迷2,被动效果：掌握了时灵时不灵的魔法力量，普攻有25%概率使目标眩晕，持续2回合,skillico_024,skillico_236,skillico_239,skillico_234,"""22045"",""22046"",""2204a""",0,500,115
22055,冰蓝巨龙,OD-01,2205,2,5,,3,2,4,qtkz,22055,22055,,,,22055,"[2,3,5]",2,22055012,蓝龙吐息,怒气技能：对敌方全体造成90%攻击伤害并有70%概率使辅助类目标沉默3回合,"""22055114""",巨龙秘法,被动效果：施展巨龙族的的秘法，普攻时降低目标4%的攻击，持续3回合,"""22055211"",""22055221"",""22055231""",巨龙之力,被动效果：身为巨龙之一，自身的技能伤害增加60%，生命增加24%，命中增加10%,"""22055314"",""22055324""",奥术秘法,被动效果：龙族天生拥有魔法亲和，普攻有33%概率降低目标12%暴击，并提升自己22%攻击，持续2回合，可叠加,skillico_025,skillico_240,skillico_241,skillico_236,"""22055"",""22056"",""2205a""",0,500,100
22056,冰蓝巨龙,OD-01,2205,2,6,22056,0,2,5,,22056,22056,2205a,2205a,22055,22056,"[2,4,6]",2,22056012,蓝龙吐息2,怒气技能：对敌方全体造成110%攻击伤害并有80%概率使辅助类目标沉默3回合,"""22056114""",巨龙秘法2,被动效果：施展巨龙族的的秘法，普攻时降低目标8%的攻击，持续3回合,"""22056211"",""22056221"",""22056231""",巨龙之力2,被动效果：身为巨龙之一，自身的技能伤害增加75%，生命增加36%，命中增加20%,"""22056314"",""22056324""",奥术秘法2,被动效果：龙族天生拥有魔法亲和，普攻有77%概率降低目标12%暴击，并提升自己22%攻击，持续3回合,skillico_025,skillico_240,skillico_241,skillico_236,"""22055"",""22056"",""2205a""",0,500,115
22065,火焰魔导士,烈焰风暴,2206,2,5,,3,2,4,qtsc,22065,22065,,,,22065,"[2,3,5]",2,22065012,烈焰焚天,怒气技能：对所有敌人造成90%攻击伤害，每回合造成25%燃烧伤害，持续3回合,"""22065114"",""22065124""",魔导之力,被动效果：敌方英雄死亡，增加自己5%伤害加成和5%技能伤害加成,"""22065211"",""22065221"",""22065231"",""22065241""",英雄之力,被动效果：生命增加15%、攻击增加10%、暴击伤害增加10%，暴击率增加10%,"""22065314""",复仇之心,被动效果：每回合开始时，对敌方全体造成12%燃烧伤害，持续4回合。（受控不触发）,skillico_2206_1,skillico_2206_2,skillico_2206_3,skillico_2206_4,"""22065"",""22066"",""2206a""",0,500,100
22066,火焰魔导士,烈焰风暴,2206,2,6,22066,0,2,5,,22066,22066,2206a,2206a,22065,22066,"[2,4,6]",2,22066012,烈焰焚天2,怒气技能：对所有敌人造成120%攻击伤害，每回合造成40%燃烧伤害，持续3回合,"""22066114"",""22066124""",魔导之力2,被动效果：敌方英雄死亡，增加自己10%伤害加成和10%技能伤害加成,"""22066211"",""22066221"",""22066231"",""22066241""",英雄之力2,被动效果：生命增加22.5%、攻击增加15%、暴击伤害增加17.5%，暴击率增加15%,"""22066314""",复仇之心2,被动效果：每回合开始时，对敌方全体造成18%燃烧伤害，持续4回合。（受控不触发）,skillico_2206_1,skillico_2206_2,skillico_2206_3,skillico_2206_4,"""22065"",""22066"",""2206a""",0,500,115
22075,狂雷囚徒,瓦伦丁,2207,2,5,,4,2,4,qtkz,22075,22075,,,,22075,"[2,3,5]",22075002,22075012,电闪雷鸣,怒气技能：对随机4名敌人造成伤害，对第一个目标造成85%攻击伤害并有60%几率眩晕2回合，对第二个目标造成115%攻击伤害并有30%几率眩晕2回合，对第三个目标造成135%攻击伤害并有15%概率眩晕2回合，对第四个目标造成185%攻击伤害,"""22075104""",能量共鸣,被动效果：当我方英雄释放技能后，对随机1个目标造成80%攻击伤害2回合，并有10%的几率造成眩晕2回合,"""22075201"",""22075211"",""22075221"",""22075204""",能量体,被动效果：速度增加15点，生命增加15%，暴击率增加10%，免疫眩晕,"""22075304""",拘束器,被动效果：当生命低于80%时，增加20%减伤率，持续5回合（仅触发一次）,skillico_2207_1,skillico_2207_2,skillico_2207_3,skillico_2207_4,"""22075"",""22076"",""2207a""",1,500,105
22076,狂雷囚徒,瓦伦丁,2207,2,6,22076,0,2,5,qtkz,22076,22076,2207a,2207a,22075,22076,"[2,4,6]",22076002,22076012,电闪雷鸣2,怒气技能：对随机4名敌人造成伤害，对第一个目标造成120%攻击伤害并有80%几率眩晕2回合，对第二个目标造成140%攻击伤害并有40%几率眩晕2回合，对第三个目标造成160%攻击伤害并有20%概率眩晕2回合，对第四个目标造成200%攻击伤害,"""22076104""",能量共鸣2,被动效果：当我方英雄释放技能后，对随机1个目标造成125%攻击伤害2回合，并有15%的几率造成眩晕2回合,"""22076201"",""22076211"",""22076221"",""22076204""",能量体2,被动效果：速度增加25点，生命增加25%，暴击率增加15%，免疫眩晕,"""22076304""",拘束器2,被动效果：当生命低于80%时，增加30%减伤率，持续5回合（仅触发一次）,skillico_2207_1,skillico_2207_2,skillico_2207_3,skillico_2207_4,"""22075"",""22076"",""2207a""",1,500,120
22085,秘法大师,夏洛克,2208,2,5,,4,2,4,qtkz,22085,22085,,,,22085,"[2,3,5]",22085002,22085012,奥术秘法,怒气技能：对随机2名敌人造成160%攻击力伤害，并70%对其中一人释放变羊术（变羊术：目标变成羊，被变羊的目标无法进行攻击，受到3次怒气技能或普通攻击后解除效果；攻守互换：可用于触发被动技能）,"""22085201"",""22085211"",""22085221"",""22085231""",牧羊人之心,被动效果：攻击增加15%，生命值增加10%，速度增加20，减伤率增加10%,"""22085304""",圣者降临,被动效果：战斗开始时，获得2层攻守互换,"""22085404"",""22085414""",奥术心得,被动效果：自身生命值低于28%时，消耗3层攻守互换，使自己与当前生命值最高的敌人生命值互换（交换的生命值不超过攻击力的4000%）；自身受到控制时，消耗2层攻守互换将1种控制转移给随机1名敌方英雄；自身被施加负面状态时（除去控制效果），消耗2层攻守互换，清除负面状态。攻守互换层数不足时无法触发技能。,skillico_2208_1,skillico_2208_2,skillico_2208_3,skillico_2208_4,"""22085"",""22086"",""2208a""",1,500,105
22086,秘法大师,夏洛克,2208,2,6,22086,0,2,5,qtkz,22086,22086,2208a,2208a,22085,22086,"[2,4,6]",22086002,22086012,奥术秘法,怒气技能：对随机2名敌人造成220%攻击力伤害，并100%对其中一人释放变羊术（变羊术：目标变成羊，被变羊的目标无法进行攻击，受到3次怒气技能或普通攻击后解除效果；攻守互换：可用于触发被动技能）,"""22086201"",""22086211"",""22086221"",""22086231""",牧羊人之心,被动效果：攻击增加20%，生命值增加20%，速度增加30，减伤率增加20%,"""22086304""",圣者降临,被动效果：战斗开始时，获得3层攻守互换,"""22086404"",""22086414""",奥术心得,被动效果：自身生命值低于33%时，消耗3层攻守互换，使自己与当前生命值最高的敌人生命值互换（交换的生命值不超过攻击力的4800%）；自身受到控制时，消耗1层攻守互换将1种控制转移给随机1名敌方英雄；自身被施加负面状态时（除去控制效果），消耗一层攻守互换，清除负面状态,skillico_2208_1,skillico_2208_2,skillico_2208_3,skillico_2208_4,"""22085"",""22086"",""2208a""",1,500,120
23013,木精灵,雷吉,2301,2,3,,0,3,2,,23013,23013,,,,23013,[2],6,23013012,生命之光,怒气技能：对随机2名敌人造成120%攻击伤害，并恢复我方血量最少英雄85%攻击生命,"""23013114""",自然恩赐,被动效果：受到大自然的眷顾，每次普攻恢复25%攻击的生命,,,,,,,skillico_026,skillico_223,,,"""23013""",0,500,45
23023,灵魂祭祀,泰拉的仆人,2302,2,3,,0,3,2,,23023,23023,,,,23023,[2],5,23023012,献祭火球,怒气技能：对敌方后排造成90%攻击伤害，并恢复我方后排40%攻击生命,"""23023114""",灵魂祭祀,被动效果：对灵魂之力的精通使自身每次普攻后恢复30%攻击的生命,,,,,,,skillico_027,skillico_012,,,"""23023""",0,500,45
23035,奥赛隆,奥玛斯,2303,2,5,,3,3,4,qtzl,23035,23035,,,,23035,"[2,3,5]",5,23035012,潮汐海浪,怒气技能：对敌方随机1名后排目标造成111%攻击伤害并持续恢复全体友军60%攻击效果的生命3回合,"""23035114"",""23035124""",治疗,被动效果：水生种族，普攻有100%概率对目标造成33%攻击的额外伤害并持续恢复随机1名友军24%攻击的等量生命，持续3回合,"""23035211"",""23035221""",潮汐之力,被动效果：借用潮汐的力量，自身生命增加30%，攻击增加22%,"""23035314""",水系治愈,被动效果：当自身生命低于50%时，回复己方全体150%攻击的等量生命（只触发一次）,skillico_028,skillico_223,skillico_236,skillico_244,"""23035"",""23036"",""2303a""",0,500,100
23036,奥赛隆,奥玛斯,2303,2,6,23036,0,3,5,,23036,23036,2303a,2303a,23035,23036,"[2,4,6]",5,23036012,潮汐海浪2,怒气技能：对敌方随机2名后排目标造成85%攻击伤害并持续恢复全体友军80%攻击效果的生命3回合,"""23036114"",""23036124""",治疗2,被动效果：水生种族，普攻有100%概率对目标造成44%攻击的额外伤害并持续恢复随机1名友军36%攻击的等量生命，持续3回合,"""23036211"",""23036221""",潮汐之力2,被动效果：借用潮汐的力量，自身生命增加40%，攻击增加22%,"""23036314""",水系治愈2,被动效果：当自身生命低于50%时，回复己方全体200%攻击的等量生命（只触发一次）,skillico_028,skillico_223,skillico_236,skillico_244,"""23035"",""23036"",""2303a""",0,500,115
24013,虚灵贤者,卡佛,2401,2,3,,0,4,2,,24013,24013,,,,24013,[2],5,24013012,虚灵冲击,怒气技能：对敌方后排随机2名角色造成160%攻击伤害，并使敌人防御降低30%持续2回合,"""24013111"",""24013121""",虚无之力,被动效果：血量提升10%，格挡提升10%,,,,,,,skillico_006,skillico_202,,,"""24013""",0,500,55
24024,虚空刺客,罗伊,2402,2,4,,0,4,3,,24024,24024,,,,24024,[3],5,24024012,破防烈焰,怒气技能：对敌方后排造成88%攻击伤害并降低其16%防御2回合,"""24024111"",""24024121""",神秘力量,被动效果：释放体内神秘的力量，使得自身格挡增加20%，攻击增加28%,,,,,,,skillico_029,skillico_245,,,"""24024"",""24025"",""24026""",0,500,70
24025,虚空刺客,罗伊,2402,2,5,,2,4,4,hpsc,24025,24025,,,,24025,"[3,5]",5,24025012,破防烈焰,怒气技能：对敌方后排造成111%攻击伤害并降低其19%防御2回合,"""24025111"",""24025121""",神秘力量,被动效果：释放体内神秘的力量，使得自身格挡增加20%，攻击增加32%,"""24025214""",撕裂,被动效果：一击杀不死，也能让你流血流死！普攻有50%概率使目标流血，每回合造成44%的攻击伤害，持续2回合,,,,skillico_029,skillico_245,skillico_231,,"""24024"",""24025"",""24026""",0,500,90
24026,虚空刺客,罗伊,2402,2,6,24026,0,4,5,,24026,24026,,,24025,24026,"[2,4,6]",5,24026012,破防烈焰2,怒气技能：对敌方后排造成111%攻击伤害并降低其24.5%防御2回合,"""24026111"",""24026121""",神秘力量2,被动效果：释放体内神秘的力量，使得自身格挡增加20%，攻击增加36%,"""24026214""",撕裂2,被动效果：一击杀不死，也能让你流血流死！普攻有50%概率使目标流血，每回合造成66%的攻击伤害，持续2回合,"""24026314""",虚无之力2,被动效果：化身虚无，格挡成功时，提升自己攻击12.5%，持续3回合,skillico_029,skillico_245,skillico_231,skillico_246,"""24024"",""24025"",""24026""",0,500,105
24035,虚灵杀手蟹,幻影,2403,2,5,,3,4,4,hpsc,24035,24035,,,,24035,"[3,5]",2,24035012,冷焰冲击,怒气技能：对敌方随机2名后排目标造成101%攻击伤害，每回合额外造成66%攻击伤害，持续2回合,"""24035114""",撕裂,被动效果：硕大的蟹钳，普攻有54%概率使目标流血，每回合造成55%攻击伤害，持续2回合,"""24035211"",""24035221""",巨蟹之力,被动效果：巨蟹一族的力量，自身格挡增加25%，攻击增加25%,,,,skillico_023,skillico_231,skillico_245,,"""24035"",""24036"",""2403a""",0,500,100
24036,虚灵杀手蟹,幻影,2403,2,6,24036,0,4,5,,24036,24036,2403a,2403a,24035,24036,"[2,4,6]",2,24036012,冷焰冲击2,怒气技能：对敌方随机2名后排目标造成151%攻击伤害，每回合额外造成88%攻击伤害，持续2回合,"""24036114""",撕裂2,被动效果：硕大的蟹钳，普攻有72%概率使目标流血，每回合造成66%的攻击伤害，持续2回合,"""24036211"",""24036221""",巨蟹之力2,被动效果：巨蟹一族的力量，自身格挡增加30%，攻击增加35%,"""24036314""",力量窃取2,被动效果：专门欺负弱小，普通攻击变成攻击敌方生命最少的英雄，并窃取目标11.1%攻击3回合,skillico_023,skillico_231,skillico_245,skillico_247,"""24035"",""24036"",""2403a""",0,500,115
24045,幻影利刃,夏,2404,2,5,,3,4,4,dtsc,24045,24045,,,,24045,"[2,3,5]",24045002,24045012,瞬狱千刃,怒气技能：对生命值最低的敌人造成194%攻击伤害，并额外造成150%流血伤害，持续2回合,"""24045101"",""24045111"",""24045121"",""24045131"",""24045141""",至高忍者,被动效果：攻击增加15%，暴击增加10%，格挡增加30%，免控增加10%，速度增加10,"""24045204""",见切,被动效果：当自身触发格挡时，获得一层杀意，持续4回合（释放怒气技能时，每层杀意对生命值最低的敌人造成97%攻击伤害，并额外造成75%流血伤害2回合）,"""24045304"",""24045314""",能源切割,被动效果：普攻时，获得1层杀意；自己击杀敌人时（杀意击杀敌人不生效），恢复自身生命上限30%的生命（释放怒气技能时，每层杀意对生命值最低的敌人造成97%攻击伤害，并额外造成75%流血伤害2回合）,skillico_2404_1,skillico_2404_2,skillico_2404_3,skillico_2404_4,"""24045"",""24046"",""2404a""",1,500,100
24046,幻影利刃,夏,2404,2,6,24046,0,4,5,dtsc,24046,24046,2404a,2404a,24045,24046,"[2,4,6]",24046002,24046012,瞬狱千刃2,怒气技能：对生命值最低的敌人造成298%攻击伤害，并额外造成220%流血伤害，持续2回合,"""24046101"",""24046111"",""24046121"",""24046131"",""24046141""",至高忍者2,被动效果：攻击增加25%，暴击增加20%，格挡增加50%，免控增加20%，速度增加20,"""24046204""",见切2,被动效果：当自身触发格挡时，获得一层杀意，持续4回合（释放怒气技能时，每层杀意对生命值最低的敌人造成149%攻击伤害，并额外造成110%流血伤害2回合）,"""24046304"",""24046314""",能源切割2,被动效果：普攻时，获得1层杀意；自己击杀敌人时（杀意击杀敌人不生效），恢复自身生命上限60%的生命（释放怒气技能时，每层杀意对生命值最低的敌人造成149%攻击伤害，并额外造成110%流血伤害2回合）,skillico_2404_1,skillico_2404_2,skillico_2404_3,skillico_2404_4,"""24045"",""24046"",""2404a""",1,500,115
25011,鹰身女妖,老矿工,2501,2,1,,0,5,0,,25011,25011,,,,25011,[],1,25011012,俯身直冲,怒气技能：对单个敌人造成160%伤害，并有30%概率冰冻敌人2回合,,,,,,,,,,skillico_030,,,,"""25011""",0,500,20
25023,火焰元素,火拳,2502,2,3,,0,5,2,,25023,25023,,,,25023,[2],2,25023012,火焰投掷,怒气技能：对敌方随机3个目标造成75%伤害，并使得敌人流血2回合，每回合造成35%攻击伤害,"""25023111"",""25023121""",元素之力,被动效果：血量提升10%，格挡提升10%,,,,,,,skillico_023,skillico_237,,,"""25023""",0,500,45
25033,水滴元素,MK-05,2503,2,3,,0,5,2,,25033,25033,,,,25033,[2],5,25033012,寒冰侵袭,怒气技能：对敌方随机3个目标造成95%攻击伤害，并降低敌人防御15%，持续1回合。如果对方是法师，则有40%概率冰冻对方1回合,"""25033114""",快速愈合,被动效果：受到伤害有50%概率恢复英雄30%攻击的生命（受控可触发恢复效果）,,,,,,,skillico_017,skillico_204,,,"""25033""",0,500,45
25044,探险家,烈酒,2504,2,4,,0,5,3,,25044,25044,,,,25044,"[2,4]",2,25044012,绝命射击,怒气技能：对随机2名后排敌人造成90%攻击伤害，每回合造成50%流血伤害，并使自己命中提升10%持续2回合。,"""25044111"",""25044121""",压制,被动效果：格挡提升10%，破防提升10%,"""25044211""",勇者之心,被动效果：暴击提升20%,,,,skillico_031,skillico_250,skillico_251,,"""25044"",""25045""",0,500,65
25045,探险家,烈酒,2504,2,5,,1,5,4,hpsc,25045,25045,,,,25045,"[3,5]",2,25045012,绝命射击,怒气技能：对随机2名后排敌人造成100%攻击伤害，每回合造成60%流血伤害，并使自己命中提升20%持续2回合。,"""25045111"",""25045121""",压制,被动效果：格挡提升15%，破防提升15%,"""25045211""",勇者之心,被动效果：暴击提升30%,,,,skillico_031,skillico_250,skillico_251,,"""25044"",""25045""",0,500,85
25054,虚灵狼,LM-02,2505,2,4,,0,5,3,,25054,25054,,,,25054,"[2,4]",5,25054012,幻影绞杀,怒气技能：普攻对随机3个敌人造成120%攻击伤害，并每回合造成35%流血伤害持续2回合,"""25054111"",""25054121""",狼族天赋,被动效果：攻击提升10%，格挡提升10%,"""25054214""",虚灵体,被动效果：每当我方英雄死亡，增加10%格挡概率,,,,skillico_032,skillico_252,skillico_222,,"""25054"",""25055""",0,500,65
25055,虚灵狼,LM-02,2505,2,5,,1,5,4,hpsc,25055,25055,,,,25055,"[3,5]",5,25055012,幻影绞杀,怒气技能：普攻对随机3个敌人造成140%攻击伤害，并每回合造成50%流血伤害持续2回合,"""25055111"",""25055121""",狼族天赋,被动效果：攻击提升15%，格挡提升15%,"""25055214""",虚灵体,被动效果：每当我方英雄死亡，增加10%格挡概率,,,,skillico_032,skillico_252,skillico_222,,"""25054"",""25055""",0,500,85
25065,风领主,冰闪,2506,2,5,,3,5,4,hpkz,25065,25065,,,,25065,"[2,3,5]",2,25065012,风灵突袭,怒气技能：对敌方后排造成95%攻击伤害并有25%概率使目标冰冻2回合,"""25065111"",""25065121""",风灵力量,被动效果：风灵的力量让自身破防增加32%，攻击增加22%,"""25065214"",""25065224""",御风,被动效果：统御狂风，受到攻击时降低攻击者3.3%攻击并增加自己3.3%攻击，持续3回合,"""25065314""",风灵秘技,被动效果：掌握风雪的力量，对冰冻的目标，增加38%的额外伤害,skillico_033,skillico_227,skillico_253,skillico_254,"""25065"",""25066"",""2506a""",0,500,100
25066,风领主,冰闪,2506,2,6,25066,0,5,5,,25066,25066,2506a,2506a,25065,25066,"[2,4,6]",2,25066012,风灵突袭2,怒气技能：对敌方全体造成120%攻击伤害并有25%概率使目标冰冻2回合,"""25066111"",""25066121""",风灵力量2,被动效果：风灵的力量让自身破防增加32%，攻击增加33%,"""25066214"",""25066224""",御风2,被动效果：统御狂风，受到攻击时降低攻击者7.7%攻击并增加自己7.7%攻击，持续3回合,"""25066314""",风灵秘技2,被动效果：掌握风雪的力量，对冰冻的目标，增加62%的额外伤害,skillico_033,skillico_227,skillico_253,skillico_254,"""25065"",""25066"",""2506a""",0,500,115
25075,奥秘管理员,美树,2507,2,5,,3,5,4,hpsc,25075,25075,,,,25075,"[2,3,5]",7,25075012,奥术冲击,怒气技能：对敌方前排造成150%攻击伤害并增加自身22.5%攻击2回合,"""25075111"",""25075121"",""25075131""",机械能量,被动效果：使用科技力量打造的机械身躯，使得格挡增加25%，速度增加40，生命增加15%,"""25075214""",自我修复,被动效果：每次格挡时自我修复，回复自身120%攻击等量生命（受控不可触发恢复效果）,"""25075314""",随机攻击,被动效果：我都不知道我能打着谁，普通攻击变为攻击敌方随机1名目标，同时减少目标9.9%命中2回合,skillico_034,skillico_255,skillico_211,skillico_224,"""25075"",""25076"",""2507a""",0,500,100
25076,奥秘管理员,美树,2507,2,6,25076,0,5,5,,25076,25076,2507a,2507a,25075,25076,"[2,4,6]",7,25076012,奥术冲击2,怒气技能：对敌方前排造成225%攻击伤害并增加自身45%攻击2回合,"""25076111"",""25076121"",""25076131""",机械能量2,被动效果：使用科技力量打造的机械身躯，使得格挡增加30%，速度增加50，生命增加20%,"""25076214""",自我修复2,被动效果：每次格挡时自我修复，回复自身156%攻击等量生命（受控不可触发恢复效果）,"""25076314""",随机攻击2,被动效果：我都不知道我能打着谁，普通攻击变为攻击前排敌人，伤害为88%攻击效果，同时减少目标16%命中2回合,skillico_034,skillico_255,skillico_211,skillico_224,"""25075"",""25076"",""2507a""",0,500,115
25085,侏儒大师,潘妮,2508,2,5,,4,5,4,qtsc,25085,25085,,,,25085,"[2,3,5]",25085002,25085012,奥术巨炮,怒气技能：对生命值最高的敌人造成200%攻击伤害，每回合额外造成50%燃烧伤害持续6回合，给自己增加1层抵抗护罩（受到控制时，消耗一层抵抗护罩来抵消该控制）,"""25085101"",""25085111"",""25085121"",""25085131""",侏儒身法,被动效果：生命增加15%，攻击增加10%，暴击率增加15%，命中增加25%,"""25085204""",枪斗术,被动效果：普攻对前排敌人造成120%攻击伤害，为自己增加一层反射护罩（受到怒气技能或普攻时，消耗一层反射护罩，将其伤害的20%反射给攻击者），并增加自身10%暴击伤害2回合,"""25085304""",大师心得,被动效果：造成暴击时，对所有敌人造成伤害量的30%的伤害，并对自己增加1层抵抗护罩（受到控制时，消耗一层抵抗护罩来抵消该控制）和反射护罩（受到怒气技能或普攻时，消耗一层反射护罩，将其伤害的20%反射给攻击者）,skillico_2508_1,skillico_2508_2,skillico_2508_3,skillico_2508_4,"""25085"",""25086"",""2508a""",1,500,105
25086,侏儒大师,潘妮,2508,2,6,25086,0,5,5,qtsc,25086,25086,2508a,2508a,25085,25086,"[2,4,6]",25086002,25086012,奥术巨炮2,怒气技能：对生命值最高的敌人造成300%攻击伤害，每回合额外造成80%燃烧伤害持续6回合，给自己增加1层抵抗护罩（受到控制时，消耗一层抵抗护罩来抵消该控制）,"""25086101"",""25086111"",""25086121"",""25086131""",侏儒身法2,被动效果：生命增加20%，攻击增加20%，暴击率增加20%，命中增加50%,"""25086204""",枪斗术2,被动效果：普攻对前排敌人造成150%攻击伤害，为自己增加一层反射护罩（受到怒气技能或普攻时，消耗一层反射护罩，将其伤害的30%反射给攻击者），并增加自身20%暴击伤害2回合,"""25086304""",大师心得2,被动效果：造成暴击时，对所有敌人造成伤害量的60%的伤害，并对自己增加1层抵抗护罩（受到控制时，消耗一层抵抗护罩来抵消该控制）和反射护罩（受到怒气技能或普攻时，消耗一层反射护罩，将其伤害的30%反射给攻击者）,skillico_2508_1,skillico_2508_2,skillico_2508_3,skillico_2508_4,"""25085"",""25086"",""2508a""",1,500,120
31012,暗影行者,强森,3101,3,2,,0,1,1,,31012,31012,,,,31012,[2],1,31012012,深渊之拳,怒气技能：对单个敌人造成140%伤害，并使敌人防御降低35%，持续2回合,"""31012111""",生命仪式,被动效果：祭祀邪能之力，生命永久提升25%,,,,,,,skillico_035,skillico_223,,,"""31012""",0,500,30
31023,邪能石魔,深渊守卫,3102,3,3,,0,1,2,,31023,31023,,,,31023,[2],1,31023012,地狱重击,怒气技能：对敌方血量最少的目标造成140%攻击伤害，并使自己攻击增加10%，持续3回合,"""31023111""",石化之心,被动效果：防御提升35%,,,,,,,skillico_035,skillico_258,,,"""31023""",0,500,45
31033,双头地狱犬,烈焰红唇,3103,3,3,,0,1,2,,31033,31033,,,,31033,[2],1,31033012,熔犬头槌,怒气技能：对敌方单个目标造成160%攻击伤害，并使自己格挡提升15%，持续2回合,"""31033111""",火焰之心,被动效果：攻击永久提升20%,,,,,,,skillico_036,skillico_296,,,"""31033""",0,500,45
31044,魔王格莱斯顿,坦纳,3104,3,4,,0,1,3,,31044,31044,,,,31044,"[2,4]",2,31044012,邪能火球,怒气技能：对随机单个敌人造成160%攻击伤害，并增加自身10%伤害减免2回合,"""31044111""",恶魔身躯,被动效果：防御增加35%,"""31044214""",不屈之心,被动效果：魔王从不屈服，受到伤害有50%几率恢复70%攻击的生命（受控可触发恢复效果）,,,,skillico_037,skillico_256,skillico_211,,"""31044"",""31045""",0,500,65
31045,魔王格莱斯顿,坦纳,3104,3,5,,1,1,4,dtsc,31045,31045,,,,31045,"[3,5]",2,31045012,邪能火球,怒气技能：对随机单个敌人造成180%攻击伤害，并增加自身15%伤害减免2回合,"""31045111""",恶魔身躯,被动效果：防御增加45%,"""31045214""",不屈之心,被动效果：魔王从不屈服，受到伤害有50%几率恢复120%攻击的生命（受控可触发恢复效果）,,,,skillico_037,skillico_256,skillico_211,,"""31044"",""31045""",0,500,85
31054,深渊机甲,雷蒙盖顿,3105,3,4,,0,1,3,,31054,31054,,,,31054,"[2,4]",5,31054012,魔能爆裂,怒气技能：对敌方后排造成90%攻击伤害，并有40%概率沉默目标1回合,"""31054114""",涡轮增加,被动效果：每次普攻提升自己10%暴击率,"""31054211"",""31054221""",巨型单位,被动效果：暴击提升10%，攻击提升15%,,,,skillico_029,skillico_258,skillico_293,,"""31054"",""31055""",0,500,65
31055,深渊机甲,雷蒙盖顿,3105,3,5,,1,1,4,bsctk,31055,31055,,,,31055,"[3,5]",5,31055012,魔能爆裂,怒气技能：对敌方后排造成100%攻击伤害，并有30%概率沉默目标2回合,"""31055114""",涡轮增加,被动效果：每次普攻提升自己10%暴击率,"""31054211"",""31054221""",巨型单位,被动效果：暴击提升10%，攻击提升15%,,,,skillico_029,skillico_258,skillico_293,,"""31054"",""31055""",0,500,85
