层数,关卡,地图,boss战斗,boss奖励,小怪战斗,小怪奖励,名字,解密id,解密名字,随机事件,类型,手动挑战,扫荡获得
48,json/syzc/syzcmap12.json,symap12,71048,"[{""a"": ""item"", ""t"": ""2093"", ""n"":207},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":103500}]","[""72048"",""72048"",""72048"",""72048""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":35},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3500}]",第48层,4,追踪领主,"{""4"": 15,""7"": 0,""21"": 0,""22"": 0,""23"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1832}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1648}]"
49,json/syzc/syzcmap1.json,symap1,71049,"[{""a"": ""item"", ""t"": ""2093"", ""n"":208},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":104000}]","[""72049"",""72049"",""72049"",""72049""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":35},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3500}]",第49层,1,截断情报,"{""4"": 15,""7"": 0,""12"": 0,""13"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1833}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1649}]"
50,json/syzc/syzcmap2.json,symap2,71050,"[{""a"": ""item"", ""t"": ""2093"", ""n"":209},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":104500}]","[""72050"",""72050"",""72050"",""72050""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":35},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3500}]",第50层,2,运送物资,{"4": 15},1,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1834}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1650}]"
51,json/syzc/syzcmap3.json,symap3,71051,"[{""a"": ""item"", ""t"": ""2093"", ""n"":210},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":105000}]","[""72051"",""72051"",""72051"",""72051""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":36},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3600}]",第51层,3,噬魂共振,"{""4"": 15,""7"": 0,""16"": 0,""17"": 0,""18"": 0,""19"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1839}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1655}]"
52,json/syzc/syzcmap4.json,symap4,71052,"[{""a"": ""item"", ""t"": ""2093"", ""n"":211},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":105500}]","[""72052"",""72052"",""72052"",""72052""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":36},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3600}]",第52层,4,追踪领主,"{""4"": 15,""7"": 0,""21"": 0,""22"": 0,""23"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1840}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1656}]"
53,json/syzc/syzcmap5.json,symap5,71053,"[{""a"": ""item"", ""t"": ""2093"", ""n"":212},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":106000}]","[""72053"",""72053"",""72053"",""72053""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":36},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3600}]",第53层,1,截断情报,"{""4"": 15,""7"": 0,""12"": 0,""13"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1841}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1656}]"
54,json/syzc/syzcmap6.json,symap6,71054,"[{""a"": ""item"", ""t"": ""2093"", ""n"":213},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":106500}]","[""72054"",""72054"",""72054"",""72054""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":36},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3600}]",第54层,2,运送物资,"{""4"": 15,""7"": 0,""14"": 0,""15"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1842}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1657}]"
55,json/syzc/syzcmap7.json,symap7,71055,"[{""a"": ""item"", ""t"": ""2093"", ""n"":214},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":107000}]","[""72055"",""72055"",""72055"",""72055""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":36},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3600}]",第55层,3,噬魂共振,{"4": 15},1,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1843}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1658}]"
56,json/syzc/syzcmap8.json,symap8,71056,"[{""a"": ""item"", ""t"": ""2093"", ""n"":215},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":107500}]","[""72056"",""72056"",""72056"",""72056""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":37},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3700}]",第56层,4,追踪领主,"{""4"": 15,""7"": 0,""21"": 0,""22"": 0,""23"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1848}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1663}]"
57,json/syzc/syzcmap9.json,symap9,71057,"[{""a"": ""item"", ""t"": ""2093"", ""n"":216},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":108000}]","[""72057"",""72057"",""72057"",""72057""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":37},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3700}]",第57层,1,截断情报,"{""4"": 15,""7"": 0,""12"": 0,""13"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1849}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1664}]"
58,json/syzc/syzcmap10.json,symap10,71058,"[{""a"": ""item"", ""t"": ""2093"", ""n"":217},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":108500}]","[""72058"",""72058"",""72058"",""72058""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":37},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3700}]",第58层,2,运送物资,"{""4"": 15,""7"": 0,""14"": 0,""15"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1850}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1665}]"
59,json/syzc/syzcmap11.json,symap11,71059,"[{""a"": ""item"", ""t"": ""2093"", ""n"":218},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":109000}]","[""72059"",""72059"",""72059"",""72059""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":37},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3700}]",第59层,3,噬魂共振,"{""4"": 15,""7"": 0,""16"": 0,""17"": 0,""18"": 0,""19"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1851}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1665}]"
60,json/syzc/syzcmap12.json,symap12,71060,"[{""a"": ""item"", ""t"": ""2093"", ""n"":219},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":109500}]","[""72060"",""72060"",""72060"",""72060""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":37},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3700}]",第60层,4,追踪领主,{"4": 15},1,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1852}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1666}]"
61,json/syzc/syzcmap1.json,symap1,71061,"[{""a"": ""item"", ""t"": ""2093"", ""n"":220},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":110000}]","[""72061"",""72061"",""72061"",""72061""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":38},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3800}]",第61层,1,截断情报,"{""4"": 15,""7"": 0,""12"": 0,""13"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1857}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1671}]"
62,json/syzc/syzcmap2.json,symap2,71062,"[{""a"": ""item"", ""t"": ""2093"", ""n"":221},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":110500}]","[""72062"",""72062"",""72062"",""72062""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":38},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3800}]",第62层,2,运送物资,"{""4"": 15,""7"": 0,""14"": 0,""15"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1858}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1672}]"
63,json/syzc/syzcmap3.json,symap3,71063,"[{""a"": ""item"", ""t"": ""2093"", ""n"":222},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":111000}]","[""72063"",""72063"",""72063"",""72063""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":38},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3800}]",第63层,3,噬魂共振,"{""4"": 15,""7"": 0,""16"": 0,""17"": 0,""18"": 0,""19"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1859}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1673}]"
64,json/syzc/syzcmap4.json,symap4,71064,"[{""a"": ""item"", ""t"": ""2093"", ""n"":223},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":111500}]","[""72064"",""72064"",""72064"",""72064""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":38},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3800}]",第64层,4,追踪领主,"{""4"": 15,""7"": 0,""21"": 0,""22"": 0,""23"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1860}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1674}]"
65,json/syzc/syzcmap5.json,symap5,71065,"[{""a"": ""item"", ""t"": ""2093"", ""n"":224},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":112000}]","[""72065"",""72065"",""72065"",""72065""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":38},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3800}]",第65层,1,截断情报,{"4": 15},1,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1861}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1674}]"
66,json/syzc/syzcmap6.json,symap6,71066,"[{""a"": ""item"", ""t"": ""2093"", ""n"":225},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":112500}]","[""72066"",""72066"",""72066"",""72066""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":39},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3900}]",第66层,2,运送物资,"{""4"": 15,""7"": 0,""14"": 0,""15"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1866}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1679}]"
67,json/syzc/syzcmap7.json,symap7,71067,"[{""a"": ""item"", ""t"": ""2093"", ""n"":226},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":113000}]","[""72067"",""72067"",""72067"",""72067""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":39},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3900}]",第67层,3,噬魂共振,"{""4"": 15,""7"": 0,""16"": 0,""17"": 0,""18"": 0,""19"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1867}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1680}]"
68,json/syzc/syzcmap8.json,symap8,71068,"[{""a"": ""item"", ""t"": ""2093"", ""n"":227},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":113500}]","[""72068"",""72068"",""72068"",""72068""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":39},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3900}]",第68层,4,追踪领主,"{""4"": 15,""7"": 0,""21"": 0,""22"": 0,""23"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1868}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1681}]"
69,json/syzc/syzcmap9.json,symap9,71069,"[{""a"": ""item"", ""t"": ""2093"", ""n"":228},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":114000}]","[""72069"",""72069"",""72069"",""72069""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":39},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3900}]",第69层,1,截断情报,"{""4"": 15,""7"": 0,""12"": 0,""13"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1869}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1682}]"
70,json/syzc/syzcmap10.json,symap10,71070,"[{""a"": ""item"", ""t"": ""2093"", ""n"":229},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":114500}]","[""72070"",""72070"",""72070"",""72070""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":39},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 3900}]",第70层,2,运送物资,{"4": 15},1,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1870}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1683}]"
71,json/syzc/syzcmap11.json,symap11,71071,"[{""a"": ""item"", ""t"": ""2093"", ""n"":230},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":115000}]","[""72071"",""72071"",""72071"",""72071""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":40},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4000}]",第71层,3,噬魂共振,"{""4"": 15,""7"": 0,""16"": 0,""17"": 0,""18"": 0,""19"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1875}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1687}]"
72,json/syzc/syzcmap12.json,symap12,71072,"[{""a"": ""item"", ""t"": ""2093"", ""n"":231},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":115500}]","[""72072"",""72072"",""72072"",""72072""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":40},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4000}]",第72层,4,追踪领主,"{""4"": 15,""7"": 0,""21"": 0,""22"": 0,""23"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1876}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1688}]"
73,json/syzc/syzcmap1.json,symap1,71073,"[{""a"": ""item"", ""t"": ""2093"", ""n"":232},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":116000}]","[""72073"",""72073"",""72073"",""72073""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":40},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4000}]",第73层,1,截断情报,"{""4"": 15,""7"": 0,""12"": 0,""13"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1877}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1689}]"
74,json/syzc/syzcmap2.json,symap2,71074,"[{""a"": ""item"", ""t"": ""2093"", ""n"":233},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":116500}]","[""72074"",""72074"",""72074"",""72074""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":40},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4000}]",第74层,2,运送物资,"{""4"": 15,""7"": 0,""14"": 0,""15"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1878}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1690}]"
75,json/syzc/syzcmap3.json,symap3,71075,"[{""a"": ""item"", ""t"": ""2093"", ""n"":234},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":117000}]","[""72075"",""72075"",""72075"",""72075""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":40},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4000}]",第75层,3,噬魂共振,{"4": 15},1,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1879}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1691}]"
76,json/syzc/syzcmap4.json,symap4,71076,"[{""a"": ""item"", ""t"": ""2093"", ""n"":235},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":117500}]","[""72076"",""72076"",""72076"",""72076""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":41},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4100}]",第76层,4,追踪领主,"{""4"": 15,""7"": 0,""21"": 0,""22"": 0,""23"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1884}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1695}]"
77,json/syzc/syzcmap5.json,symap5,71077,"[{""a"": ""item"", ""t"": ""2093"", ""n"":236},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":118000}]","[""72077"",""72077"",""72077"",""72077""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":41},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4100}]",第77层,1,截断情报,"{""4"": 15,""7"": 0,""12"": 0,""13"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1885}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1696}]"
78,json/syzc/syzcmap6.json,symap6,71078,"[{""a"": ""item"", ""t"": ""2093"", ""n"":237},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":118500}]","[""72078"",""72078"",""72078"",""72078""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":41},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4100}]",第78层,2,运送物资,"{""4"": 15,""7"": 0,""14"": 0,""15"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1886}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1697}]"
79,json/syzc/syzcmap7.json,symap7,71079,"[{""a"": ""item"", ""t"": ""2093"", ""n"":238},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":119000}]","[""72079"",""72079"",""72079"",""72079""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":41},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4100}]",第79层,3,噬魂共振,"{""4"": 15,""7"": 0,""16"": 0,""17"": 0,""18"": 0,""19"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1887}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1698}]"
80,json/syzc/syzcmap8.json,symap8,71080,"[{""a"": ""item"", ""t"": ""2093"", ""n"":239},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":119500}]","[""72080"",""72080"",""72080"",""72080""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":41},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4100}]",第80层,4,追踪领主,{"4": 15},1,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1888}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1699}]"
81,json/syzc/syzcmap9.json,symap9,71081,"[{""a"": ""item"", ""t"": ""2093"", ""n"":240},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":120000}]","[""72081"",""72081"",""72081"",""72081""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":42},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4200}]",第81层,1,截断情报,"{""4"": 15,""7"": 0,""12"": 0,""13"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1893}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1703}]"
82,json/syzc/syzcmap10.json,symap10,71082,"[{""a"": ""item"", ""t"": ""2093"", ""n"":241},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":120500}]","[""72082"",""72082"",""72082"",""72082""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":42},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4200}]",第82层,2,运送物资,"{""4"": 15,""7"": 0,""14"": 0,""15"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1894}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1704}]"
83,json/syzc/syzcmap11.json,symap11,71083,"[{""a"": ""item"", ""t"": ""2093"", ""n"":242},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":121000}]","[""72083"",""72083"",""72083"",""72083""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":42},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4200}]",第83层,3,噬魂共振,"{""4"": 15,""7"": 0,""16"": 0,""17"": 0,""18"": 0,""19"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1895}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1705}]"
84,json/syzc/syzcmap12.json,symap12,71084,"[{""a"": ""item"", ""t"": ""2093"", ""n"":243},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":121500}]","[""72084"",""72084"",""72084"",""72084""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":42},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4200}]",第84层,4,追踪领主,"{""4"": 15,""7"": 0,""21"": 0,""22"": 0,""23"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1896}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1706}]"
85,json/syzc/syzcmap1.json,symap1,71085,"[{""a"": ""item"", ""t"": ""2093"", ""n"":244},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":122000}]","[""72085"",""72085"",""72085"",""72085""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":42},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4200}]",第85层,1,截断情报,{"4": 15},1,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1897}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1707}]"
86,json/syzc/syzcmap2.json,symap2,71086,"[{""a"": ""item"", ""t"": ""2093"", ""n"":245},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":122500}]","[""72086"",""72086"",""72086"",""72086""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":43},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4300}]",第86层,2,运送物资,"{""4"": 15,""7"": 0,""14"": 0,""15"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1902}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1711}]"
87,json/syzc/syzcmap3.json,symap3,71087,"[{""a"": ""item"", ""t"": ""2093"", ""n"":246},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":123000}]","[""72087"",""72087"",""72087"",""72087""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":43},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4300}]",第87层,3,噬魂共振,"{""4"": 15,""7"": 0,""16"": 0,""17"": 0,""18"": 0,""19"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1903}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1712}]"
88,json/syzc/syzcmap4.json,symap4,71088,"[{""a"": ""item"", ""t"": ""2093"", ""n"":247},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":123500}]","[""72088"",""72088"",""72088"",""72088""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":43},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4300}]",第88层,4,追踪领主,"{""4"": 15,""7"": 0,""21"": 0,""22"": 0,""23"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1904}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1713}]"
89,json/syzc/syzcmap5.json,symap5,71089,"[{""a"": ""item"", ""t"": ""2093"", ""n"":248},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":124000}]","[""72089"",""72089"",""72089"",""72089""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":43},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4300}]",第89层,1,截断情报,"{""4"": 15,""7"": 0,""12"": 0,""13"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1905}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1714}]"
90,json/syzc/syzcmap6.json,symap6,71090,"[{""a"": ""item"", ""t"": ""2093"", ""n"":249},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":124500}]","[""72090"",""72090"",""72090"",""72090""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":43},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4300}]",第90层,2,运送物资,{"4": 15},1,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1906}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1715}]"
91,json/syzc/syzcmap7.json,symap7,71091,"[{""a"": ""item"", ""t"": ""2093"", ""n"":250},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":125000}]","[""72091"",""72091"",""72091"",""72091""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":44},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4400}]",第91层,3,噬魂共振,"{""4"": 15,""7"": 0,""16"": 0,""17"": 0,""18"": 0,""19"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1911}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1719}]"
92,json/syzc/syzcmap8.json,symap8,71092,"[{""a"": ""item"", ""t"": ""2093"", ""n"":251},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":125500}]","[""72092"",""72092"",""72092"",""72092""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":44},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4400}]",第92层,4,追踪领主,"{""4"": 15,""7"": 0,""21"": 0,""22"": 0,""23"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1912}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1720}]"
93,json/syzc/syzcmap9.json,symap9,71093,"[{""a"": ""item"", ""t"": ""2093"", ""n"":252},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":126000}]","[""72093"",""72093"",""72093"",""72093""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":44},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4400}]",第93层,1,截断情报,"{""4"": 15,""7"": 0,""12"": 0,""13"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1913}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1721}]"
94,json/syzc/syzcmap10.json,symap10,71094,"[{""a"": ""item"", ""t"": ""2093"", ""n"":253},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":126500}]","[""72094"",""72094"",""72094"",""72094""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":44},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4400}]",第94层,2,运送物资,"{""4"": 15,""7"": 0,""14"": 0,""15"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1914}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1722}]"
95,json/syzc/syzcmap11.json,symap11,71095,"[{""a"": ""item"", ""t"": ""2093"", ""n"":254},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":127000}]","[""72095"",""72095"",""72095"",""72095""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":44},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 4400}]",第95层,3,噬魂共振,{"4": 15},1,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1915}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1723}]"
