技能id,技能类型,被动id,受控不触发,数据,检测条件,描述,
3110602004,4,addafterskill,1,"{""runskill"":[""3110602003""]}",{},对血量高于50%的敌人，伤害增加35%，对血量低于50%的敌人伤害增加20%,
3111601004,4,addafterskill,0,"{""runskill"":[""3111601003""]}","{""when"":""doatk"",""side"":""-2"",""atktype"":""xpskill""}",嗜血剑圣掌握高超的剑术，释放怒气技能后，破甲将提升30%，持续2回合,
3111602004,4,addafterskill,0,"{""runskill"":[""3111602003""]}","{""when"":""doatk"",""side"":""-2"",""atktype"":""xpskill""}",嗜血剑圣掌握高超的剑术，释放怒气技能后，破甲将提升50%，持续2回合,
3203601004,4,addafterskill,1,"{""runskill"":[""3203601003""]}",{},攻击增加5%，对燃烧目标造成伤害增加18%,
3203602004,4,addafterskill,1,"{""runskill"":[""3203602003""]}",{},攻击增加8%，对燃烧目标造成伤害增加30%,
3204601004,4,extbuff,1,"{""dpspro"":30}","{""when"":""roleinit"",""zhongzu"":[3]}",战斗开始时每有一名吴国阵营武将，自己本场战斗伤害增加3%（最高增加18%）,
3204602004,4,extbuff,1,"{""dpspro"":50}","{""when"":""roleinit"",""zhongzu"":[3]}",战斗开始时每有一名吴国阵营武将，自己本场战斗伤害增加5%（最高增加30%）,
3205601004,4,addafterskill,1,"{""runskill"":[""3205601003""]}",{},攻击增加6%，对中毒目标造成的伤害增加15%,
3205602004,4,addafterskill,1,"{""runskill"":[""3205602003""]}",{},攻击增加10%，对中毒目标造成的伤害增加25%,
3206601004,4,addafterskill,0,"{""runskill"":[""3206601003""]}","{""when"":""doatk"",""side"":""-2"",""atktype"":""xpskill""}",生命+6%，释放怒气技能后有60%概率随机驱散1个敌方目标身上的全部增益效果,
3206602004,4,addafterskill,0,"{""runskill"":[""3206602003""]}","{""when"":""doatk"",""side"":""-2"",""atktype"":""xpskill""}",生命+10%，释放怒气技能后将随机驱散1个敌方目标身上的全部增益效果,
3302601004,4,addafterskill,0,"{""runskill"":[""2103601003""]}","{""when"":""doatk"",""side"":""-2"",""atktype"":""xpskill""}",释放怒气技能时，如果敌方武将生命低于30%，则有60%概率对目标造成眩晕,
3302602004,4,addafterskill,0,"{""runskill"":[""2103602003""]}","{""when"":""doatk"",""side"":""-2"",""atktype"":""xpskill""}",释放怒气技能时，如果敌方武将生命低于30%，则对目标造成眩晕,
3303601004,4,runskill,0,"{""runskill"":[""2507601003"",""2507601013""]}","{""when"":""hpchange"",""hpproless"":500}",王牌地精精湛的科学技术能维修直升机机体，生命低于50%时将立刻恢复12%生命，并提升6%格挡持续3回合,
3303602004,4,runskill,0,"{""runskill"":[""2507602003"",""2507602013""]}","{""when"":""hpchange"",""hpproless"":500}",王牌地精精湛的科学技术能维修直升机机体，生命低于50%时将立刻恢复20%生命，并提升10%格挡持续3回合,
3402601004,4,runskill,0,"{""runskill"":[""3402601003""]}","{""when"":""dead"",""side"":""1""}",周瑜伤害增加6%，每当敌方武将死亡，会额外增加周瑜6%暴击率（该效果最多叠加3层）,
3402602004,4,runskill,0,"{""runskill"":[""3402602003""]}","{""when"":""dead"",""side"":""1""}",周瑜伤害增加10%，每当敌方武将死亡，会额外增加周瑜10%暴击率（该效果最多叠加3层）,
3503601004,4,addafterskill,1,"{""runskill"":[""3503601003""]}",{},大乔血量过低时将激发其运动天赋，生命高于50%时对敌人伤害增加12%，生命低于50%时，对敌人伤害增加24%,
3503602004,4,addafterskill,1,"{""runskill"":[""3503602003""]}",{},大乔血量过低时将激发其运动天赋，生命高于50%时对敌人伤害增加20%，生命低于50%时，对敌人伤害增加40%,
3504601004,4,addafterskill,1,"{""runskill"":[""3503601003""]}",{},生命高于50%时对敌人伤害增加12%，生命低于50%时，对敌人伤害增加24%,
3504602004,4,addafterskill,1,"{""runskill"":[""3503602003""]}",{},生命高于50%时对敌人伤害增加20%，生命低于50%时，对敌人伤害增加35%,
3505601004,4,addafterskill,1,"{""runskill"":[""3505601003"",""3505601013""]}","{""when"":""doatk"",""side"":""-2"",""atktype"":""normalskill""}",普攻对目标造成攻击24%的燃烧和流血，持续2回合,
3505602004,4,addafterskill,1,"{""runskill"":[""3505602003"",""3505602013""]}","{""when"":""doatk"",""side"":""-2"",""atktype"":""normalskill""}",普攻对目标造成攻击40%的燃烧和流血，持续2回合,
4105601004,4,runskill,0,"{""runskill"":[""4106601003""]}","{""when"":""hpchange"",""hpproless"":500}",攻击增加6%，生命低于50%时，将立刻恢复12%生命（每场战斗只会触发一次）,
4105602004,4,runskill,0,"{""runskill"":[""4106602003""]}","{""when"":""hpchange"",""hpproless"":500}",攻击增加10%，生命低于50%时，将立刻恢复20%生命（每场战斗只会触发一次）,
4106601004,4,runskill,0,"{""runskill"":[""4106601003""]}","{""when"":""hpchange"",""hpproless"":500}",攻击增加6%，生命低于50%时，将立刻恢复12%生命（每场战斗只会触发一次）,
4106602004,4,runskill,0,"{""runskill"":[""4106602003""]}","{""when"":""hpchange"",""hpproless"":500}",攻击增加10%，生命低于50%时，将立刻恢复20%生命（每场战斗只会触发一次）,
4107601004,4,runskill,0,"{""runskill"":[""4107601003""]}","{""when"":""realdead"",""side"":""1""}",敌方英雄死亡时，增加自身技能伤害6%，持续3回合,
4107602004,4,runskill,0,"{""runskill"":[""4107602003""]}","{""when"":""realdead"",""side"":""1""}",敌方英雄死亡时，增加自身技能伤害10%，持续3回合,
4201601004,4,extbuff,1,"{""dpspro"":30}","{""when"":""roleinit"",""zhongzu"":[1,2,3,5]}",刘备天生就有领袖的气质，战斗开始我方每有一名其他蜀国武将，刘备将提升6%伤害（非蜀国提升3%）,
4201602004,4,extbuff,1,"{""dpspro"":50}","{""when"":""roleinit"",""zhongzu"":[1,2,3,5]}",刘备天生就有领袖的气质，战斗开始我方每有一名其他蜀国武将，刘备将提升10%伤害（非蜀国提升5%）,
4202601004,4,extbuff,1,"{""speed"":12}","{""when"":""roleinit""}",增加12点速度,
4202602004,4,extbuff,1,"{""speed"":20}","{""when"":""roleinit""}",增加20点速度,
4201601014,4,extbuff,1,"{""dpspro"":60}","{""when"":""roleinit"",""zhongzu"":[4]}",刘备天生就有领袖的气质，战斗开始我方每有一名其他蜀国武将，刘备将提升6%伤害（非蜀国提升3%）,
4201602014,4,extbuff,1,"{""dpspro"":100}","{""when"":""roleinit"",""zhongzu"":[4]}",刘备天生就有领袖的气质，战斗开始我方每有一名其他蜀国武将，刘备将提升10%伤害（非蜀国提升5%）,
4304601004,4,extbuff,1,"{""dpspro"":30}","{""when"":""roleinit"",""zhongzu"":[4]}",战斗开始时每有一名己方蜀国阵营武将，自己本场战斗伤害增加3%（最高增加18%）,
4304602004,4,extbuff,1,"{""dpspro"":50}","{""when"":""roleinit"",""zhongzu"":[4]}",战斗开始时每有一名己方蜀国阵营武将，自己本场战斗伤害增加5%（最高增加30%）,
4305601004,4,extbuff,1,"{""dpspro"":30}","{""when"":""roleinit"",""zhongzu"":[4]}",战斗开始时每有一名己方蜀国阵营武将，自己本场战斗伤害增加3%（最高增加18%）,
4305602004,4,extbuff,1,"{""dpspro"":50}","{""when"":""roleinit"",""zhongzu"":[4]}",战斗开始时每有一名己方蜀国阵营武将，自己本场战斗伤害增加5%（最高增加30%）,
4306601004,4,runskill,0,"{""runskill"":[""4306601003"",""4306601013"",""4306601023""]}","{""when"":""round"",""number"":""-1"",""iscancel"":1}",自己存活时，全队提升2%的攻击力与3%的免伤，每回合回复全队已损生命0.6%生命,
4306602004,4,runskill,0,"{""runskill"":[""4306602003"",""4306602013"",""4306602023""]}","{""when"":""round"",""number"":""-1"",""iscancel"":1}",自己存活时，全队提升3%的攻击力与5%的免伤，每回合回复全队已损生命1%生命,
4307601004,4,runskill,0,"{""runskill"":[""4307601003""]}","{""when"":""round"",""number"":""1""}",开场时，与阵容中攻击力最高的友军形成羁绊，两人均会提升9%的伤害，直到任何一方死亡后接触效果,
4307602004,4,runskill,0,"{""runskill"":[""4307602003""]}","{""when"":""round"",""number"":""1""}",开场时，与阵容中攻击力最高的友军形成羁绊，两人均会提升15%的伤害，直到任何一方死亡后接触效果,
4403601004,4,addafterskill,0,"{""runskill"":[""2103601003""]}","{""when"":""doatk"",""side"":""-2"",""atktype"":""xpskill""}",释放怒气技能时，如果敌方武将生命低于30%，则有60%概率对目标造成眩晕,
4403602004,4,addafterskill,0,"{""runskill"":[""2103602003""]}","{""when"":""doatk"",""side"":""-2"",""atktype"":""xpskill""}",释放怒气技能时，如果敌方武将生命低于30%，则对目标造成眩晕,
4404601004,4,addafterskill,1,"{""runskill"":[""4404601003""]}",{},伤害增加6%，对中毒的目标造成伤害额外增加18%,
4404602004,4,addafterskill,1,"{""runskill"":[""4404602003""]}",{},伤害增加10%，对中毒的目标造成伤害额外增加30%,
4405601004,4,runskill,0,"{""runskill"":[""3402601003""]}","{""when"":""round"",""number"":""-1""}",展翅之鹰伤害提升6%，并且每回合开始增加6%暴击率（该效果最多叠加3层）,
4405602004,4,runskill,0,"{""runskill"":[""3402602003""]}","{""when"":""round"",""number"":""-1""}",展翅之鹰伤害提升10%，并且每回合开始增加10%暴击率（该效果最多叠加3层）,
4504601004,4,addafterskill,1,"{""runskill"":[""3109601003""]}",{},黄忠是优秀的猎手，对血量高于50%的敌人，伤害增加12%，对血量低于50%的敌人伤害增加21%,
4504602004,4,addafterskill,1,"{""runskill"":[""3109602003""]}",{},黄忠是优秀的猎手，对血量高于50%的敌人，伤害增加20%，对血量低于50%的敌人伤害增加35%,
4505601004,4,addafterskill,1,"{""runskill"":[""3109601003""]}",{},对血量高于50%的敌人，伤害增加12%，对血量低于50%的敌人伤害增加21%,
4505602004,4,addafterskill,1,"{""runskill"":[""3109602003""]}",{},对血量高于50%的敌人，伤害增加20%，对血量低于50%的敌人伤害增加35%,
4506601004,4,runskill,0,"{""runskill"":[""4506601003""]}","{""when"":""getbuff"",""side"":""-2"",""bufftype"":[""bingdong"",""xuanyun"",""shihua"",""chenmo"",""jinmo"",""kongju""]}",伊赫拉暴击增加6%，当伊赫拉处于控制状态时，将进入梦境状态，伤害减免增加18%,
4506602004,4,runskill,0,"{""runskill"":[""4506602003""]}","{""when"":""getbuff"",""side"":""-2"",""bufftype"":[""bingdong"",""xuanyun"",""shihua"",""chenmo"",""jinmo"",""kongju""]}",伊赫拉暴击增加10%，当伊赫拉处于控制状态时，将进入梦境状态，伤害减免增加30%,
5101601004,4,runskill,0,"{""runskill"":[""5101601003""]}","{""when"":""round"",""number"":""1""}",董卓生命增加6%，战斗中每有一名神魔友方武将存活，董卓伤害减免增加3%,
5101602004,4,runskill,0,"{""runskill"":[""5101602003""]}","{""when"":""round"",""number"":""1""}",董卓生命增加10%，战斗中每有一名神魔友方武将存活，董卓伤害减免增加5%,
5102601004,4,runskill,0,"{""runskill"":[""5102601003""]}","{""when"":""round"",""number"":""1""}",生命增加6%，战斗中每有一名光暗阵营友方英雄存活伤害+3%,
5102602004,4,runskill,0,"{""runskill"":[""5102602003""]}","{""when"":""round"",""number"":""1""}",生命增加10%，战斗中每有一名光暗阵营友方英雄存活伤害+5%,
5204601004,4,runskill,0,"{""runskill"":[""5204601003""]}","{""when"":""round"",""number"":""1""}",贾诩免控增加6%，敌方每有一个存活武将，技能伤害提升6%,
5204602004,4,runskill,0,"{""runskill"":[""5204602003""]}","{""when"":""round"",""number"":""1""}",贾诩免控增加10%，敌方每有一个存活武将，技能伤害提升10%,
5205601004,4,runskill,0,"{""runskill"":[""5205601003""]}","{""when"":""doatk"",""targetdead"":""1"",""side"":-2,""atktype"":""xpskill""}",生命增加6%，乌鸦之神释放致死射线，怒气技能如果杀死目标，则将立刻恢复180%攻击生命,
5205602004,4,runskill,0,"{""runskill"":[""5205602003""]}","{""when"":""doatk"",""targetdead"":""1"",""side"":-2,""atktype"":""xpskill""}",生命增加10%，乌鸦之神释放致死射线，怒气技能如果杀死目标，则将立刻恢复300%攻击生命,
5301601004,4,extbuff,1,"{""dpspro"":30}","{""when"":""roleinit"",""zhongzu"":[5]}",战斗开始时每有一名己方神魔阵营武将，自己伤害增加3%（最高增加18%）,
5301602004,4,extbuff,1,"{""dpspro"":50}","{""when"":""roleinit"",""zhongzu"":[5]}",战斗开始时每有一名己方神魔阵营武将，自己伤害增加5%（最高增加30%）,
5302601004,4,runskill,0,"{""runskill"":[""5302601003""]}","{""when"":""doatk"",""side"":""-2"",""atktype"":""xpskill""}",自身释放怒气技能时，给我方随机4名英雄添加1层暗影庇佑（每层暗影庇佑抵消受到的下一次伤害并将伤害的100%的治疗，只对怒气技能和普攻生效）,
5302602004,4,runskill,0,"{""runskill"":[""5302602003""]}","{""when"":""doatk"",""side"":""-2"",""atktype"":""xpskill""}",自身释放怒气技能时，给我方全体英雄添加1层暗影庇佑（每层暗影庇佑抵消受到的下一次伤害并将伤害的100%的治疗，只对怒气技能和普攻生效）,
5501601004,4,addafterskill,0,"{""runskill"":[""5501601003"",""5501601013""]}","{""when"":""doatk"",""side"":""-2"",""atktype"":""xpskill""}",怒气技能攻击目标有12%概率沉默目标2回合，对辅助英雄伤害额外增加60%,
5501602004,4,addafterskill,0,"{""runskill"":[""5501602003"",""5501602013""]}","{""when"":""doatk"",""side"":""-2"",""atktype"":""xpskill""}",怒气技能攻击目标有20%概率沉默目标2回合，对辅助英雄伤害额外增加100%,
5502601004,4,runskill,0,"{""runskill"":[""5502601003""]}","{""when"":""round"",""number"":""1""}",生命增加6%，战斗中每有一名光暗阵营友方英雄存活，堕天大圣伤害+3%,
5502602004,4,runskill,0,"{""runskill"":[""5502602003""]}","{""when"":""round"",""number"":""1""}",生命增加10%，战斗中每有一名光暗阵营友方英雄存活，堕天大圣伤害+5%,
6102601004,4,runskill,0,"{""runskill"":[""3402601003""]}","{""when"":""round"",""number"":""-1""}",吕布伤害提升6%，并且每回合开始增加6%暴击率（该效果最多叠加3层）,
6102602004,4,runskill,0,"{""runskill"":[""3402602003""]}","{""when"":""round"",""number"":""-1""}",吕布伤害提升10%，并且每回合开始增加10%暴击率（该效果最多叠加3层）,
6201601004,4,addafterskill,1,"{""runskill"":[""6201601003""]}",{},攻击增加5%，对眩晕目标造成伤害增加18%,
6201602004,4,addafterskill,1,"{""runskill"":[""6201602003""]}",{},攻击增加8%，对眩晕目标造成伤害增加30%,
6202601004,4,runskill,0,"{""runskill"":[""6202601003""]}","{""when"":""hpchange"",""hpproless"":500}",生命低于50%时，降低所有敌人治疗量24%，持续3回合,
6202602004,4,runskill,0,"{""runskill"":[""6202602003""]}","{""when"":""hpchange"",""hpproless"":500}",生命低于50%时，降低所有敌人治疗量30%，持续3回合,
6302601004,4,runskill,0,"{""runskill"":[""6302601003"",""6302601013""]}","{""when"":""round"",""number"":""-1"",""iscancel"":1}",诸葛亮精通奇门遁甲，攻击增加6%，自己存活时，所有友军提升2%伤害与3%的免控,
6302602004,4,runskill,0,"{""runskill"":[""6302602003"",""6302602013""]}","{""when"":""round"",""number"":""-1"",""iscancel"":1}",诸葛亮精通奇门遁甲，攻击增加10%，自己存活时，所有友军提升3%伤害与5%的免控,
6303601004,4,addafterskill,0,"{""runskill"":[""6303601003""]}","{""when"":""doatk"",""side"":""-2"",""atktype"":""xpskill""}",生命+6%，释放怒气技能后，使自己和随机1个友方英雄免控额外增加9%，持续2回合,
6303602004,4,addafterskill,0,"{""runskill"":[""6303602003""]}","{""when"":""doatk"",""side"":""-2"",""atktype"":""xpskill""}",生命+10%，释放怒气技能后，使自己和随机1个友方英雄免控额外增加15%，持续2回合,
6402601004,4,addafterskill,0,"{""runskill"":[""6402601003""]}","{""when"":""doatk"",""side"":""-2"",""atktype"":""xpskill""}",命中增加21%，每次释放怒气技能伤害减免+6%，持续2回合,
6402602004,4,addafterskill,0,"{""runskill"":[""6402602003""]}","{""when"":""doatk"",""side"":""-2"",""atktype"":""xpskill""}",命中增加35%，每次释放怒气技能伤害减免+10%，持续2回合,
6501601004,4,addafterskill,0,"{""runskill"":[""6501601003""]}","{""when"":""doatk"",""side"":""-2"",""atktype"":""xpskill""}",左慈掌控长生仙术，生命提升6%，放怒气技能的时候有60%概率将随机净化1个友方武将全部负面效果,
6501602004,4,addafterskill,0,"{""runskill"":[""6501602003""]}","{""when"":""doatk"",""side"":""-2"",""atktype"":""xpskill""}",左慈掌控长生仙术，生命提升10%，放怒气技能的时候将随机净化1个友方武将全部负面效果,
5440104,4,runskill,1,"{""runskill"":[""5440103""]}","{""when"":""round"",""number"":""1""}",战斗开始第一回合，全体英雄恢复25点怒气,
5450104,4,runskill,1,"{""runskill"":[""5450103""]}","{""when"":""round"",""number"":""1""}",战斗开始第一回合，全体英雄恢复50点怒气,
5460104,4,extbuff,1,"{""nuqipro"":200}","{""when"":""roleinit""}",受到伤害怒气恢复增加20%,
5470104,4,extbuff,1,"{""nuqipro"":400}","{""when"":""roleinit""}",受到伤害怒气恢复增加40%,
5480104,4,extbuff,1,"{""nuqipro"":800}","{""when"":""roleinit""}",受到伤害怒气恢复增加80%,
5490104,4,runskill,1,"{""runskill"":[""5490103""]}","{""when"":""round"",""xpskillindex"":""1"",""round"":1}",首次释放完怒气技能后的下一回合开始获得20点怒气,
5500104,4,runskill,1,"{""runskill"":[""5500103""]}","{""when"":""round"",""xpskillindex"":""1"",""round"":1}",首次释放完怒气技能后的下一回合开始获得35点怒气,
5510104,4,runskill,1,"{""runskill"":[""5510103""]}","{""when"":""round"",""xpskillindex"":""1"",""round"":1}",首次释放完怒气技能后的下一回合开始获得70点怒气,
5520104,4,runskill,1,"{""runskill"":[""5520103""]}","{""when"":""round"",""number"":""1""}",战斗开始时，己方出场英雄回复自己最大生命值6%的生命值,
5530104,4,runskill,1,"{""runskill"":[""5530103""]}","{""when"":""round"",""number"":""1""}",战斗开始时，己方出场英雄回复自己最大生命值10%的生命值,
5540104,4,runskill,1,"{""runskill"":[""5540103""]}","{""when"":""round"",""number"":""1""}",战斗开始时，己方出场英雄回复自己最大生命值15%的生命值,
5550104,4,runskill,0,"{""runskill"":[""5550103""]}","{""when"":""fightend""}",战斗结束时，所有存活英雄恢复15%已损失的生命,
5560104,4,runskill,0,"{""runskill"":[""5560103""]}","{""when"":""fightend""}",战斗结束时，所有存活英雄恢复25%已损失的生命,
5570104,4,runskill,0,"{""runskill"":[""5570103""]}","{""when"":""fightend""}",战斗结束时，所有存活英雄恢复40%已损失的生命,
5580104,4,extbuff,1,"{""undercurepro"":800}","{""when"":""roleinit""}",战斗时，己方受到的生命恢复效果提高80%,
5590104,4,extbuff,1,"{""atkpro"":50}","{""when"":""roleinit"",""pos"":0}",布阵在后排的己方英雄，攻击力+5%，暴击率+10%,
5600104,4,extbuff,1,"{""atkpro"":100}","{""when"":""roleinit"",""pos"":0}",布阵在后排的己方英雄，攻击力+10%，暴击率+15%,
5610104,4,extbuff,1,"{""atkpro"":150}","{""when"":""roleinit"",""pos"":0}",布阵在后排的己方英雄，攻击力+15%，暴击率+25%,
5590204,4,extbuff,1,"{""baojipro"":100}","{""when"":""roleinit"",""pos"":0}",布阵在后排的己方英雄，攻击力+5%，暴击率+10%,
5600204,4,extbuff,1,"{""baojipro"":150}","{""when"":""roleinit"",""pos"":0}",布阵在后排的己方英雄，攻击力+10%，暴击率+15%,
5610204,4,extbuff,1,"{""baojipro"":250}","{""when"":""roleinit"",""pos"":0}",布阵在后排的己方英雄，攻击力+15%，暴击率+25%,
5620104,4,extbuff,1,"{""gedangpro"":100}","{""when"":""roleinit"",""pos"":1}",布阵在前排的己方英雄，格挡+10%，受伤怒气恢复+15%,
5630104,4,extbuff,1,"{""gedangpro"":150}","{""when"":""roleinit"",""pos"":1}",布阵在前排的己方英雄，格挡+15%，受伤怒气恢复+25%,
5640104,4,extbuff,1,"{""gedangpro"":250}","{""when"":""roleinit"",""pos"":1}",布阵在前排的己方英雄，格挡+25%，受伤怒气恢复+40%,
5620204,4,extbuff,1,"{""nuqipro"":150}","{""when"":""roleinit"",""pos"":1}",布阵在前排的己方英雄，格挡+10%，受伤怒气恢复+15%,
5630204,4,extbuff,1,"{""nuqipro"":250}","{""when"":""roleinit"",""pos"":1}",布阵在前排的己方英雄，格挡+15%，受伤怒气恢复+25%,
5640204,4,extbuff,1,"{""nuqipro"":400}","{""when"":""roleinit"",""pos"":1}",布阵在前排的己方英雄，格挡+25%，受伤怒气恢复+40%,
5650104,4,runskill,1,"{""runskill"":[""5650103""]}","{""when"":""doatk"",""targetdead"":""1"",""side"":-2}",击杀敌人时，恢复16%自身最大生命值的血量。,
5660104,4,runskill,1,"{""runskill"":[""5660103""]}","{""when"":""doatk"",""targetdead"":""1"",""side"":-2}",击杀敌人时，恢复24%自身最大生命值的血量。,
5670104,4,runskill,0,"{""runskill"":[""5670103""]}","{""when"":""round"",""number"":""2""}",第二回合开始时，全体己方英雄获得一个自身生命25%血量的护盾，护盾持续1回合。,
5680104,4,runskill,0,"{""runskill"":[""5680103""]}","{""when"":""round"",""number"":""2""}",第二回合开始时，全体己方英雄获得一个自身生命40%血量的护盾，护盾持续1回合。,
5690104,4,runskill,0,"{""runskill"":[""5690103""]}","{""when"":""round"",""number"":""2""}",第二回合开始时，全体己方英雄获得一个自身生命60%血量的护盾，护盾持续1回合。,
5700104,4,addafterskill,1,"{""runskill"":[""5700103""]}",{},攻击自身克制种族的对手时，伤害增加+35%,
5710104,4,addafterskill,1,"{""runskill"":[""5710103""]}",{},攻击自身克制种族的对手时，伤害增加+60%,
5720104,4,addafterskill,1,"{""runskill"":[""5720103""]}",{},攻击自身克制种族的对手时，伤害增加+100%,
5730104,4,runskill,0,"{""runskill"":[""5730103"",""5730203""]}","{""when"":""round"",""number"":""-1""}",每回合开始时，对全体敌人造成5%生命上限伤害，并有30%概率眩晕敌人1回合,
5740104,4,runskill,0,"{""runskill"":[""5740103""]}","{""when"":""round"",""type"":""maxhp"",""cond"":""1"",""pro"":500}",每回合开始时，生命大于50%的英雄将恢复7.5%生命（如果同时拥有暗影之石，则效果翻倍）,
5750104,4,runskill,0,"{""runskill"":[""5750103""]}","{""when"":""round"",""type"":""maxhp"",""cond"":""-1"",""pro"":500}",每回合开始时，生命低于50%的英雄将恢复7.5%生命（如果同时拥有光明之石，则效果翻倍）,
5760104,4,extbuff,1,"{""atkpro"":15,""hppro"":15,""maxhppro"":15}","{""when"":""roleinit"",""zhongzu"":[1]}",每个出场的己方亡灵英雄，使得全体己方英雄攻击+1.5%，生命+1.5%,
5770104,4,extbuff,1,"{""atkpro"":30,""hppro"":30,""maxhppro"":30}","{""when"":""roleinit"",""zhongzu"":[1]}",每个出场的己方亡灵英雄，使得全体己方英雄攻击+3%，生命+3%,
5780104,4,extbuff,1,"{""atkpro"":50,""hppro"":50,""maxhppro"":50}","{""when"":""roleinit"",""zhongzu"":[1]}",每个出场的己方亡灵英雄，使得全体己方英雄攻击+4.5%，生命+4.5%,
5790104,4,extbuff,1,"{""atkpro"":15,""hppro"":15,""maxhppro"":15}","{""when"":""roleinit"",""zhongzu"":[3]}",每个出场的己方邪能英雄，使得全体己方英雄攻击+1.5%，生命+1.5%,
5800104,4,extbuff,1,"{""atkpro"":30,""hppro"":30,""maxhppro"":30}","{""when"":""roleinit"",""zhongzu"":[3]}",每个出场的己方邪能英雄，使得全体己方英雄攻击+3%，生命+3%,
5810104,4,extbuff,1,"{""atkpro"":50,""hppro"":50,""maxhppro"":50}","{""when"":""roleinit"",""zhongzu"":[3]}",每个出场的己方邪能英雄，使得全体己方英雄攻击+4.5%，生命+4.05%,
5820104,4,extbuff,1,"{""atkpro"":15,""hppro"":15,""maxhppro"":15}","{""when"":""roleinit"",""zhongzu"":[2]}",每个出场的己方奥术英雄，使得全体己方英雄攻击+1.5%，生命+1.5%,
5830104,4,extbuff,1,"{""atkpro"":30,""hppro"":30,""maxhppro"":30}","{""when"":""roleinit"",""zhongzu"":[2]}",每个出场的己方奥术英雄，使得全体己方英雄攻击+3%，生命+3%,
5840104,4,extbuff,1,"{""atkpro"":50,""hppro"":50,""maxhppro"":50}","{""when"":""roleinit"",""zhongzu"":[2]}",每个出场的己方奥术英雄，使得全体己方英雄攻击+4.5%，生命+4.5%,
5850104,4,extbuff,1,"{""atkpro"":15,""hppro"":15,""maxhppro"":15}","{""when"":""roleinit"",""zhongzu"":[4]}",每个出场的己方自然英雄，使得全体己方英雄攻击+1.5%，生命+1.5%,
5860104,4,extbuff,1,"{""atkpro"":30,""hppro"":30,""maxhppro"":30}","{""when"":""roleinit"",""zhongzu"":[4]}",每个出场的己方自然英雄，使得全体己方英雄攻击+3%，生命+3%,
5870104,4,extbuff,1,"{""atkpro"":50,""hppro"":50,""maxhppro"":50}","{""when"":""roleinit"",""zhongzu"":[4]}",每个出场的己方自然英雄，使得全体己方英雄攻击+5%，生命+5%,
5880104,4,extbuff,1,"{""atkpro"":20,""hppro"":20,""maxhppro"":20}","{""when"":""roleinit"",""zhongzu"":[5,6]}",每个出场的己方光暗英雄，使得全体己方英雄攻击+2%，生命+2%,
5890104,4,extbuff,1,"{""atkpro"":40,""hppro"":40,""maxhppro"":40}","{""when"":""roleinit"",""zhongzu"":[5,6]}",每个出场的己方光暗英雄，使得全体己方英雄攻击+4%，生命+4%,
5900104,4,extbuff,1,"{""atkpro"":65,""hppro"":65,""maxhppro"":65}","{""when"":""roleinit"",""zhongzu"":[5,6]}",每个出场的己方光暗英雄，使得全体己方英雄攻击+6.5%，生命+6.5%,
5920104,4,miansi,0,"{""pro"":300}","{""when"":""hpchange"",""hpproless"":0}",每场战斗仅触发一次，当英雄首次受到致死伤害时，抵御这次伤害，并恢复到30%血量。,
5930104,4,runskill,1,"{""runskill"":[""5930103""]}","{""when"":""doatk"",""side"":""-2""}",巨岩神使穿戴神怒全套后力量得到升华，攻击灼烧目标时有30%概率眩晕目标2回合,
5940104,4,runskill,1,"{""runskill"":[""5940103""]}","{""when"":""deadover"",""side"":""1""}",地狱拳师的技能血能再生为自己提供的治疗效果将等额恢复其他所有存活英雄,
5950104,4,runskill,1,"{""runskill"":[""5950103""]}","{""when"":""round"",""number"":""1""}",黑锋骑士通过冥龙试炼，最终获得龙之祝福，免疫一切控制技能,
5960104,4,runskill,1,"{""runskill"":[""5960103""]}","{""when"":""doatk"",""atktype"":""xpskill"",""side"":""-2""}",光之大领主在释放主动技能时，己方生命最少的3个单位恢复10%生命上限生命,
11054114,4,runskill,1,"{""runskill"":[""11054113""]}","{""when"":""doatk"",""atktype"":""normalskill"",""side"":""-2""}",被动技能：每次普攻增加自己8.4%破甲。,
11055114,4,runskill,1,"{""runskill"":[""11055113""]}","{""when"":""doatk"",""atktype"":""normalskill"",""side"":""-2""}",被动技能：每次普攻增加自己14%破甲。,
11064114,4,runskill,0,"{""runskill"":[""11064113""]}","{""when"":""byatk"",""side"":""-2""}",被动技能：受到攻击增加自己8%破甲，持续2回合。,
11065114,4,runskill,0,"{""runskill"":[""11065113""]}","{""when"":""byatk"",""side"":""-2""}",被动技能：受到攻击增加自己8%破甲，持续2回合。,
11075214,4,runskill,0,"{""runskill"":[""11075213""]}","{""when"":""gedang"",""side"":""1""}",被动技能：敌方英雄发出格挡，使自己恢复45%攻击等量生命。,
11075314,4,runskill,1,"{""runskill"":[""11075313""]}","{""when"":""doatk"",""atktype"":""normalskill"",""side"":""-2""}",被动技能：每次普攻恢复自己24%攻击等量生命。,
11076214,4,runskill,0,"{""runskill"":[""11076213""]}","{""when"":""gedang"",""side"":""1""}",被动技能：敌方英雄发出格挡，使自己恢复60%攻击等量生命。,
11076314,4,runskill,1,"{""runskill"":[""11076313""]}","{""when"":""doatk"",""atktype"":""normalskill"",""side"":""-2""}",被动技能：每次普攻恢复自己36%攻击等量生命。,
