id,等级,消耗,属性,战斗力
6,9,"{""a"":""attr"",""t"":""jinbi"",""n"":3000000},{""a"":""item"",""t"":""2005"",""n"":11567}","""atk"":97,""dpspro"":15,""hppro"":11",656
6,10,"{""a"":""attr"",""t"":""jinbi"",""n"":6000000},{""a"":""item"",""t"":""2005"",""n"":12621}","""atk"":113,""dpspro"":31,""hppro"":22",800
6,11,"{""a"":""attr"",""t"":""jinbi"",""n"":9000000},{""a"":""item"",""t"":""2005"",""n"":13475}","""atk"":123,""dpspro"":31,""hppro"":22",864
6,12,"{""a"":""attr"",""t"":""jinbi"",""n"":12000000},{""a"":""item"",""t"":""2005"",""n"":14139}","""atk"":133,""dpspro"":31,""hppro"":22",928
6,13,"{""a"":""attr"",""t"":""jinbi"",""n"":15000000},{""a"":""item"",""t"":""2005"",""n"":15183}","""atk"":143,""dpspro"":31,""hppro"":22",992
6,14,"{""a"":""attr"",""t"":""jinbi"",""n"":18000000},{""a"":""item"",""t"":""2005"",""n"":16776}","""atk"":154,""dpspro"":31,""hppro"":22",1056
6,15,"{""a"":""attr"",""t"":""jinbi"",""n"":21000000},{""a"":""item"",""t"":""2005"",""n"":17948}","""atk"":169,""dpspro"":46,""hppro"":33",1200
6,16,"{""a"":""attr"",""t"":""jinbi"",""n"":24000000},{""a"":""item"",""t"":""2005"",""n"":18560}","""atk"":180,""dpspro"":46,""hppro"":33",1264
6,17,"{""a"":""attr"",""t"":""jinbi"",""n"":27000000},{""a"":""item"",""t"":""2005"",""n"":19673}","""atk"":190,""dpspro"":46,""hppro"":33",1328
6,18,"{""a"":""attr"",""t"":""jinbi"",""n"":30000000},{""a"":""item"",""t"":""2005"",""n"":20785}","""atk"":200,""dpspro"":46,""hppro"":33",1392
6,19,"{""a"":""attr"",""t"":""jinbi"",""n"":35000000},{""a"":""item"",""t"":""2005"",""n"":21898}","""atk"":210,""dpspro"":46,""hppro"":33",1456
6,20,"{""a"":""attr"",""t"":""jinbi"",""n"":38000000},{""a"":""item"",""t"":""2005"",""n"":22910}","""atk"":226,""dpspro"":62,""hppro"":45",1600
6,21,"{""a"":""attr"",""t"":""jinbi"",""n"":40000000},{""a"":""item"",""t"":""2005"",""n"":23823}","""atk"":236,""dpspro"":62,""hppro"":45",1664
6,22,"{""a"":""attr"",""t"":""jinbi"",""n"":42000000},{""a"":""item"",""t"":""2005"",""n"":24835}","""atk"":246,""dpspro"":62,""hppro"":45",1728
6,23,"{""a"":""attr"",""t"":""jinbi"",""n"":46000000},{""a"":""item"",""t"":""2005"",""n"":25948}","""atk"":257,""dpspro"":62,""hppro"":45",1792
6,24,"{""a"":""attr"",""t"":""jinbi"",""n"":48000000},{""a"":""item"",""t"":""2005"",""n"":26460}","""atk"":267,""dpspro"":62,""hppro"":45",1856
6,25,"{""a"":""attr"",""t"":""jinbi"",""n"":51000000},{""a"":""item"",""t"":""2005"",""n"":27873}","""atk"":283,""dpspro"":78,""hppro"":56",2000
6,26,"{""a"":""attr"",""t"":""jinbi"",""n"":54000000},{""a"":""item"",""t"":""2005"",""n"":28685}","""atk"":293,""dpspro"":78,""hppro"":56",2064
6,27,"{""a"":""attr"",""t"":""jinbi"",""n"":58000000},{""a"":""item"",""t"":""2005"",""n"":29797}","""atk"":303,""dpspro"":78,""hppro"":56",2128
6,28,"{""a"":""attr"",""t"":""jinbi"",""n"":60000000},{""a"":""item"",""t"":""2005"",""n"":29910}","""atk"":313,""dpspro"":78,""hppro"":56",2192
6,29,"{""a"":""attr"",""t"":""jinbi"",""n"":64000000},{""a"":""item"",""t"":""2005"",""n"":30000}","""atk"":324,""dpspro"":78,""hppro"":56",2256
6,30,0,"""atk"":339,""dpspro"":93,""hppro"":67",2400
7,0,"{""a"":""attr"",""t"":""jinbi"",""n"":160000},{""a"":""item"",""t"":""2005"",""n"":2600}","""hp"":0,""hppro"":0",0
7,1,"{""a"":""attr"",""t"":""jinbi"",""n"":320000},{""a"":""item"",""t"":""2005"",""n"":3300}","""hp"":145,""hppro"":3",64
7,2,"{""a"":""attr"",""t"":""jinbi"",""n"":480000},{""a"":""item"",""t"":""2005"",""n"":4645}","""hp"":290,""hppro"":3",128
7,3,"{""a"":""attr"",""t"":""jinbi"",""n"":660000},{""a"":""item"",""t"":""2005"",""n"":5755}","""hp"":435,""hppro"":3",192
7,4,"{""a"":""attr"",""t"":""jinbi"",""n"":820000},{""a"":""item"",""t"":""2005"",""n"":6497}","""hp"":580,""hppro"":3",256
7,5,"{""a"":""attr"",""t"":""jinbi"",""n"":940000},{""a"":""item"",""t"":""2005"",""n"":7651}","""hp"":806,""hppro"":18",400
7,6,"{""a"":""attr"",""t"":""jinbi"",""n"":1100000},{""a"":""item"",""t"":""2005"",""n"":8515}","""hp"":951,""hppro"":18",464
7,7,"{""a"":""attr"",""t"":""jinbi"",""n"":1500000},{""a"":""item"",""t"":""2005"",""n"":9659}","""hp"":1096,""hppro"":18",528
7,8,"{""a"":""attr"",""t"":""jinbi"",""n"":2000000},{""a"":""item"",""t"":""2005"",""n"":10813}","""hp"":1241,""hppro"":18",592
7,9,"{""a"":""attr"",""t"":""jinbi"",""n"":3000000},{""a"":""item"",""t"":""2005"",""n"":11567}","""hp"":1387,""hppro"":18",656
7,10,"{""a"":""attr"",""t"":""jinbi"",""n"":6000000},{""a"":""item"",""t"":""2005"",""n"":12621}","""hp"":1612,""hppro"":37",800
7,11,"{""a"":""attr"",""t"":""jinbi"",""n"":9000000},{""a"":""item"",""t"":""2005"",""n"":13475}","""hp"":1757,""hppro"":37",864
7,12,"{""a"":""attr"",""t"":""jinbi"",""n"":12000000},{""a"":""item"",""t"":""2005"",""n"":14139}","""hp"":1903,""hppro"":37",928
7,13,"{""a"":""attr"",""t"":""jinbi"",""n"":15000000},{""a"":""item"",""t"":""2005"",""n"":15183}","""hp"":2048,""hppro"":37",992
7,14,"{""a"":""attr"",""t"":""jinbi"",""n"":18000000},{""a"":""item"",""t"":""2005"",""n"":16776}","""hp"":2193,""hppro"":37",1056
7,15,"{""a"":""attr"",""t"":""jinbi"",""n"":21000000},{""a"":""item"",""t"":""2005"",""n"":17948}","""hp"":2419,""hppro"":56",1200
7,16,"{""a"":""attr"",""t"":""jinbi"",""n"":24000000},{""a"":""item"",""t"":""2005"",""n"":18560}","""hp"":2564,""hppro"":56",1264
7,17,"{""a"":""attr"",""t"":""jinbi"",""n"":27000000},{""a"":""item"",""t"":""2005"",""n"":19673}","""hp"":2709,""hppro"":56",1328
7,18,"{""a"":""attr"",""t"":""jinbi"",""n"":30000000},{""a"":""item"",""t"":""2005"",""n"":20785}","""hp"":2854,""hppro"":56",1392
7,19,"{""a"":""attr"",""t"":""jinbi"",""n"":35000000},{""a"":""item"",""t"":""2005"",""n"":21898}","""hp"":2999,""hppro"":56",1456
7,20,"{""a"":""attr"",""t"":""jinbi"",""n"":38000000},{""a"":""item"",""t"":""2005"",""n"":22910}","""hp"":3225,""hppro"":75",1600
7,21,"{""a"":""attr"",""t"":""jinbi"",""n"":40000000},{""a"":""item"",""t"":""2005"",""n"":23823}","""hp"":3370,""hppro"":75",1664
7,22,"{""a"":""attr"",""t"":""jinbi"",""n"":42000000},{""a"":""item"",""t"":""2005"",""n"":24835}","""hp"":3515,""hppro"":75",1728
7,23,"{""a"":""attr"",""t"":""jinbi"",""n"":46000000},{""a"":""item"",""t"":""2005"",""n"":25948}","""hp"":3661,""hppro"":75",1792
7,24,"{""a"":""attr"",""t"":""jinbi"",""n"":48000000},{""a"":""item"",""t"":""2005"",""n"":26460}","""hp"":3806,""hppro"":75",1856
7,25,"{""a"":""attr"",""t"":""jinbi"",""n"":51000000},{""a"":""item"",""t"":""2005"",""n"":27873}","""hp"":4032,""hppro"":93",2000
7,26,"{""a"":""attr"",""t"":""jinbi"",""n"":54000000},{""a"":""item"",""t"":""2005"",""n"":28685}","""hp"":4177,""hppro"":93",2064
7,27,"{""a"":""attr"",""t"":""jinbi"",""n"":58000000},{""a"":""item"",""t"":""2005"",""n"":29797}","""hp"":4322,""hppro"":93",2128
7,28,"{""a"":""attr"",""t"":""jinbi"",""n"":60000000},{""a"":""item"",""t"":""2005"",""n"":29910}","""hp"":4467,""hppro"":93",2192
7,29,"{""a"":""attr"",""t"":""jinbi"",""n"":64000000},{""a"":""item"",""t"":""2005"",""n"":30000}","""hp"":4612,""hppro"":93",2256
7,30,0,"""hp"":4838,""hppro"":112",2400
8,0,"{""a"":""attr"",""t"":""jinbi"",""n"":160000},{""a"":""item"",""t"":""2005"",""n"":2600}","""gedangpro"":0,""hppro"":0",0
8,1,"{""a"":""attr"",""t"":""jinbi"",""n"":320000},{""a"":""item"",""t"":""2005"",""n"":3300}","""gedangpro"":2,""hppro"":2",64
8,2,"{""a"":""attr"",""t"":""jinbi"",""n"":480000},{""a"":""item"",""t"":""2005"",""n"":4645}","""gedangpro"":4,""hppro"":2",128
8,3,"{""a"":""attr"",""t"":""jinbi"",""n"":660000},{""a"":""item"",""t"":""2005"",""n"":5755}","""gedangpro"":7,""hppro"":2",192
8,4,"{""a"":""attr"",""t"":""jinbi"",""n"":820000},{""a"":""item"",""t"":""2005"",""n"":6497}","""gedangpro"":9,""hppro"":2",256
8,5,"{""a"":""attr"",""t"":""jinbi"",""n"":940000},{""a"":""item"",""t"":""2005"",""n"":7651}","""gedangpro"":13,""hppro"":13",400
8,6,"{""a"":""attr"",""t"":""jinbi"",""n"":1100000},{""a"":""item"",""t"":""2005"",""n"":8515}","""gedangpro"":15,""hppro"":13",464
8,7,"{""a"":""attr"",""t"":""jinbi"",""n"":1500000},{""a"":""item"",""t"":""2005"",""n"":9659}","""gedangpro"":17,""hppro"":13",528
8,8,"{""a"":""attr"",""t"":""jinbi"",""n"":2000000},{""a"":""item"",""t"":""2005"",""n"":10813}","""gedangpro"":20,""hppro"":13",592
8,9,"{""a"":""attr"",""t"":""jinbi"",""n"":3000000},{""a"":""item"",""t"":""2005"",""n"":11567}","""gedangpro"":22,""hppro"":13",656
8,10,"{""a"":""attr"",""t"":""jinbi"",""n"":6000000},{""a"":""item"",""t"":""2005"",""n"":12621}","""gedangpro"":26,""hppro"":26",800
8,11,"{""a"":""attr"",""t"":""jinbi"",""n"":9000000},{""a"":""item"",""t"":""2005"",""n"":13475}","""gedangpro"":28,""hppro"":26",864
8,12,"{""a"":""attr"",""t"":""jinbi"",""n"":12000000},{""a"":""item"",""t"":""2005"",""n"":14139}","""gedangpro"":30,""hppro"":26",928
8,13,"{""a"":""attr"",""t"":""jinbi"",""n"":15000000},{""a"":""item"",""t"":""2005"",""n"":15183}","""gedangpro"":33,""hppro"":26",992
8,14,"{""a"":""attr"",""t"":""jinbi"",""n"":18000000},{""a"":""item"",""t"":""2005"",""n"":16776}","""gedangpro"":35,""hppro"":26",1056
8,15,"{""a"":""attr"",""t"":""jinbi"",""n"":21000000},{""a"":""item"",""t"":""2005"",""n"":17948}","""gedangpro"":39,""hppro"":39",1200
8,16,"{""a"":""attr"",""t"":""jinbi"",""n"":24000000},{""a"":""item"",""t"":""2005"",""n"":18560}","""gedangpro"":41,""hppro"":39",1264
8,17,"{""a"":""attr"",""t"":""jinbi"",""n"":27000000},{""a"":""item"",""t"":""2005"",""n"":19673}","""gedangpro"":44,""hppro"":39",1328
8,18,"{""a"":""attr"",""t"":""jinbi"",""n"":30000000},{""a"":""item"",""t"":""2005"",""n"":20785}","""gedangpro"":46,""hppro"":39",1392
8,19,"{""a"":""attr"",""t"":""jinbi"",""n"":35000000},{""a"":""item"",""t"":""2005"",""n"":21898}","""gedangpro"":48,""hppro"":39",1456
8,20,"{""a"":""attr"",""t"":""jinbi"",""n"":38000000},{""a"":""item"",""t"":""2005"",""n"":22910}","""gedangpro"":52,""hppro"":52",1600
8,21,"{""a"":""attr"",""t"":""jinbi"",""n"":40000000},{""a"":""item"",""t"":""2005"",""n"":23823}","""gedangpro"":54,""hppro"":52",1664
8,22,"{""a"":""attr"",""t"":""jinbi"",""n"":42000000},{""a"":""item"",""t"":""2005"",""n"":24835}","""gedangpro"":57,""hppro"":52",1728
8,23,"{""a"":""attr"",""t"":""jinbi"",""n"":46000000},{""a"":""item"",""t"":""2005"",""n"":25948}","""gedangpro"":59,""hppro"":52",1792
8,24,"{""a"":""attr"",""t"":""jinbi"",""n"":48000000},{""a"":""item"",""t"":""2005"",""n"":26460}","""gedangpro"":61,""hppro"":52",1856
8,25,"{""a"":""attr"",""t"":""jinbi"",""n"":51000000},{""a"":""item"",""t"":""2005"",""n"":27873}","""gedangpro"":65,""hppro"":65",2000
8,26,"{""a"":""attr"",""t"":""jinbi"",""n"":54000000},{""a"":""item"",""t"":""2005"",""n"":28685}","""gedangpro"":67,""hppro"":65",2064
8,27,"{""a"":""attr"",""t"":""jinbi"",""n"":58000000},{""a"":""item"",""t"":""2005"",""n"":29797}","""gedangpro"":70,""hppro"":65",2128
8,28,"{""a"":""attr"",""t"":""jinbi"",""n"":60000000},{""a"":""item"",""t"":""2005"",""n"":29910}","""gedangpro"":72,""hppro"":65",2192
8,29,"{""a"":""attr"",""t"":""jinbi"",""n"":64000000},{""a"":""item"",""t"":""2005"",""n"":30000}","""gedangpro"":74,""hppro"":65",2256
8,30,0,"""gedangpro"":78,""hppro"":78",2400
9,0,"{""a"":""attr"",""t"":""jinbi"",""n"":160000},{""a"":""item"",""t"":""2005"",""n"":2600}","""baojipro"":0,""hppro"":0",0
9,1,"{""a"":""attr"",""t"":""jinbi"",""n"":320000},{""a"":""item"",""t"":""2005"",""n"":3300}","""baojipro"":1,""hppro"":2",64
9,2,"{""a"":""attr"",""t"":""jinbi"",""n"":480000},{""a"":""item"",""t"":""2005"",""n"":4645}","""baojipro"":3,""hppro"":2",128
9,3,"{""a"":""attr"",""t"":""jinbi"",""n"":660000},{""a"":""item"",""t"":""2005"",""n"":5755}","""baojipro"":5,""hppro"":2",192
9,4,"{""a"":""attr"",""t"":""jinbi"",""n"":820000},{""a"":""item"",""t"":""2005"",""n"":6497}","""baojipro"":7,""hppro"":2",256
9,5,"{""a"":""attr"",""t"":""jinbi"",""n"":940000},{""a"":""item"",""t"":""2005"",""n"":7651}","""baojipro"":10,""hppro"":12",400
9,6,"{""a"":""attr"",""t"":""jinbi"",""n"":1100000},{""a"":""item"",""t"":""2005"",""n"":8515}","""baojipro"":12,""hppro"":12",464
9,7,"{""a"":""attr"",""t"":""jinbi"",""n"":1500000},{""a"":""item"",""t"":""2005"",""n"":9659}","""baojipro"":14,""hppro"":12",528
9,8,"{""a"":""attr"",""t"":""jinbi"",""n"":2000000},{""a"":""item"",""t"":""2005"",""n"":10813}","""baojipro"":16,""hppro"":12",592
9,9,"{""a"":""attr"",""t"":""jinbi"",""n"":3000000},{""a"":""item"",""t"":""2005"",""n"":11567}","""baojipro"":18,""hppro"":12",656
9,10,"{""a"":""attr"",""t"":""jinbi"",""n"":6000000},{""a"":""item"",""t"":""2005"",""n"":12621}","""baojipro"":21,""hppro"":24",800
9,11,"{""a"":""attr"",""t"":""jinbi"",""n"":9000000},{""a"":""item"",""t"":""2005"",""n"":13475}","""baojipro"":22,""hppro"":24",864
9,12,"{""a"":""attr"",""t"":""jinbi"",""n"":12000000},{""a"":""item"",""t"":""2005"",""n"":14139}","""baojipro"":24,""hppro"":24",928
9,13,"{""a"":""attr"",""t"":""jinbi"",""n"":15000000},{""a"":""item"",""t"":""2005"",""n"":15183}","""baojipro"":26,""hppro"":24",992
9,14,"{""a"":""attr"",""t"":""jinbi"",""n"":18000000},{""a"":""item"",""t"":""2005"",""n"":16776}","""baojipro"":28,""hppro"":24",1056
9,15,"{""a"":""attr"",""t"":""jinbi"",""n"":21000000},{""a"":""item"",""t"":""2005"",""n"":17948}","""baojipro"":31,""hppro"":37",1200
9,16,"{""a"":""attr"",""t"":""jinbi"",""n"":24000000},{""a"":""item"",""t"":""2005"",""n"":18560}","""baojipro"":33,""hppro"":37",1264
9,17,"{""a"":""attr"",""t"":""jinbi"",""n"":27000000},{""a"":""item"",""t"":""2005"",""n"":19673}","""baojipro"":35,""hppro"":37",1328
9,18,"{""a"":""attr"",""t"":""jinbi"",""n"":30000000},{""a"":""item"",""t"":""2005"",""n"":20785}","""baojipro"":37,""hppro"":37",1392
9,19,"{""a"":""attr"",""t"":""jinbi"",""n"":35000000},{""a"":""item"",""t"":""2005"",""n"":21898}","""baojipro"":39,""hppro"":37",1456
9,20,"{""a"":""attr"",""t"":""jinbi"",""n"":38000000},{""a"":""item"",""t"":""2005"",""n"":22910}","""baojipro"":42,""hppro"":49",1600
9,21,"{""a"":""attr"",""t"":""jinbi"",""n"":40000000},{""a"":""item"",""t"":""2005"",""n"":23823}","""baojipro"":43,""hppro"":49",1664
9,22,"{""a"":""attr"",""t"":""jinbi"",""n"":42000000},{""a"":""item"",""t"":""2005"",""n"":24835}","""baojipro"":45,""hppro"":49",1728
9,23,"{""a"":""attr"",""t"":""jinbi"",""n"":46000000},{""a"":""item"",""t"":""2005"",""n"":25948}","""baojipro"":47,""hppro"":49",1792
9,24,"{""a"":""attr"",""t"":""jinbi"",""n"":48000000},{""a"":""item"",""t"":""2005"",""n"":26460}","""baojipro"":49,""hppro"":49",1856
9,25,"{""a"":""attr"",""t"":""jinbi"",""n"":51000000},{""a"":""item"",""t"":""2005"",""n"":27873}","""baojipro"":52,""hppro"":62",2000
9,26,"{""a"":""attr"",""t"":""jinbi"",""n"":54000000},{""a"":""item"",""t"":""2005"",""n"":28685}","""baojipro"":54,""hppro"":62",2064
9,27,"{""a"":""attr"",""t"":""jinbi"",""n"":58000000},{""a"":""item"",""t"":""2005"",""n"":29797}","""baojipro"":56,""hppro"":62",2128
9,28,"{""a"":""attr"",""t"":""jinbi"",""n"":60000000},{""a"":""item"",""t"":""2005"",""n"":29910}","""baojipro"":58,""hppro"":62",2192
9,29,"{""a"":""attr"",""t"":""jinbi"",""n"":64000000},{""a"":""item"",""t"":""2005"",""n"":30000}","""baojipro"":60,""hppro"":62",2256
9,30,0,"""baojipro"":63,""hppro"":74",2400
10,0,"{""a"":""attr"",""t"":""jinbi"",""n"":160000},{""a"":""item"",""t"":""2005"",""n"":2600}","""speed"":0,""hppro"":0",0
10,1,"{""a"":""attr"",""t"":""jinbi"",""n"":320000},{""a"":""item"",""t"":""2005"",""n"":3300}","""speed"":0,""hppro"":2",64
10,2,"{""a"":""attr"",""t"":""jinbi"",""n"":480000},{""a"":""item"",""t"":""2005"",""n"":4645}","""speed"":1,""hppro"":2",128
10,3,"{""a"":""attr"",""t"":""jinbi"",""n"":660000},{""a"":""item"",""t"":""2005"",""n"":5755}","""speed"":2,""hppro"":2",192
10,4,"{""a"":""attr"",""t"":""jinbi"",""n"":820000},{""a"":""item"",""t"":""2005"",""n"":6497}","""speed"":3,""hppro"":2",256
10,5,"{""a"":""attr"",""t"":""jinbi"",""n"":940000},{""a"":""item"",""t"":""2005"",""n"":7651}","""speed"":4,""hppro"":11",400
10,6,"{""a"":""attr"",""t"":""jinbi"",""n"":1100000},{""a"":""item"",""t"":""2005"",""n"":8515}","""speed"":5,""hppro"":11",464
10,7,"{""a"":""attr"",""t"":""jinbi"",""n"":1500000},{""a"":""item"",""t"":""2005"",""n"":9659}","""speed"":6,""hppro"":11",528
10,8,"{""a"":""attr"",""t"":""jinbi"",""n"":2000000},{""a"":""item"",""t"":""2005"",""n"":10813}","""speed"":7,""hppro"":11",592
10,9,"{""a"":""attr"",""t"":""jinbi"",""n"":3000000},{""a"":""item"",""t"":""2005"",""n"":11567}","""speed"":8,""hppro"":11",656
10,10,"{""a"":""attr"",""t"":""jinbi"",""n"":6000000},{""a"":""item"",""t"":""2005"",""n"":12621}","""speed"":9,""hppro"":23",800
10,11,"{""a"":""attr"",""t"":""jinbi"",""n"":9000000},{""a"":""item"",""t"":""2005"",""n"":13475}","""speed"":10,""hppro"":23",864
10,12,"{""a"":""attr"",""t"":""jinbi"",""n"":12000000},{""a"":""item"",""t"":""2005"",""n"":14139}","""speed"":11,""hppro"":23",928
10,13,"{""a"":""attr"",""t"":""jinbi"",""n"":15000000},{""a"":""item"",""t"":""2005"",""n"":15183}","""speed"":12,""hppro"":23",992
10,14,"{""a"":""attr"",""t"":""jinbi"",""n"":18000000},{""a"":""item"",""t"":""2005"",""n"":16776}","""speed"":13,""hppro"":23",1056
10,15,"{""a"":""attr"",""t"":""jinbi"",""n"":21000000},{""a"":""item"",""t"":""2005"",""n"":17948}","""speed"":15,""hppro"":35",1200
10,16,"{""a"":""attr"",""t"":""jinbi"",""n"":24000000},{""a"":""item"",""t"":""2005"",""n"":18560}","""speed"":16,""hppro"":35",1264
10,17,"{""a"":""attr"",""t"":""jinbi"",""n"":27000000},{""a"":""item"",""t"":""2005"",""n"":19673}","""speed"":17,""hppro"":35",1328
10,18,"{""a"":""attr"",""t"":""jinbi"",""n"":30000000},{""a"":""item"",""t"":""2005"",""n"":20785}","""speed"":18,""hppro"":35",1392
10,19,"{""a"":""attr"",""t"":""jinbi"",""n"":35000000},{""a"":""item"",""t"":""2005"",""n"":21898}","""speed"":19,""hppro"":35",1456
10,20,"{""a"":""attr"",""t"":""jinbi"",""n"":38000000},{""a"":""item"",""t"":""2005"",""n"":22910}","""speed"":20,""hppro"":47",1600
10,21,"{""a"":""attr"",""t"":""jinbi"",""n"":40000000},{""a"":""item"",""t"":""2005"",""n"":23823}","""speed"":21,""hppro"":47",1664
10,22,"{""a"":""attr"",""t"":""jinbi"",""n"":42000000},{""a"":""item"",""t"":""2005"",""n"":24835}","""speed"":22,""hppro"":47",1728
10,23,"{""a"":""attr"",""t"":""jinbi"",""n"":46000000},{""a"":""item"",""t"":""2005"",""n"":25948}","""speed"":23,""hppro"":47",1792
10,24,"{""a"":""attr"",""t"":""jinbi"",""n"":48000000},{""a"":""item"",""t"":""2005"",""n"":26460}","""speed"":24,""hppro"":47",1856
10,25,"{""a"":""attr"",""t"":""jinbi"",""n"":51000000},{""a"":""item"",""t"":""2005"",""n"":27873}","""speed"":25,""hppro"":58",2000
10,26,"{""a"":""attr"",""t"":""jinbi"",""n"":54000000},{""a"":""item"",""t"":""2005"",""n"":28685}","""speed"":26,""hppro"":58",2064
10,27,"{""a"":""attr"",""t"":""jinbi"",""n"":58000000},{""a"":""item"",""t"":""2005"",""n"":29797}","""speed"":27,""hppro"":58",2128
10,28,"{""a"":""attr"",""t"":""jinbi"",""n"":60000000},{""a"":""item"",""t"":""2005"",""n"":29910}","""speed"":28,""hppro"":58",2192
10,29,"{""a"":""attr"",""t"":""jinbi"",""n"":64000000},{""a"":""item"",""t"":""2005"",""n"":30000}","""speed"":29,""hppro"":58",2256
10,30,0,"""speed"":30,""hppro"":70",2400
11,0,"{""a"":""attr"",""t"":""jinbi"",""n"":160000},{""a"":""item"",""t"":""2005"",""n"":2600}","""hp"":0,""hppro"":0,""jingzhunpro"":0",0
11,1,"{""a"":""attr"",""t"":""jinbi"",""n"":320000},{""a"":""item"",""t"":""2005"",""n"":3300}","""hp"":145,""hppro"":3,""jingzhunpro"":0",64
11,2,"{""a"":""attr"",""t"":""jinbi"",""n"":480000},{""a"":""item"",""t"":""2005"",""n"":4645}","""hp"":291,""hppro"":3,""jingzhunpro"":0",128
11,3,"{""a"":""attr"",""t"":""jinbi"",""n"":660000},{""a"":""item"",""t"":""2005"",""n"":5755}","""hp"":436,""hppro"":3,""jingzhunpro"":0",192
11,4,"{""a"":""attr"",""t"":""jinbi"",""n"":820000},{""a"":""item"",""t"":""2005"",""n"":6497}","""hp"":582,""hppro"":3,""jingzhunpro"":0",256
11,5,"{""a"":""attr"",""t"":""jinbi"",""n"":940000},{""a"":""item"",""t"":""2005"",""n"":7651}","""hp"":808,""hppro"":16,""jingzhunpro"":3",400
11,6,"{""a"":""attr"",""t"":""jinbi"",""n"":1100000},{""a"":""item"",""t"":""2005"",""n"":8515}","""hp"":954,""hppro"":16,""jingzhunpro"":3",464
11,7,"{""a"":""attr"",""t"":""jinbi"",""n"":1500000},{""a"":""item"",""t"":""2005"",""n"":9659}","""hp"":1100,""hppro"":16,""jingzhunpro"":3",528
11,8,"{""a"":""attr"",""t"":""jinbi"",""n"":2000000},{""a"":""item"",""t"":""2005"",""n"":10813}","""hp"":1245,""hppro"":16,""jingzhunpro"":3",592
11,9,"{""a"":""attr"",""t"":""jinbi"",""n"":3000000},{""a"":""item"",""t"":""2005"",""n"":11567}","""hp"":1391,""hppro"":16,""jingzhunpro"":3",656
11,10,"{""a"":""attr"",""t"":""jinbi"",""n"":6000000},{""a"":""item"",""t"":""2005"",""n"":12621}","""hp"":1617,""hppro"":33,""jingzhunpro"":7",800
11,11,"{""a"":""attr"",""t"":""jinbi"",""n"":9000000},{""a"":""item"",""t"":""2005"",""n"":13475}","""hp"":1763,""hppro"":33,""jingzhunpro"":7",864
11,12,"{""a"":""attr"",""t"":""jinbi"",""n"":12000000},{""a"":""item"",""t"":""2005"",""n"":14139}","""hp"":1909,""hppro"":33,""jingzhunpro"":7",928
11,13,"{""a"":""attr"",""t"":""jinbi"",""n"":15000000},{""a"":""item"",""t"":""2005"",""n"":15183}","""hp"":2054,""hppro"":33,""jingzhunpro"":7",992
11,14,"{""a"":""attr"",""t"":""jinbi"",""n"":18000000},{""a"":""item"",""t"":""2005"",""n"":16776}","""hp"":2200,""hppro"":33,""jingzhunpro"":7",1056
11,15,"{""a"":""attr"",""t"":""jinbi"",""n"":21000000},{""a"":""item"",""t"":""2005"",""n"":17948}","""hp"":2426,""hppro"":50,""jingzhunpro"":10",1200
11,16,"{""a"":""attr"",""t"":""jinbi"",""n"":24000000},{""a"":""item"",""t"":""2005"",""n"":18560}","""hp"":2572,""hppro"":50,""jingzhunpro"":10",1264
11,17,"{""a"":""attr"",""t"":""jinbi"",""n"":27000000},{""a"":""item"",""t"":""2005"",""n"":19673}","""hp"":2717,""hppro"":50,""jingzhunpro"":10",1328
11,18,"{""a"":""attr"",""t"":""jinbi"",""n"":30000000},{""a"":""item"",""t"":""2005"",""n"":20785}","""hp"":2863,""hppro"":50,""jingzhunpro"":10",1392
11,19,"{""a"":""attr"",""t"":""jinbi"",""n"":35000000},{""a"":""item"",""t"":""2005"",""n"":21898}","""hp"":3009,""hppro"":50,""jingzhunpro"":10",1456
11,20,"{""a"":""attr"",""t"":""jinbi"",""n"":38000000},{""a"":""item"",""t"":""2005"",""n"":22910}","""hp"":3235,""hppro"":67,""jingzhunpro"":14",1600
11,21,"{""a"":""attr"",""t"":""jinbi"",""n"":40000000},{""a"":""item"",""t"":""2005"",""n"":23823}","""hp"":3381,""hppro"":67,""jingzhunpro"":14",1664
11,22,"{""a"":""attr"",""t"":""jinbi"",""n"":42000000},{""a"":""item"",""t"":""2005"",""n"":24835}","""hp"":3526,""hppro"":67,""jingzhunpro"":14",1728
11,23,"{""a"":""attr"",""t"":""jinbi"",""n"":46000000},{""a"":""item"",""t"":""2005"",""n"":25948}","""hp"":3672,""hppro"":67,""jingzhunpro"":14",1792
11,24,"{""a"":""attr"",""t"":""jinbi"",""n"":48000000},{""a"":""item"",""t"":""2005"",""n"":26460}","""hp"":3818,""hppro"":67,""jingzhunpro"":14",1856
11,25,"{""a"":""attr"",""t"":""jinbi"",""n"":51000000},{""a"":""item"",""t"":""2005"",""n"":27873}","""hp"":4044,""hppro"":83,""jingzhunpro"":17",2000
11,26,"{""a"":""attr"",""t"":""jinbi"",""n"":54000000},{""a"":""item"",""t"":""2005"",""n"":28685}","""hp"":4190,""hppro"":83,""jingzhunpro"":17",2064
11,27,"{""a"":""attr"",""t"":""jinbi"",""n"":58000000},{""a"":""item"",""t"":""2005"",""n"":29797}","""hp"":4335,""hppro"":83,""jingzhunpro"":17",2128
