技能id,技能类型,属性类型,技能系数,描述
3111a201,1,hppro,400,被动效果：生命增加40%，攻击增加35%，免控率增加35%，对眩晕目标伤害增加100%
31115211,1,atkpro,150,被动效果：生命增加15%，攻击增加15%，免控率增加20%，对眩晕目标伤害增加30%
31116211,1,atkpro,250,被动效果：生命增加25%，攻击增加25%，免控率增加25%，对眩晕目标伤害增加60%
3111a211,1,atkpro,350,被动效果：生命增加40%，攻击增加35%，免控率增加35%，对眩晕目标伤害增加100%
31115221,1,miankongpro,200,被动效果：生命增加15%，攻击增加15%，免控率增加20%，对眩晕目标伤害增加30%
31116221,1,miankongpro,250,被动效果：生命增加25%，攻击增加25%，免控率增加25%，对眩晕目标伤害增加60%
3111a221,1,miankongpro,350,被动效果：生命增加40%，攻击增加35%，免控率增加35%，对眩晕目标伤害增加100%
22075201,1,speed,15,被动效果：速度增加15点，生命增加15%，暴击率增加10%，免疫眩晕
22076201,1,speed,25,被动效果：速度增加25点，生命增加25%，暴击率增加15%，免疫眩晕
2207a201,1,speed,40,被动效果：速度增加40点，生命增加30%，暴击率增加20%，免疫眩晕
22075211,1,hppro,150,被动效果：速度增加15点，生命增加15%，暴击率增加10%，免疫眩晕
22076211,1,hppro,250,被动效果：速度增加25点，生命增加25%，暴击率增加15%，免疫眩晕
2207a211,1,hppro,300,被动效果：速度增加40点，生命增加30%，暴击率增加20%，免疫眩晕
22075221,1,baojipro,100,被动效果：速度增加15点，生命增加15%，暴击率增加10%，免疫眩晕
22076221,1,baojipro,150,被动效果：速度增加25点，生命增加25%，暴击率增加15%，免疫眩晕
2207a221,1,baojipro,200,被动效果：速度增加40点，生命增加30%，暴击率增加20%，免疫眩晕
15045101,1,atkpro,150,被动效果：攻击增加15%，生命增加20%，护甲增加10%，免疫石化
15046101,1,atkpro,200,被动效果：攻击增加20%，生命增加20%，护甲增加15%，免疫石化
1504a101,1,atkpro,350,被动效果：攻击增加35%，生命增加25%，护甲增加20%，免疫石化
15045111,1,hppro,200,被动效果：攻击增加15%，生命增加20%，护甲增加10%，免疫石化
15046111,1,hppro,200,被动效果：攻击增加20%，生命增加20%，护甲增加15%，免疫石化
1504a111,1,hppro,250,被动效果：攻击增加35%，生命增加25%，护甲增加20%，免疫石化
15045121,1,defpro,100,被动效果：攻击增加15%，生命增加20%，护甲增加10%，免疫石化
15046121,1,defpro,150,被动效果：攻击增加20%，生命增加20%，护甲增加15%，免疫石化
1504a121,1,defpro,200,被动效果：攻击增加35%，生命增加25%，护甲增加20%，免疫石化
63035101,1,hppro,200,被动效果：生命增加20%，攻击增加20%，免控率增加10%，治疗量提升10%
63036101,1,hppro,250,被动效果：生命增加25%，攻击增加35%，免控率增加15%，治疗量提升20%
6303a101,1,hppro,300,被动效果：生命增加30%，攻击增加45%，免控率增加30%，治疗量提升40%
63035111,1,atkpro,200,被动效果：生命增加20%，攻击增加20%，免控率增加10%，治疗量提升10%
63036111,1,atkpro,350,被动效果：生命增加25%，攻击增加35%，免控率增加15%，治疗量提升20%
6303a111,1,atkpro,450,被动效果：生命增加30%，攻击增加45%，免控率增加30%，治疗量提升40%
63035121,1,miankongpro,100,被动效果：生命增加20%，攻击增加20%，免控率增加10%，治疗量提升10%
63036121,1,miankongpro,150,被动效果：生命增加25%，攻击增加35%，免控率增加15%，治疗量提升20%
6303a121,1,miankongpro,300,被动效果：生命增加30%，攻击增加45%，免控率增加30%，治疗量提升40%
12045201,1,atkpro,100,被动效果：攻击增加10%，暴击增加15%，生命增加15%，速度增加15，对石化和冰冻敌人造成的伤害提高20%
12046201,1,atkpro,150,被动效果：攻击增加15%，暴击增加20%，生命增加20%，速度增加25，对石化和冰冻敌人造成的伤害提高40%
1204a201,1,atkpro,200,被动效果：攻击增加20%，暴击增加30%，生命增加25%，速度增加40，对石化和冰冻敌人造成的伤害提高60%
12045211,1,baojipro,150,被动效果：攻击增加10%，暴击增加15%，生命增加15%，速度增加15，对石化和冰冻敌人造成的伤害提高20%
12046211,1,baojipro,200,被动效果：攻击增加15%，暴击增加20%，生命增加20%，速度增加25，对石化和冰冻敌人造成的伤害提高40%
1204a211,1,baojipro,300,被动效果：攻击增加20%，暴击增加30%，生命增加25%，速度增加40，对石化和冰冻敌人造成的伤害提高60%
12045221,1,hppro,150,被动效果：攻击增加10%，暴击增加15%，生命增加15%，速度增加15，对石化和冰冻敌人造成的伤害提高20%
12046221,1,hppro,200,被动效果：攻击增加15%，暴击增加20%，生命增加20%，速度增加25，对石化和冰冻敌人造成的伤害提高40%
1204a221,1,hppro,250,被动效果：攻击增加20%，暴击增加30%，生命增加25%，速度增加40，对石化和冰冻敌人造成的伤害提高60%
12045231,1,speed,15,被动效果：攻击增加10%，暴击增加15%，生命增加15%，速度增加15，对石化和冰冻敌人造成的伤害提高20%
12046231,1,speed,25,被动效果：攻击增加15%，暴击增加20%，生命增加20%，速度增加25，对石化和冰冻敌人造成的伤害提高40%
1204a231,1,speed,40,被动效果：攻击增加20%，暴击增加30%，生命增加25%，速度增加40，对石化和冰冻敌人造成的伤害提高60%
45065104,1,hppro,150,被动效果：生命增加15%，攻击增加10%，暴击增加15%
45066104,1,hppro,250,被动效果：生命增加25%，攻击增加15%，暴击增加20%
4506a104,1,hppro,350,被动效果：生命增加35%，攻击增加25%，暴击增加30%
45065114,1,atkpro,100,被动效果：生命增加15%，攻击增加10%，暴击增加15%
45066114,1,atkpro,150,被动效果：生命增加25%，攻击增加15%，暴击增加20%
4506a114,1,atkpro,250,被动效果：生命增加35%，攻击增加25%，暴击增加30%
45065124,1,baojipro,150,被动效果：生命增加15%，攻击增加10%，暴击增加15%
45066124,1,baojipro,200,被动效果：生命增加25%，攻击增加15%，暴击增加20%
4506a124,1,baojipro,300,被动效果：生命增加35%，攻击增加25%，暴击增加30%
32065101,1,undpspro,150,被动效果：减伤率增加10%，生命增加20%，暴击率增加10%
32066101,1,undpspro,200,被动效果：减伤率增加15%，生命增加27%，暴击率增加15%
3206a101,1,undpspro,250,被动效果：减伤率增加20%，生命增加35%，暴击率增加20%
32065111,1,hppro,200,被动效果：减伤率增加10%，生命增加20%，暴击率增加10%
32066111,1,hppro,270,被动效果：减伤率增加15%，生命增加27%，暴击率增加15%
3206a111,1,hppro,350,被动效果：减伤率增加20%，生命增加35%，暴击率增加20%
32065121,1,baojipro,150,被动效果：减伤率增加10%，生命增加20%，暴击率增加10%
32066121,1,baojipro,200,被动效果：减伤率增加15%，生命增加27%，暴击率增加15%
3206a121,1,baojipro,250,被动效果：减伤率增加20%，生命增加35%，暴击率增加20%
51025101,1,hppro,200,被动效果：生命增加20%，攻击增加10%，暴击增加15%，破甲增加20%
51026101,1,hppro,300,被动效果：生命增加30%，攻击增加15%，暴击增加25%，破甲增加35%
5102a101,1,hppro,400,被动效果：生命增加40%，攻击增加20%，暴击增加35%，破甲增加50%
51025111,1,atkpro,100,被动效果：生命增加20%，攻击增加10%，暴击增加15%，破甲增加20%
51026111,1,atkpro,150,被动效果：生命增加30%，攻击增加15%，暴击增加25%，破甲增加35%
5102a111,1,atkpro,200,被动效果：生命增加40%，攻击增加20%，暴击增加35%，破甲增加50%
51025121,1,baojipro,150,被动效果：生命增加20%，攻击增加10%，暴击增加15%，破甲增加20%
51026121,1,baojipro,250,被动效果：生命增加30%，攻击增加15%，暴击增加25%，破甲增加35%
5102a121,1,baojipro,350,被动效果：生命增加40%，攻击增加20%，暴击增加35%，破甲增加50%
51025131,1,pojiapro,200,被动效果：生命增加20%，攻击增加10%，暴击增加15%，破甲增加20%
51026131,1,pojiapro,350,被动效果：生命增加30%，攻击增加15%，暴击增加25%，破甲增加35%
5102a131,1,pojiapro,500,被动效果：生命增加40%，攻击增加20%，暴击增加35%，破甲增加50%
24045101,1,atkpro,150,被动效果：攻击增加15%，暴击增加10%，格挡增加30%，免控增加10%，速度增加10
24046101,1,atkpro,250,被动效果：攻击增加25%，暴击增加20%，格挡增加50%，免控增加20%，速度增加20
2404a101,1,atkpro,350,被动效果：攻击增加35%，暴击增加35%，格挡增加70%，免控增加35%，速度增加30
24045111,1,baojipro,100,被动效果：攻击增加15%，暴击增加10%，格挡增加30%，免控增加10%，速度增加10
24046111,1,baojipro,200,被动效果：攻击增加25%，暴击增加20%，格挡增加50%，免控增加20%，速度增加20
2404a111,1,baojipro,350,被动效果：攻击增加35%，暴击增加35%，格挡增加70%，免控增加35%，速度增加30
24045121,1,gedangpro,300,被动效果：攻击增加15%，暴击增加10%，格挡增加30%，免控增加10%，速度增加10
24046121,1,gedangpro,500,被动效果：攻击增加25%，暴击增加20%，格挡增加50%，免控增加20%，速度增加20
2404a121,1,gedangpro,700,被动效果：攻击增加35%，暴击增加35%，格挡增加70%，免控增加35%，速度增加30
24045131,1,miankongpro,100,被动效果：攻击增加15%，暴击增加10%，格挡增加30%，免控增加10%，速度增加10
24046131,1,miankongpro,200,被动效果：攻击增加25%，暴击增加20%，格挡增加50%，免控增加20%，速度增加20
2404a131,1,miankongpro,350,被动效果：攻击增加35%，暴击增加35%，格挡增加70%，免控增加35%，速度增加30
24045141,1,speed,10,被动效果：攻击增加15%，暴击增加10%，格挡增加30%，免控增加10%，速度增加10
24046141,1,speed,20,被动效果：攻击增加25%，暴击增加20%，格挡增加50%，免控增加20%，速度增加20
2404a141,1,speed,30,被动效果：攻击增加35%，暴击增加35%，格挡增加70%，免控增加35%，速度增加30
35055101,1,atkpro,150,被动效果：攻击增加15%，生命增加10%，减伤增加10%，免疫燃烧和流血（神器和神宠造成的除外）
35056101,1,atkpro,200,被动效果：攻击增加20%，生命增加15%，减伤增加15%，免疫燃烧和流血（神器和神宠造成的除外）
3505a101,1,atkpro,250,被动效果：攻击增加25%，生命增加20%，减伤增加20%，免疫燃烧和流血（神器和神宠造成的除外）
35055111,1,hppro,100,被动效果：攻击增加15%，生命增加10%，减伤增加10%，免疫燃烧和流血（神器和神宠造成的除外）
35056111,1,hppro,150,被动效果：攻击增加20%，生命增加15%，减伤增加15%，免疫燃烧和流血（神器和神宠造成的除外）
3505a111,1,hppro,200,被动效果：攻击增加25%，生命增加20%，减伤增加20%，免疫燃烧和流血（神器和神宠造成的除外）
35055121,1,undpspro,100,被动效果：攻击增加15%，生命增加10%，减伤增加10%，免疫燃烧和流血（神器和神宠造成的除外）
35056121,1,undpspro,150,被动效果：攻击增加20%，生命增加15%，减伤增加15%，免疫燃烧和流血（神器和神宠造成的除外）
3505a121,1,undpspro,200,被动效果：攻击增加25%，生命增加20%，减伤增加20%，免疫燃烧和流血（神器和神宠造成的除外）
11105101,1,hppro,200,被动效果：生命增加20%，攻击增加10%，破甲增加20%，格挡增加30%
11106101,1,hppro,300,被动效果：生命增加30%，攻击增加20%，破甲增加30%，格挡增加45%
1110a101,1,hppro,400,被动效果：生命增加40%，攻击增加30%，破甲增加40%，格挡增加60%
11105111,1,atkpro,100,被动效果：生命增加20%，攻击增加10%，破甲增加20%，格挡增加30%
11106111,1,atkpro,200,被动效果：生命增加30%，攻击增加20%，破甲增加30%，格挡增加45%
1110a111,1,atkpro,300,被动效果：生命增加40%，攻击增加30%，破甲增加40%，格挡增加60%
11105121,1,pojiapro,200,被动效果：生命增加20%，攻击增加10%，破甲增加20%，格挡增加30%
11106121,1,pojiapro,300,被动效果：生命增加30%，攻击增加20%，破甲增加30%，格挡增加45%
1110a121,1,pojiapro,400,被动效果：生命增加40%，攻击增加30%，破甲增加40%，格挡增加60%
11105131,1,gedangpro,300,被动效果：生命增加20%，攻击增加10%，破甲增加20%，格挡增加30%
11106131,1,gedangpro,450,被动效果：生命增加30%，攻击增加20%，破甲增加30%，格挡增加45%
1110a131,1,gedangpro,600,被动效果：生命增加40%，攻击增加30%，破甲增加40%，格挡增加60%
62025101,1,hppro,150,被动效果：生命增加15%，技能伤害增加40%，减伤率增加10%，速度增加40点
62026101,1,hppro,250,被动效果：生命增加25%，技能伤害增加70%，减伤率增加20%，速度增加60点
6202a101,1,hppro,400,被动效果：生命增加40%，技能伤害增加100%，减伤率增加30%，速度增加80点
62025111,1,skilldpspro,400,被动效果：生命增加15%，技能伤害增加40%，减伤率增加10%，速度增加40点
62026111,1,skilldpspro,700,被动效果：生命增加25%，技能伤害增加70%，减伤率增加20%，速度增加60点
6202a111,1,skilldpspro,1000,被动效果：生命增加40%，技能伤害增加100%，减伤率增加30%，速度增加80点
62025121,1,undpspro,100,被动效果：生命增加15%，技能伤害增加40%，减伤率增加10%，速度增加40点
62026121,1,undpspro,200,被动效果：生命增加25%，技能伤害增加70%，减伤率增加20%，速度增加60点
6202a121,1,undpspro,300,被动效果：生命增加40%，技能伤害增加100%，减伤率增加30%，速度增加80点
62025131,1,speed,40,被动效果：生命增加15%，技能伤害增加40%，减伤率增加10%，速度增加40点
62026131,1,speed,60,被动效果：生命增加25%，技能伤害增加70%，减伤率增加20%，速度增加60点
6202a131,1,speed,80,被动效果：生命增加40%，技能伤害增加100%，减伤率增加30%，速度增加80点
42025101,1,hppro,150,被动效果：生命增加15%，攻击增加10%，速度增加10点，受治疗量增加10%
42026101,1,hppro,250,被动效果：生命增加25%，攻击增加20%，速度增加15点，受治疗量增加20%
4202a101,1,hppro,350,被动效果：生命增加35%，攻击增加30%，速度增加20点，受治疗量增加30%
42025111,1,atkpro,100,被动效果：生命增加15%，攻击增加10%，速度增加10点，受治疗量增加10%
42026111,1,atkpro,200,被动效果：生命增加25%，攻击增加20%，速度增加15点，受治疗量增加20%
4202a111,1,atkpro,300,被动效果：生命增加35%，攻击增加30%，速度增加20点，受治疗量增加30%
42025121,1,speed,10,被动效果：生命增加15%，攻击增加10%，速度增加10点，受治疗量增加10%
42026121,1,speed,15,被动效果：生命增加25%，攻击增加20%，速度增加15点，受治疗量增加20%
4202a121,1,speed,20,被动效果：生命增加35%，攻击增加30%，速度增加20点，受治疗量增加30%
42025131,1,undercurepro,100,被动效果：生命增加15%，攻击增加10%，速度增加10点，受治疗量增加10%
42026131,1,undercurepro,200,被动效果：生命增加25%，攻击增加20%，速度增加15点，受治疗量增加20%
4202a131,1,undercurepro,300,被动效果：生命增加35%，攻击增加30%，速度增加20点，受治疗量增加30%
25085101,1,hppro,150,被动效果：生命增加15%，攻击增加10%，暴击率增加15%，命中增加25%
25086101,1,hppro,200,被动效果：生命增加20%，攻击增加20%，暴击率增加20%，命中增加50%
2508a101,1,hppro,250,被动效果：生命增加25%，攻击增加30%，暴击率增加30%，命中增加100%
25085111,1,atkpro,100,被动效果：生命增加15%，攻击增加10%，暴击率增加15%，命中增加25%
25086111,1,atkpro,200,被动效果：生命增加20%，攻击增加20%，暴击率增加20%，命中增加50%
2508a111,1,atkpro,300,被动效果：生命增加25%，攻击增加30%，暴击率增加30%，命中增加100%
25085121,1,baojipro,150,被动效果：生命增加15%，攻击增加10%，暴击率增加15%，命中增加25%
25086121,1,baojipro,200,被动效果：生命增加20%，攻击增加20%，暴击率增加20%，命中增加50%
2508a121,1,baojipro,300,被动效果：生命增加25%，攻击增加30%，暴击率增加30%，命中增加100%
25085131,1,jingzhunpro,250,被动效果：生命增加15%，攻击增加10%，暴击率增加15%，命中增加25%
25086131,1,jingzhunpro,500,被动效果：生命增加20%，攻击增加20%，暴击率增加20%，命中增加50%
2508a131,1,jingzhunpro,1000,被动效果：生命增加25%，攻击增加30%，暴击率增加30%，命中增加100%
13055101,1,hppro,100,被动效果：生命增加10%，免控率增加10%，速度增加10，受治疗量增加10%
13056101,1,hppro,150,被动效果：生命增加15%，免控率增加20%，速度增加20，受治疗量增加20%
1305a101,1,hppro,250,被动效果：生命增加25%，免控率增加30%，速度增加30，受治疗量增加30%
13055111,1,miankongpro,100,被动效果：生命增加10%，免控率增加10%，速度增加10，受治疗量增加10%
13056111,1,miankongpro,200,被动效果：生命增加15%，免控率增加20%，速度增加20，受治疗量增加20%
1305a111,1,miankongpro,300,被动效果：生命增加25%，免控率增加30%，速度增加30，受治疗量增加30%
13055121,1,speed,10,被动效果：生命增加10%，免控率增加10%，速度增加10，受治疗量增加10%
13056121,1,speed,20,被动效果：生命增加15%，免控率增加20%，速度增加20，受治疗量增加20%
1305a121,1,speed,30,被动效果：生命增加25%，免控率增加30%，速度增加30，受治疗量增加30%
13055131,1,undercurepro,100,被动效果：生命增加10%，免控率增加10%，速度增加10，受治疗量增加10%
13056131,1,undercurepro,200,被动效果：生命增加15%，免控率增加20%，速度增加20，受治疗量增加20%
1305a131,1,undercurepro,300,被动效果：生命增加25%，免控率增加30%，速度增加30，受治疗量增加30%
41075101,1,hppro,100,被动效果：生命值增加10%，暴击伤害增加20%，攻击增加10%，免控率增加10%
41076101,1,hppro,200,被动效果：生命值增加20%，暴击伤害增加30%，攻击增加15%，免控率增加20%
4107a101,1,hppro,300,被动效果：生命值增加30%，暴击伤害增加40%，攻击增加25%，免控率增加30%
41075111,1,baoshangpro,200,被动效果：生命值增加10%，暴击伤害增加20%，攻击增加10%，免控率增加10%
41076111,1,baoshangpro,300,被动效果：生命值增加20%，暴击伤害增加30%，攻击增加15%，免控率增加20%
4107a111,1,baoshangpro,400,被动效果：生命值增加30%，暴击伤害增加40%，攻击增加25%，免控率增加30%
41075121,1,atkpro,100,被动效果：生命值增加10%，暴击伤害增加20%，攻击增加10%，免控率增加10%
41076121,1,atkpro,150,被动效果：生命值增加20%，暴击伤害增加30%，攻击增加15%，免控率增加20%
4107a121,1,atkpro,250,被动效果：生命值增加30%，暴击伤害增加40%，攻击增加25%，免控率增加30%
41075131,1,miankongpro,100,被动效果：生命值增加10%，暴击伤害增加20%，攻击增加10%，免控率增加10%
41076131,1,miankongpro,200,被动效果：生命值增加20%，暴击伤害增加30%，攻击增加15%，免控率增加20%
4107a131,1,miankongpro,300,被动效果：生命值增加30%，暴击伤害增加40%，攻击增加25%，免控率增加30%
53025101,1,hppro,100,被动效果：生命值增加10%，攻击增加15%，减伤率增加15%，受到的控制效果持续回合数量减少一回合
53026101,1,hppro,150,被动效果：生命值增加15%，攻击增加20%，减伤率增加20%，受到的控制效果持续回合数量减少一回合
5302a101,1,hppro,200,被动效果：生命值增加20%，攻击增加25%，减伤率增加25%，受到的控制效果持续回合数量减少一回合
53025111,1,atkpro,150,被动效果：生命值增加10%，攻击增加15%，减伤率增加15%，受到的控制效果持续回合数量减少一回合
53026111,1,atkpro,200,被动效果：生命值增加15%，攻击增加20%，减伤率增加20%，受到的控制效果持续回合数量减少一回合
5302a111,1,atkpro,250,被动效果：生命值增加20%，攻击增加25%，减伤率增加25%，受到的控制效果持续回合数量减少一回合
53025121,1,undpspro,150,被动效果：生命值增加10%，攻击增加15%，减伤率增加15%，受到的控制效果持续回合数量减少一回合
53026121,1,undpspro,200,被动效果：生命值增加15%，攻击增加20%，减伤率增加20%，受到的控制效果持续回合数量减少一回合
5302a121,1,undpspro,250,被动效果：生命值增加20%，攻击增加25%，减伤率增加25%，受到的控制效果持续回合数量减少一回合
34035101,1,atkpro,150,被动效果：攻击增加15%，暴击增加15%，免控增加10%，速度增加10，对流血目标造成伤害提高20%
34036101,1,atkpro,250,被动效果：攻击增加25%，暴击增加25%，免控增加20%，速度增加20，对流血目标造成伤害提高40%
3403a101,1,atkpro,350,被动效果：攻击增加35%，暴击增加35%，免控增加30%，速度增加30，对流血目标造成伤害提高80%
34035111,1,baojipro,50,被动效果：攻击增加15%，暴击增加15%，免控增加10%，速度增加10，对流血目标造成伤害提高20%
34036111,1,baojipro,100,被动效果：攻击增加25%，暴击增加25%，免控增加20%，速度增加20，对流血目标造成伤害提高40%
3403a111,1,baojipro,150,被动效果：攻击增加35%，暴击增加35%，免控增加30%，速度增加30，对流血目标造成伤害提高80%
34035121,1,miankongpro,100,被动效果：攻击增加15%，暴击增加15%，免控增加10%，速度增加10，对流血目标造成伤害提高20%
34036121,1,miankongpro,200,被动效果：攻击增加25%，暴击增加25%，免控增加20%，速度增加20，对流血目标造成伤害提高40%
3403a121,1,miankongpro,300,被动效果：攻击增加35%，暴击增加35%，免控增加30%，速度增加30，对流血目标造成伤害提高80%
34035131,1,speed,10,被动效果：攻击增加15%，暴击增加15%，免控增加10%，速度增加10，对流血目标造成伤害提高20%
34036131,1,speed,20,被动效果：攻击增加25%，暴击增加25%，免控增加20%，速度增加20，对流血目标造成伤害提高40%
3403a131,1,speed,30,被动效果：攻击增加35%，暴击增加35%，免控增加30%，速度增加30，对流血目标造成伤害提高80%
21065201,1,defpro,100,被动效果：护甲增加10%，生命值增加20%，攻击增加10%，免控率增加10%，能量增加20
21066201,1,defpro,200,被动效果：护甲增加20%，生命值增加30%，攻击增加15%，免控率增加20%，能量增加30
2106a201,1,defpro,300,被动效果：护甲增加30%，生命值增加40%，攻击增加25%，免控率增加30%，能量增加50
21065211,1,hppro,200,被动效果：护甲增加10%，生命值增加20%，攻击增加10%，免控率增加10%，能量增加20
21066211,1,hppro,300,被动效果：护甲增加20%，生命值增加30%，攻击增加15%，免控率增加20%，能量增加30
2106a211,1,hppro,400,被动效果：护甲增加30%，生命值增加40%，攻击增加25%，免控率增加30%，能量增加50
21065221,1,atkpro,100,被动效果：护甲增加10%，生命值增加20%，攻击增加10%，免控率增加10%，能量增加20
21066221,1,atkpro,150,被动效果：护甲增加20%，生命值增加30%，攻击增加15%，免控率增加20%，能量增加30
2106a221,1,atkpro,250,被动效果：护甲增加30%，生命值增加40%，攻击增加25%，免控率增加30%，能量增加50
21065231,1,miankongpro,100,被动效果：护甲增加10%，生命值增加20%，攻击增加10%，免控率增加10%，能量增加20
21066231,1,miankongpro,200,被动效果：护甲增加20%，生命值增加30%，攻击增加15%，免控率增加20%，能量增加30
2106a231,1,miankongpro,300,被动效果：护甲增加30%，生命值增加40%，攻击增加25%，免控率增加30%，能量增加50
43085201,1,hppro,100,被动效果：生命值增加10%，攻击增加15%，受到治疗效果提高15%
43086201,1,hppro,200,被动效果：生命值增加20%，攻击增加20%，受到治疗效果提高20%
4308a201,1,hppro,300,被动效果：生命值增加30%，攻击增加25%，受到治疗效果提高30%
43085211,1,atkpro,150,被动效果：生命值增加10%，攻击增加15%，受到治疗效果提高15%
43086211,1,atkpro,200,被动效果：生命值增加20%，攻击增加20%，受到治疗效果提高20%
4308a211,1,atkpro,250,被动效果：生命值增加30%，攻击增加25%，受到治疗效果提高30%
43085221,1,undercurepro,100,被动效果：生命值增加10%，攻击增加15%，受到治疗效果提高15%
43086221,1,undercurepro,200,被动效果：生命值增加20%，攻击增加20%，受到治疗效果提高20%
4308a221,1,undercurepro,300,被动效果：生命值增加30%，攻击增加25%，受到治疗效果提高30%
32075201,1,hppro,100,被动效果：生命值增加10%，攻击增加15%，暴击增加15%，免控率增加10%，速度增加20
32076201,1,hppro,200,被动效果：生命值增加20%，攻击增加25%，暴击增加25%，免控率增加20%，速度增加40
3207a201,1,hppro,300,被动效果：生命值增加30%，攻击增加40%，暴击增加35%，免控率增加30%，速度增加60
32075211,1,atkpro,150,被动效果：生命值增加10%，攻击增加15%，暴击增加15%，免控率增加10%，速度增加20
32076211,1,atkpro,250,被动效果：生命值增加20%，攻击增加25%，暴击增加25%，免控率增加20%，速度增加40
3207a211,1,atkpro,400,被动效果：生命值增加30%，攻击增加40%，暴击增加35%，免控率增加30%，速度增加60
32075221,1,baojipro,150,被动效果：生命值增加10%，攻击增加15%，暴击增加15%，免控率增加10%，速度增加20
32076221,1,baojipro,250,被动效果：生命值增加20%，攻击增加25%，暴击增加25%，免控率增加20%，速度增加40
3207a221,1,baojipro,350,被动效果：生命值增加30%，攻击增加40%，暴击增加35%，免控率增加30%，速度增加60
32075231,1,miankongpro,100,被动效果：生命值增加10%，攻击增加15%，暴击增加15%，免控率增加10%，速度增加20
32076231,1,miankongpro,200,被动效果：生命值增加20%，攻击增加25%，暴击增加25%，免控率增加20%，速度增加40
3207a231,1,miankongpro,300,被动效果：生命值增加30%，攻击增加40%，暴击增加35%，免控率增加30%，速度增加60
32075241,1,speed,10,被动效果：生命值增加10%，攻击增加15%，暴击增加15%，免控率增加10%，速度增加20
32076241,1,speed,20,被动效果：生命值增加20%，攻击增加25%，暴击增加25%，免控率增加20%，速度增加40
3207a241,1,speed,30,被动效果：生命值增加30%，攻击增加40%，暴击增加35%，免控率增加30%，速度增加60
61035201,1,hppro,200,被动效果：生命值增加20%，真实伤害增加20%，免控率增加10%，减伤率增加10%
61036201,1,hppro,300,被动效果：生命值增加20%，真实伤害增加20%，免控率增加10%，减伤率增加10%
6103a201,1,hppro,400,被动效果：生命值增加20%，真实伤害增加20%，免控率增加10%，减伤率增加10%
61035211,1,realinjurypro,200,被动效果：生命值增加20%，真实伤害增加20%，免控率增加10%，减伤率增加10%
61036211,1,realinjurypro,400,被动效果：生命值增加20%，真实伤害增加20%，免控率增加10%，减伤率增加10%
6103a211,1,realinjurypro,700,被动效果：生命值增加20%，真实伤害增加20%，免控率增加10%，减伤率增加10%
61035221,1,miankongpro,100,被动效果：生命值增加20%，真实伤害增加20%，免控率增加10%，减伤率增加10%
61036221,1,miankongpro,200,被动效果：生命值增加20%，真实伤害增加20%，免控率增加10%，减伤率增加10%
6103a221,1,miankongpro,300,被动效果：生命值增加20%，真实伤害增加20%，免控率增加10%，减伤率增加10%
61035231,1,undpspro,100,被动效果：生命值增加20%，真实伤害增加20%，免控率增加10%，减伤率增加10%
61036231,1,undpspro,200,被动效果：生命值增加20%，真实伤害增加20%，免控率增加10%，减伤率增加10%
6103a231,1,undpspro,300,被动效果：生命值增加20%，真实伤害增加20%，免控率增加10%，减伤率增加10%
55035201,1,atkpro,100,被动效果：攻击增加10%，免控率增加10%，速度增加20，有10%概率受伤为1
55036201,1,atkpro,150,被动效果：攻击增加15%，免控率增加20%，速度增加40，有20%概率受伤为1
5503a201,1,atkpro,250,被动效果：攻击增加25%，免控率增加30%，速度增加60，有40%概率受伤为1
55035211,1,miankongpro,100,被动效果：攻击增加10%，免控率增加10%，速度增加20，有10%概率受伤为1
55036211,1,miankongpro,200,被动效果：攻击增加15%，免控率增加20%，速度增加40，有20%概率受伤为1
5503a211,1,miankongpro,300,被动效果：攻击增加25%，免控率增加30%，速度增加60，有40%概率受伤为1
55035221,1,speed,20,被动效果：攻击增加10%，免控率增加10%，速度增加20，有10%概率受伤为1
55036221,1,speed,40,被动效果：攻击增加15%，免控率增加20%，速度增加40，有20%概率受伤为1
5503a221,1,speed,60,被动效果：攻击增加25%，免控率增加30%，速度增加60，有40%概率受伤为1
55035231,1,dodgepro,100,被动效果：攻击增加10%，免控率增加10%，速度增加20，有10%概率受伤为1
55036231,1,dodgepro,200,被动效果：攻击增加15%，免控率增加20%，速度增加40，有20%概率受伤为1
5503a231,1,dodgepro,400,被动效果：攻击增加25%，免控率增加30%，速度增加60，有40%概率受伤为1
33045201,1,hppro,200,被动效果：生命增加20%，伤减率增加10%，造成治疗量提高15%，速度增加20。
33046201,1,hppro,300,被动效果：生命增加30%，伤减率增加20%，造成治疗量提高20%，速度增加40。
3304a201,1,hppro,400,被动效果：生命增加40%，伤减率增加30%，造成治疗量提高25%，速度增加60。
33045211,1,speed,20,被动效果：生命增加20%，伤减率增加10%，造成治疗量提高15%，速度增加20。
33046211,1,speed,40,被动效果：生命增加30%，伤减率增加20%，造成治疗量提高20%，速度增加40。
3304a211,1,speed,60,被动效果：生命增加40%，伤减率增加30%，造成治疗量提高25%，速度增加60。
33045221,1,undpspro,100,被动效果：生命增加20%，伤减率增加10%，造成治疗量提高15%，速度增加20。
33046221,1,undpspro,200,被动效果：生命增加30%，伤减率增加20%，造成治疗量提高20%，速度增加40。
3304a221,1,undpspro,300,被动效果：生命增加40%，伤减率增加30%，造成治疗量提高25%，速度增加60。
14065201,1,atkpro,150,被动效果：攻击增加15%，暴击增加15%，暴击伤害增加15%，速度增加20，免控率增加10%
